elapsed_sec,best_cost,improvement_pct
0.12,11942.9587,
0.23,11750.6105,
0.33,11745.4449,
0.45,11742.8791,
0.55,11742.8791,
0.69,11738.4562,
0.81,11738.4562,
0.91,11731.7693,
1.02,11731.7693,
1.12,11731.7693,
1.25,11731.7693,
1.35,11731.7693,
1.45,11731.7693,
1.55,11731.7693,
1.66,11731.7693,
1.77,11726.9199,
1.87,11726.2031,
1.99,11726.2031,
2.12,11726.2031,
2.22,11726.2031,
2.34,11726.2031,
2.44,11726.2031,
2.54,11726.2031,
2.64,11726.2031,
2.74,11726.2031,
2.85,11726.2031,
2.96,11726.2031,
3.07,11726.2031,
3.19,11726.2031,
3.29,11726.2031,
3.41,11726.2031,
3.51,11726.2031,
3.62,11726.2031,
3.74,11726.2031,
3.84,11726.2031,
3.94,11726.2031,
4.06,11726.2031,
4.16,11726.2031,
4.26,11726.2031,
4.37,11726.2031,
4.47,11726.2031,
4.57,11726.2031,
4.67,11726.2031,
4.77,11726.2031,
4.87,11726.2031,
4.97,11726.2031,
5.07,11726.2031,
5.18,11726.2031,
5.28,11726.2031,
5.4,11726.2031,
5.5,11726.2031,
5.61,11726.2031,
5.71,11726.2031,
5.83,11726.2031,
5.93,11726.2031,
6.03,11726.2031,
6.13,11726.2031,
6.24,11726.2031,
6.35,11726.2031,
6.46,11726.2031,
6.57,11726.2031,
6.67,11726.2031,
6.77,11726.2031,
6.88,11726.2031,
6.99,11726.2031,
7.09,11726.2031,
7.19,11726.2031,
7.3,11726.2031,
7.41,11726.2031,
7.51,11726.2031,
7.61,11726.2031,
7.71,11726.2031,
7.81,11726.2031,
7.91,11726.2031,
8.02,11726.2031,
8.14,11726.2031,
8.24,11726.2031,
8.35,11726.2031,
8.46,11726.2031,
8.57,11726.2031,
8.68,11726.2031,
8.78,11726.2031,
8.88,11726.2031,
8.99,11726.2031,
9.1,11726.2031,
9.2,11726.2031,
9.3,11726.2031,
9.41,11726.2031,
9.53,11726.2031,
9.63,11726.2031,
9.74,11726.2031,
9.84,11726.2031,
9.94,11726.2031,
10.05,11726.2031,
10.17,11726.2031,
10.27,11726.2031,
10.39,11726.2031,
10.49,11726.2031,
10.6,11726.2031,
10.72,11726.2031,
