elapsed_sec,best_cost,improvement_pct
33.36,6804.8274,
33.46,6896.5727,
33.56,6847.465,
33.67,6983.4223,
33.79,6972.1399,
33.89,6936.631,
34.0,6850.2787,
34.1,6854.5532,
34.21,6854.5532,
34.31,6856.9396,
34.42,6856.9396,
34.53,6857.6106,
34.64,6853.5646,
34.74,6875.0636,
34.85,6875.0636,
34.96,6877.8031,
35.06,6942.3863,
35.17,6942.3863,
35.28,6952.5434,
35.38,6958.4201,
35.49,6972.7886,
35.59,6970.2099,
35.7,7172.4529,
35.8,7151.2723,
35.91,7221.4468,
36.02,7217.0474,
36.12,7237.8417,
36.23,7237.8417,
36.34,7148.2028,
36.45,7235.0033,
36.55,7229.8718,
36.65,7239.0493,
36.75,7286.3851,
36.85,7326.5814,
36.98,7326.5814,
37.09,7187.1853,
37.19,7211.0951,
37.3,7211.0951,
37.4,7190.6944,
37.51,7190.6944,
37.63,7219.228,
37.74,7248.1986,
37.84,7338.5752,
37.94,7359.7829,
38.04,7299.576,
38.14,7306.7184,
38.25,7095.813,
38.36,7095.813,
38.47,7101.6236,
38.57,7092.4378,
38.67,7071.9547,
38.77,7069.2081,
38.88,7069.2081,
38.98,7074.9809,
39.12,7074.9809,
39.24,7074.146,
39.34,7045.8777,
39.46,7044.7348,
39.57,7050.8017,
39.67,7050.3473,
39.78,7050.3473,
39.89,7073.6197,
39.99,7073.6197,
40.1,7076.8028,
40.2,7056.0975,
40.31,7056.0975,
40.42,7065.6619,
40.54,7049.5613,
40.65,7065.5168,
40.75,7065.6541,
40.86,7070.4472,
40.96,7080.3957,
41.07,7054.5681,
41.18,7054.5681,
41.29,7054.7037,
41.39,7054.7037,
41.49,7021.3445,
41.59,7018.6876,
41.7,7027.1824,
41.8,7020.1841,
41.91,7020.3561,
42.01,7023.013,
42.15,7020.3561,
42.25,7020.3561,
42.35,7011.6893,
42.45,6970.2008,
42.55,6969.478,
42.65,6976.9727,
42.76,6965.7878,
42.87,6967.3018,
42.97,6967.3018,
43.09,6929.7446,
43.19,6920.1929,
43.29,6914.8357,
43.39,6928.8004,
43.51,6928.8004,
43.61,6893.8572,
43.73,6893.8572,
43.85,6893.8572,
43.95,6893.8572,
44.06,6893.8572,
44.16,6893.8572,
44.26,6893.8572,
44.36,6893.8572,
44.46,6899.3527,
44.57,6907.8475,
44.67,6903.8384,
44.77,6901.6184,
44.89,6901.8551,
44.99,6877.9339,
45.09,6880.3368,
45.2,6888.8316,
45.31,6882.9722,
45.41,6868.1336,
45.52,6868.1336,
45.64,6866.9911,
45.76,6873.4579,
45.86,6873.1798,
45.96,6867.3357,
46.06,6872.7514,
46.16,6866.9073,
46.27,6867.0793,
46.37,6810.353,
46.47,6810.353,
46.57,6810.181,
46.71,6810.181,
46.82,6810.181,
46.92,6810.353,
47.02,6810.6311,
47.12,6810.6311,
47.22,6810.6311,
47.34,6810.6311,
47.44,6801.9643,
47.57,6801.9643,
47.67,6801.9643,
47.77,6801.9643,
47.88,6802.1363,
47.99,6792.1878,
48.1,6792.1878,
48.2,6790.4581,
48.3,6790.4581,
48.41,6789.3389,
48.52,6789.3389,
48.63,6789.3389,
48.73,6789.3389,
48.83,6789.3389,
48.93,6789.3389,
49.04,6789.3389,
49.15,6789.3389,
49.25,6789.3389,
49.37,6789.3389,
49.47,6789.3389,
49.57,6789.3389,
49.69,6789.3389,
49.8,6789.3389,
49.92,6789.3389,
50.02,6789.3389,
50.13,6789.3389,
50.23,6789.3389,
50.33,6789.3389,
50.44,6789.3389,
50.54,6789.3389,
50.64,6789.3389,
50.74,6789.3389,
50.85,6789.3389,
50.95,6789.3389,
51.05,6789.3389,
51.15,6789.3389,
51.26,6789.3389,
51.37,6789.3389,
51.48,6789.3389,
51.58,6789.3389,
51.69,6789.3389,
51.79,6789.3389,
51.89,6789.3389,
52.0,6789.3389,
52.11,6789.3389,
52.22,6789.3389,
52.32,6789.3389,
52.42,6789.3389,
52.52,6789.3389,
52.63,6789.3389,
52.73,6789.3389,
52.84,6789.3389,
52.95,6789.3389,
53.06,6789.3389,
53.16,6789.3389,
53.28,6789.3389,
53.38,6789.3389,
53.48,6789.3389,
53.58,6789.3389,
53.68,6789.3389,
53.78,6789.3389,
53.89,6789.3389,
54.01,6789.3389,
54.11,6789.3389,
54.22,6789.3389,
54.32,6789.3389,
54.42,6789.3389,
54.53,6789.3389,
54.64,6789.3389,
54.74,6789.3389,
54.86,6789.3389,
54.97,6789.3389,
55.08,6789.3389,
55.18,6789.3389,
55.29,6789.3389,
55.4,6789.3389,
55.5,6789.3389,
55.61,6789.3389,
55.72,6789.3389,
55.82,6789.3389,
55.92,6789.3389,
56.02,6789.3389,
56.14,6789.3389,
56.24,6789.3389,
56.34,6789.3389,
56.45,6789.3389,
56.55,6789.3389,
56.65,6789.3389,
56.76,6770.0763,
56.87,6770.0763,
56.97,6770.0763,
57.07,6770.0763,
57.17,6770.0763,
57.28,6770.0763,
57.38,6770.0763,
57.49,6770.0763,
57.59,6770.0763,
57.7,6770.0763,
57.8,6770.0763,
57.9,6770.0763,
58.0,6770.0763,
58.11,6770.0763,
58.22,6770.0763,
58.33,6770.0763,
58.43,6770.0763,
58.53,6770.0763,
58.63,6770.0763,
58.74,6770.0763,
58.84,6770.0763,
58.95,6770.0763,
59.05,6770.0763,
59.16,6770.0763,
59.26,6770.0763,
59.37,6770.0763,
59.47,6770.0763,
59.57,6770.0763,
59.67,6770.0763,
59.77,6770.0763,
59.88,6770.0763,
59.98,6770.0763,
