elapsed_sec,best_cost,improvement_pct
0.11,6975.3098,
0.27,6895.0198,
0.48,6891.2546,
0.64,6899.5774,
0.8,6902.0894,
0.96,6911.2497,
1.13,6911.743,
1.3,6903.3883,
1.47,6862.411,
1.64,6873.1788,
1.81,6878.1179,
1.98,6879.6276,
2.14,6884.2827,
2.32,6855.4049,
2.48,6868.2459,
2.66,6868.2459,
2.83,6902.7169,
3.0,6869.8246,
3.17,6874.5229,
3.34,6849.5163,
3.51,6840.4223,
3.68,6818.4024,
3.85,6818.7773,
4.01,6820.2589,
4.19,6840.3882,
4.36,6829.7043,
4.53,6829.7043,
4.72,6829.7043,
4.9,6850.2523,
5.08,6836.6771,
5.25,6827.691,
5.42,6827.691,
5.58,6827.691,
5.75,6827.691,
5.91,6827.691,
6.08,6820.8923,
6.24,6820.8923,
6.41,6820.8923,
6.58,6820.8923,
6.76,6842.9225,
6.94,6842.9225,
7.12,6863.3433,
7.3,6843.2146,
7.48,6863.701,
7.66,6847.1836,
7.85,6847.1836,
8.02,6853.9823,
8.19,6853.9823,
8.37,6853.9823,
8.54,6853.9823,
8.7,6831.9521,
8.88,6831.9521,
9.05,6865.5492,
9.22,6843.619,
9.39,6865.7062,
9.57,6852.2863,
9.74,6868.6792,
9.93,6849.4787,
10.1,6852.1578,
10.26,6861.8412,
10.43,6869.7968,
10.6,6838.6768,
10.76,6838.6768,
10.89,6830.8408,
11.07,6815.2049,
11.22,6815.2049,
11.39,6842.4475,
11.57,6844.6914,
11.74,6852.9722,
11.91,6827.8183,
12.09,6827.8183,
12.28,6827.8183,
12.46,6827.8183,
12.63,6827.8183,
12.8,6827.8183,
12.99,6827.8183,
13.16,6827.8183,
13.33,6827.8183,
13.51,6827.8183,
13.62,6833.5057,
13.79,6840.3044,
13.97,6852.126,
14.14,6827.691,
14.31,6827.691,
14.48,6827.691,
14.65,6827.691,
14.82,6827.691,
15.0,6827.691,
15.18,6827.691,
15.35,6827.691,
15.52,6827.691,
15.71,6854.1609,
15.87,6823.0409,
16.05,6831.1873,
16.22,6832.0956,
16.39,6827.8007,
16.56,6827.8007,
16.74,6833.7978,
16.91,6842.4651,
17.09,6852.9898,
17.26,6854.2842,
17.44,6833.5057,
17.62,6833.5057,
17.8,6833.5057,
17.97,6833.5057,
18.14,6833.5057,
18.31,6865.5434,
18.49,6840.3044,
18.66,6827.691,
18.83,6827.691,
18.99,6827.691,
19.16,6827.691,
19.33,6836.6504,
19.49,6847.1751,
19.66,6849.9133,
19.82,6831.9521,
19.99,6831.9521,
20.15,6831.9521,
20.32,6848.9718,
20.48,6825.1534,
20.65,6825.1534,
20.83,6825.1534,
21.02,6825.1534,
21.18,6845.4876,
21.35,6842.5112,
21.51,6859.1879,
21.7,6860.1246,
