elapsed_sec,best_cost,improvement_pct
0.22,11161.7671,
0.35,11161.7671,
0.46,11161.7671,
0.56,11366.8013,
0.68,11653.1475,
0.78,11650.641,
0.88,11442.8103,
0.98,11451.1566,
1.08,11391.2174,
1.2,11426.9145,
1.37,11382.2715,
1.51,11382.2715,
1.63,11382.2715,
1.76,11411.9708,
1.86,11419.4738,
1.96,11419.4738,
2.09,11372.8427,
2.21,11613.5301,
2.32,11657.9478,
2.43,11616.4581,
2.53,11616.4581,
2.63,11896.9098,
2.73,11858.0116,
2.86,11857.4222,
2.99,11918.6762,
3.11,11918.6762,
3.21,11918.6762,
3.35,11932.5118,
3.48,11948.9364,
3.59,11942.3684,
3.71,11846.9976,
3.83,11749.5445,
3.94,11749.5445,
4.09,11744.7653,
4.19,11805.3838,
4.29,11784.4089,
4.41,11844.3481,
4.51,12320.9329,
4.62,12326.3867,
4.73,12137.189,
4.83,12131.3331,
4.98,12131.3331,
5.08,12227.6227,
5.24,12227.6227,
5.34,11915.5202,
5.46,11906.215,
5.66,11933.4324,
5.81,11936.4672,
5.91,11931.06,
6.03,11709.1534,
6.13,11676.4199,
6.26,11726.0991,
6.37,11726.0991,
6.54,11726.0991,
6.69,11714.5686,
6.8,11724.6705,
6.9,11724.6705,
7.0,11695.6841,
7.1,11697.1127,
7.24,11697.1127,
7.39,11719.9156,
7.5,11719.9156,
7.6,11696.026,
7.71,11723.1326,
7.81,11748.6878,
7.91,11836.2728,
8.03,11836.2728,
8.19,11760.0346,
8.3,11760.0346,
8.41,11723.8171,
8.63,11721.8035,
8.74,11729.1198,
8.86,11729.1198,
9.0,11720.9249,
9.1,11714.0169,
9.22,11714.0169,
9.41,11714.0169,
9.51,11765.7863,
9.62,11785.4584,
9.75,11840.0288,
9.91,11705.5292,
11.22,11705.5292,
11.33,11688.9734,
11.52,11704.8715,
11.62,11714.7421,
11.75,11691.8714,
11.85,11696.3605,
11.99,11535.8244,
12.12,11535.8244,
12.22,11535.8244,
12.33,11724.2826,
12.45,11684.2224,
12.56,11709.0803,
12.67,11735.9225,
12.81,11722.1925,
12.95,11722.1925,
13.05,11708.042,
13.15,11484.8268,
13.29,11346.062,
13.43,11346.062,
13.55,11335.1087,
13.68,11507.5837,
13.78,11507.5837,
13.89,11515.8321,
14.08,11644.9146,
14.18,11612.6074,
14.31,11660.545,
14.41,11656.7512,
14.53,11652.2995,
14.63,11693.3558,
14.75,11705.953,
14.88,11705.1463,
15.04,11882.4029,
15.14,11996.9733,
15.31,11994.8145,
15.41,11973.3173,
15.51,11973.3173,
15.65,12020.0792,
15.75,12069.4423,
15.86,12027.8798,
15.98,12075.9255,
16.09,12013.2528,
16.29,11973.1926,
16.39,11998.4077,
16.53,12001.0821,
16.66,12000.1139,
16.78,11740.9814,
16.9,11650.0138,
17.07,11616.0875,
17.17,11657.5654,
17.27,11657.5654,
17.4,11657.5654,
17.5,11659.8725,
17.63,11659.6662,
17.77,11659.6662,
17.87,11734.3415,
17.97,11737.0987,
18.15,11695.2287,
18.26,11677.2493,
18.38,11677.5433,
18.5,11648.4143,
18.63,11648.4143,
18.82,11652.8698,
18.96,11641.6443,
19.08,11640.9058,
19.18,11654.2068,
19.33,11643.46,
19.5,11617.2177,
19.66,11644.029,
19.77,11644.029,
19.88,11653.7084,
19.98,11549.9445,
20.11,11587.6311,
20.21,11726.8089,
20.34,11492.5326,
20.44,11368.3139,
20.61,11368.3139,
20.75,11385.1519,
20.86,11385.1519,
20.97,11385.1519,
21.1,11428.7731,
21.21,11428.4791,
