elapsed_sec,best_cost,improvement_pct
0.1,12714.0641,
0.2,12924.7228,
0.3,12286.9073,
0.41,12236.9762,
0.51,11934.398,
0.61,11938.2053,
0.71,11923.045,
0.81,11923.045,
0.91,11923.045,
1.02,11922.0463,
1.12,11922.0463,
1.22,11914.9841,
1.32,11914.9841,
1.42,11914.9841,
1.52,11914.9841,
1.62,11914.9841,
1.72,11914.9841,
1.82,11914.9841,
1.93,11914.9841,
2.11,11998.7194,
2.21,12225.5446,
2.31,12141.2406,
2.41,12148.9142,
2.51,12028.8458,
2.61,12023.6519,
2.71,12022.8611,
2.81,12022.8611,
2.92,12009.8307,
3.02,11999.5654,
3.12,11979.7659,
3.22,11979.7659,
3.32,11979.7659,
3.42,11965.6561,
3.53,11941.6723,
3.63,11939.7255,
3.73,11938.8886,
3.83,11920.5525,
3.94,11920.5525,
4.04,11920.5525,
4.14,11920.5525,
4.24,11920.5525,
4.35,12729.7772,
4.45,12676.8946,
4.55,12724.1359,
4.81,12724.1359,
4.91,12661.6223,
5.02,12515.8214,
5.12,12498.5334,
5.22,12391.5347,
5.32,12333.5263,
5.42,12327.0053,
5.52,12327.0053,
5.62,12313.0516,
5.72,12313.0516,
5.83,12313.0516,
5.93,12313.0516,
6.03,12310.3507,
6.13,12310.3507,
6.23,12310.3507,
6.33,12310.3507,
6.43,12310.3507,
6.54,12310.3507,
6.64,12304.2359,
6.74,12304.2359,
6.87,12050.7415,
6.97,12011.5167,
7.07,12011.7593,
7.17,11980.2319,
7.28,11917.2728,
7.38,11968.0509,
7.48,11946.6552,
7.58,11942.3931,
7.68,11942.1282,
7.78,11938.1861,
7.88,11715.623,
7.98,11715.623,
8.08,11715.623,
8.19,11715.623,
8.29,11715.623,
8.39,11693.6411,
8.49,11693.6411,
8.59,11693.6411,
8.69,11693.6411,
8.79,11693.6411,
8.98,11903.8895,
9.08,11929.808,
9.19,11872.6571,
9.29,11856.0379,
9.39,11865.4157,
9.49,11858.4943,
9.59,11802.5047,
9.69,11802.7696,
9.8,11802.7696,
9.9,11802.7696,
10.0,11802.5047,
10.1,11787.6093,
10.2,11787.6093,
10.3,11787.6093,
10.41,11787.6093,
10.51,11787.6093,
10.61,11787.6093,
10.71,11787.6093,
10.9,12625.8471,
11.0,12214.319,
11.1,12243.1747,
11.2,12204.184,
11.3,12210.6221,
11.41,12187.6918,
11.52,12187.4412,
11.62,12187.4412,
11.72,12168.8993,
11.82,12168.8993,
11.92,12163.8716,
12.03,12163.8716,
12.13,12157.1434,
12.23,12152.8195,
