elapsed_sec,best_cost,improvement_pct
0.11,12743.2002,
0.21,12830.8881,
0.31,13320.519,
0.42,13250.8487,
0.52,13292.7551,
0.64,13301.8234,
0.74,13321.2478,
0.84,13057.6324,
0.94,13290.6267,
1.05,13082.3334,
1.17,13112.4419,
1.27,13134.5617,
1.37,13517.6373,
1.48,13504.1794,
1.58,13226.8218,
1.75,13228.9517,
1.89,13210.5564,
2.0,13201.9038,
2.12,13215.7138,
2.23,13624.9584,
2.33,13300.4552,
2.43,13386.505,
2.53,13287.3568,
2.63,13287.9254,
2.78,13288.7029,
2.89,13023.1651,
3.04,12920.3824,
3.15,12844.4375,
3.25,12858.4668,
3.39,12891.7016,
3.52,13358.4364,
3.65,13358.4364,
3.76,13342.4917,
3.9,13654.407,
4.04,13197.2343,
4.14,12986.3595,
4.24,12767.503,
4.37,12816.6853,
4.5,12609.9316,
4.6,12583.0033,
4.77,12672.4436,
4.97,12864.4447,
5.08,13087.4656,
5.18,13015.6334,
5.28,12882.6154,
5.38,12663.2369,
5.48,12672.7182,
5.61,12648.9209,
5.72,12660.7894,
5.82,12426.6248,
5.95,12456.6533,
6.09,12636.9018,
6.28,12663.1754,
6.42,12663.1754,
6.55,12442.1517,
6.65,12442.1517,
6.78,12706.9361,
6.92,12641.5765,
7.06,12629.2604,
7.22,12670.394,
7.39,12670.394,
7.49,12610.4621,
7.63,12408.1907,
7.75,12592.1905,
7.86,12550.9113,
7.99,12595.0446,
8.12,12682.0156,
8.25,12801.9618,
8.39,12857.6357,
8.49,12543.4982,
8.59,12521.0914,
8.7,12610.651,
8.8,12623.8887,
8.98,12627.8785,
9.17,12962.1861,
9.32,12990.7054,
9.43,13019.1657,
9.55,12831.2258,
9.65,12800.4886,
9.82,12799.7274,
9.92,12835.1638,
10.02,12757.4342,
10.12,12539.3161,
10.24,12798.7179,
10.36,12740.4433,
10.46,12723.4072,
10.64,12725.4528,
10.77,12752.774,
10.87,12628.8044,
10.97,12745.2164,
11.11,12714.2566,
11.23,13042.3154,
11.37,13009.7071,
11.47,12795.0878,
11.61,12758.8928,
11.71,12778.0102,
11.82,12788.6601,
11.92,12750.8566,
12.04,12756.5412,
12.21,12731.4645,
12.31,12758.6186,
12.46,12745.5148,
12.56,12699.6796,
12.68,12800.1974,
12.78,12807.2704,
12.88,12838.2343,
12.99,12839.8801,
13.1,12850.3598,
13.21,12845.1079,
13.35,12830.8881,
13.47,12811.3535,
13.6,12762.8449,
13.72,12939.8059,
13.82,12434.6397,
13.94,12442.3673,
14.06,12449.8361,
14.17,12246.6709,
14.27,12215.4056,
14.41,12269.3075,
14.51,12228.1509,
14.61,12228.8048,
14.73,12182.4917,
14.83,12220.5753,
14.97,12208.4832,
15.08,12640.5581,
15.18,12894.8397,
15.28,12605.5616,
15.39,12574.3384,
15.53,12559.1037,
15.71,12421.2453,
15.82,12370.1672,
15.94,12370.3626,
16.04,12287.2827,
16.14,12385.8408,
16.26,12395.6853,
16.37,12395.6853,
16.47,12395.6853,
16.62,12339.3235,
16.75,12371.7048,
16.87,12329.698,
16.99,12616.0641,
17.12,12402.7317,
17.25,12356.7464,
17.36,12381.9603,
17.47,12482.0539,
17.59,12482.6626,
17.69,12444.228,
17.81,12444.228,
17.96,12403.3337,
18.06,12380.7968,
18.16,12390.7519,
18.26,12400.2359,
18.43,12427.8714,
18.53,12396.5447,
18.7,12414.0714,
18.81,12414.4694,
18.92,12441.3768,
19.04,12403.8572,
19.16,12372.7362,
19.28,12338.5834,
19.39,12590.6864,
19.6,12586.3673,
19.7,12586.3673,
19.83,12588.1193,
19.94,12658.4474,
20.08,12616.4501,
20.2,12633.8645,
20.32,12651.3474,
20.42,12553.7334,
20.55,12582.2852,
20.69,12551.8038,
20.85,12551.8038,
20.95,12575.419,
21.08,12573.5528,
21.18,12624.3906,
21.31,12871.4026,
21.44,12646.3361,
21.55,12700.0146,
21.65,12548.5624,
21.76,12478.6475,
21.96,12513.9269,
22.06,12530.876,
22.16,12531.6315,
22.29,12527.7423,
22.39,12529.6319,
22.49,12462.8761,
22.61,12403.1928,
22.71,12668.6335,
22.85,12717.9594,
22.95,12687.3786,
23.12,12687.3786,
23.28,12652.5653,
23.38,12484.0736,
23.5,12427.1911,
23.6,12390.4085,
23.72,12464.8911,
23.86,12506.8078,
23.98,12450.674,
24.16,12450.0811,
24.31,12495.0801,
24.43,12437.259,
24.53,12422.0803,
24.66,12445.7526,
24.76,12506.7714,
24.86,12503.0283,
24.97,12482.1962,
25.08,12447.8747,
25.23,12508.7146,
25.41,12495.958,
25.55,12556.5566,
25.66,12493.3211,
25.77,12474.344,
25.87,12459.0235,
25.98,12452.4143,
26.11,12520.0736,
26.21,12536.7767,
26.34,12536.7767,
26.45,12531.112,
26.56,12531.112,
26.69,12502.9218,
26.79,12694.1335,
26.92,12498.2827,
27.02,12476.1327,
27.15,12479.732,
27.25,12505.8367,
27.4,12505.8367,
27.5,12457.2805,
27.64,12468.2016,
27.75,12441.8864,
27.87,12666.599,
27.98,12168.6125,
28.08,12197.3168,
28.18,12317.8401,
28.29,12230.395,
28.39,12266.8114,
28.49,12291.1288,
28.59,12233.991,
28.69,12123.4317,
28.79,12081.3879,
28.9,11968.6774,
29.0,11920.8325,
29.1,11936.5933,
29.2,12002.5472,
29.3,11931.3214,
29.4,11976.4636,
29.5,11968.3343,
29.6,11947.3972,
29.71,11924.5647,
29.82,11980.7601,
29.93,11937.8439,
30.03,11904.6837,
30.15,11917.254,
30.27,11878.5681,
30.38,11921.945,
30.48,11899.8252,
30.58,11944.9742,
30.69,11982.6538,
30.79,11928.6572,
30.89,12006.1136,
31.03,12045.8083,
31.13,11989.2296,
31.23,11705.4328,
31.34,11707.2849,
31.44,11776.4917,
31.54,11713.1242,
31.64,11736.5523,
31.74,11709.587,
31.85,11760.5197,
31.95,11768.2222,
32.08,11746.1113,
32.18,11741.0734,
32.28,12055.8594,
32.38,11716.5605,
32.49,11679.3251,
32.59,11736.2805,
32.69,11751.204,
32.79,11747.8993,
32.9,11741.2596,
33.0,11720.0771,
33.1,11719.6316,
33.2,11739.3041,
33.31,11697.1117,
33.41,11833.9044,
33.51,11981.4162,
33.61,12007.2062,
33.72,11777.3817,
33.82,11763.6109,
33.93,11698.4446,
34.03,11707.3186,
34.13,11711.9578,
34.23,11695.0112,
34.33,11958.5573,
34.43,11866.1371,
34.53,11698.8141,
34.65,11743.9581,
34.75,11703.7013,
34.87,11670.2013,
34.98,11744.7909,
35.08,11720.5886,
35.18,11893.6462,
35.28,11727.4443,
35.38,11664.4078,
35.48,11742.7725,
35.59,11706.4903,
35.69,11657.2919,
35.79,11722.8644,
35.89,11712.731,
35.99,11739.2113,
36.11,11672.8544,
36.21,11657.1521,
36.31,11646.6029,
36.42,11638.2092,
36.52,11666.0457,
36.65,11742.1221,
37.22,11728.6227,
37.33,11690.6724,
37.43,11667.1361,
37.53,11701.9724,
37.65,11701.9724,
37.75,11697.4406,
37.85,11680.7283,
37.96,11681.8101,
38.08,11667.0245,
38.18,11641.8055,
38.28,11656.4441,
38.38,11668.2593,
38.49,11683.5642,
38.59,11673.7348,
38.69,11728.5006,
38.79,11765.2916,
38.9,11763.9455,
39.0,11635.9131,
39.11,11743.0901,
39.21,11628.2909,
39.31,11675.3327,
39.41,11649.6307,
39.51,11630.5216,
39.61,11683.1071,
39.71,11678.8441,
39.81,11657.4608,
39.92,11737.1494,
40.02,11658.9925,
40.12,11636.1432,
40.22,11725.0603,
40.33,11776.6751,
40.45,11769.1534,
40.55,11691.2821,
40.65,11723.1897,
40.75,11664.7889,
40.85,11712.6602,
40.98,11680.7434,
41.09,11691.5663,
41.19,11683.4448,
41.29,11676.9168,
41.4,11703.2409,
41.5,11644.6664,
41.61,11655.6377,
41.71,11687.002,
41.83,11659.3426,
41.94,11665.8664,
42.04,11716.3367,
42.14,11700.4371,
42.25,11704.4017,
42.35,11661.3383,
42.48,11701.1653,
42.58,11683.24,
42.68,11683.513,
42.78,11672.82,
42.88,11654.1577,
43.02,11667.4561,
43.12,11708.7008,
43.22,11662.6369,
43.33,11636.2493,
43.43,11636.4414,
43.55,11680.9999,
43.65,11695.1274,
43.75,11668.5317,
43.86,11676.9542,
43.96,11715.0766,
44.06,11676.7225,
44.18,11665.8721,
44.28,11673.2715,
44.4,11682.2427,
44.51,11651.1538,
44.61,11622.3047,
44.71,11645.2385,
44.81,11637.4095,
44.92,11637.3844,
45.02,11624.6189,
45.12,11630.7671,
45.22,11626.9769,
45.33,11626.9769,
45.44,11643.5398,
45.54,11653.7079,
45.64,11623.4642,
45.74,11621.264,
45.84,11649.7846,
45.94,11678.4646,
46.05,11671.7214,
46.15,11640.7158,
46.25,11659.4334,
46.36,11641.5396,
46.48,11707.308,
46.58,11666.1296,
46.68,11675.034,
46.78,11637.0541,
46.91,11676.5758,
47.02,11656.3656,
47.12,11681.9577,
47.22,11650.5599,
47.32,11657.7329,
47.44,11646.3882,
47.54,11690.7805,
47.64,11674.9963,
47.74,11656.5405,
47.86,11685.4641,
47.98,11704.7756,
48.08,11661.0353,
48.19,11663.5865,
48.3,11616.989,
48.4,11633.4473,
48.5,11651.3302,
48.6,11644.125,
48.7,11644.125,
48.81,11666.8867,
48.91,11620.8417,
49.01,11650.9094,
49.14,11672.9569,
49.25,11661.4744,
49.35,11656.674,
49.46,11649.4418,
49.57,11675.198,
49.68,11677.9904,
49.78,11637.807,
49.9,11638.0934,
50.0,11611.4726,
50.1,11634.5312,
50.2,11604.0078,
50.31,11601.4378,
50.41,11605.567,
50.51,11603.7039,
50.61,11591.472,
50.71,11593.342,
50.81,11613.1434,
50.92,11613.1434,
51.02,11623.8822,
51.12,11630.0578,
51.22,11593.6088,
51.32,11649.4305,
51.42,11614.7069,
51.52,11614.7069,
51.65,11601.4378,
51.75,11636.6947,
51.85,11622.0024,
51.95,11605.9254,
52.05,11618.2514,
52.15,11633.4209,
52.25,11622.9687,
52.38,11622.9687,
52.48,11599.6758,
52.58,11601.2469,
52.68,11625.5529,
52.78,11602.2143,
52.89,11609.6786,
52.99,11661.5833,
53.09,11651.0969,
53.19,11647.7531,
53.3,11638.9368,
53.41,11641.8959,
53.58,11648.3512,
53.68,11634.1363,
53.79,11628.0739,
53.91,11648.0919,
54.01,11622.3069,
54.4,11604.6269,
54.52,11604.6269,
54.62,11594.0194,
54.72,11606.193,
54.82,11622.1489,
54.92,11657.1488,
55.03,11658.9152,
55.14,11644.3695,
55.25,11612.9549,
55.35,11628.6327,
55.45,11617.5941,
55.56,11614.271,
55.66,11607.5019,
55.81,11609.073,
55.92,11609.3398,
56.02,11623.3638,
56.12,11636.7242,
56.22,11613.6981,
56.32,11611.0918,
56.43,11619.207,
56.58,11609.3398,
56.68,11609.3398,
56.79,11604.2985,
56.89,11602.3598,
56.99,11597.3254,
57.09,11594.4886,
57.19,11594.4886,
57.31,11594.4886,
57.41,11594.4886,
