elapsed_sec,best_cost,improvement_pct
0.14,11995.0464,
0.38,11995.0464,
0.54,12057.4073,
0.68,12166.4239,
0.79,12176.6559,
0.91,12176.6559,
1.02,12156.4671,
1.16,12207.6972,
1.27,12210.0085,
1.38,12212.4752,
1.48,12200.7164,
1.58,12200.7164,
1.69,12200.7164,
2.09,12087.1529,
2.2,12079.882,
2.33,12139.4974,
2.43,12138.7783,
2.53,12138.7783,
2.63,12143.1209,
2.75,11918.9592,
2.88,11887.8153,
3.01,11887.8153,
3.13,11894.9189,
3.24,11878.8347,
3.36,11878.8347,
3.54,11878.8347,
3.68,11878.8347,
3.78,11872.5744,
4.23,11912.0267,
4.33,11912.0267,
4.45,11917.2885,
4.58,11894.9018,
4.69,11894.9018,
4.97,11894.9018,
5.09,11894.9018,
5.2,11905.8173,
5.33,11865.1588,
5.46,11865.1588,
5.58,11865.1588,
5.71,11874.5674,
5.82,11874.5674,
5.95,11874.7122,
6.06,11920.4923,
6.24,11920.4923,
6.52,11920.4923,
6.62,11783.2761,
6.72,11777.0608,
6.99,11582.2247,
7.1,11582.2247,
7.27,11582.2247,
7.39,11584.0513,
7.66,11584.0513,
7.81,11570.2488,
7.91,11579.3373,
8.02,11566.3469,
8.13,11572.7193,
8.24,11559.3209,
8.34,11571.8802,
8.47,11577.7066,
8.73,11577.7066,
8.87,11567.8804,
9.02,11569.073,
9.16,11569.073,
9.26,11609.7315,
9.38,11609.7315,
9.48,11610.2851,
9.76,11610.2851,
9.91,11615.9746,
10.03,11620.4594,
10.14,11620.4594,
10.37,11620.4594,
10.79,11630.0421,
10.9,11649.2146,
11.01,11649.2146,
11.22,11649.2146,
11.48,11649.2146,
11.63,11635.3882,
11.94,11631.8885,
12.08,11631.8885,
12.22,11631.8885,
60.1,11559.3209,
