elapsed_sec,best_cost,improvement_pct
0.24,11716.3754,
0.49,11493.9209,
0.69,11347.4273,
0.92,11344.161,
1.12,11337.9457,
1.34,11337.0267,
1.75,11337.0267,
1.85,11637.8087,
1.99,11655.706,
2.17,11661.9213,
2.42,11657.7259,
2.59,11657.7259,
2.73,11650.7211,
2.83,11650.7211,
3.02,11650.7211,
3.12,11650.7211,
3.23,11645.8234,
3.33,11658.7542,
3.43,11658.7542,
3.61,11658.7542,
3.72,11662.836,
3.9,11662.836,
4.0,11662.836,
4.11,11659.7911,
4.23,11659.7911,
4.38,11668.8244,
4.48,11668.8244,
4.7,11746.2473,
4.81,11809.5624,
4.94,11809.5624,
5.05,11804.9786,
5.2,11852.0374,
5.32,11777.1847,
5.45,11777.1847,
5.56,11777.1847,
5.67,11777.624,
5.77,11782.1614,
5.91,11775.0327,
6.06,11775.0327,
6.17,11782.3839,
6.27,11837.4986,
6.38,11835.6226,
6.58,11800.7305,
6.68,11839.4937,
6.81,11838.3862,
6.91,12060.8407,
7.01,12089.3405,
7.13,12085.7819,
7.24,12069.2202,
7.4,12056.1849,
7.51,11961.6969,
7.62,11706.6333,
7.81,11706.6333,
7.92,11698.5671,
8.02,11698.5671,
8.15,11698.5671,
8.32,11696.3966,
8.56,11705.057,
8.68,11715.3855,
8.79,11715.7689,
8.91,11716.8476,
9.05,11714.5619,
9.15,11721.7916,
9.26,11721.7916,
9.38,11678.3085,
9.48,11687.9124,
9.75,12041.0629,
9.85,12038.5017,
9.99,12029.4684,
10.1,12003.6231,
10.2,12062.162,
10.3,12062.3153,
10.4,12105.8511,
10.53,12128.7463,
10.63,12120.1428,
10.75,12120.1428,
10.85,12094.8404,
10.98,12138.1304,
11.08,12091.026,
11.18,12094.3171,
11.28,12311.1613,
11.43,12095.5442,
11.55,12095.5442,
11.69,12086.2088,
11.8,12081.5372,
12.01,12081.5372,
12.11,12088.0027,
12.22,12101.6012,
12.39,12101.6012,
12.52,12101.6012,
12.66,12101.6012,
12.76,12105.2696,
12.88,12239.9726,
12.98,12246.1879,
13.08,12147.5819,
13.18,12297.0566,
13.28,12297.0566,
13.39,12285.8712,
13.49,12286.2146,
13.63,12240.9267,
13.76,12295.4493,
13.86,12287.1613,
13.98,12259.6712,
14.09,12265.2747,
14.19,12248.0488,
14.3,12251.9597,
14.4,12248.6149,
14.5,12273.4119,
14.63,12212.0029,
14.73,12212.0029,
14.9,12212.0029,
15.01,12212.0029,
15.11,12340.871,
15.22,12340.871,
15.35,12340.871,
15.45,12326.7583,
15.56,12329.1447,
15.67,12329.1447,
15.78,12336.9449,
15.88,12256.1349,
15.98,12256.1349,
16.09,12264.4204,
16.19,12240.7799,
16.33,12245.3238,
16.43,12245.3238,
16.53,12197.9774,
16.64,12365.0245,
16.76,12371.5057,
17.0,12371.5057,
17.1,12363.2141,
17.21,12356.0668,
17.33,12423.9337,
17.46,12380.5463,
17.57,12197.2114,
17.73,12117.5658,
17.83,12117.3103,
17.94,12271.0366,
18.05,12423.5748,
18.15,12423.5748,
18.26,12412.2823,
18.39,12417.1935,
18.5,12393.1165,
18.63,12393.1165,
18.75,12402.1498,
18.85,12402.1498,
19.11,12399.0868,
19.24,12395.5931,
19.8,12395.5931,
19.9,12396.7591,
20.0,12359.8461,
20.11,12359.8461,
20.28,12359.8461,
20.39,12362.0854,
20.5,12362.0854,
20.61,12350.2444,
20.72,12350.2444,
20.84,12361.2336,
20.95,12363.1936,
21.09,12363.1936,
21.24,12480.2769,
21.35,12480.8556,
21.45,12480.8556,
21.65,12480.8556,
21.75,12496.3056,
21.87,12573.7324,
22.07,12454.1368,
22.17,12454.1368,
22.29,12579.6005,
22.4,12580.4782,
22.54,12580.4782,
22.65,12594.854,
22.78,12557.0077,
23.81,11336.8553,
24.7,11377.8913,
24.84,11377.8913,
24.96,11378.0588,
25.07,11378.0588,
25.2,11378.0588,
25.31,11420.4595,
25.46,11420.4595,
25.56,11420.4595,
25.66,11420.4595,
25.77,11420.4595,
25.88,11441.4383,
25.98,11400.4023,
26.13,11425.4826,
26.25,11429.0543,
26.57,11429.0543,
26.67,11424.8304,
26.78,11468.7627,
26.9,11514.9359,
27.01,11514.9359,
27.14,11514.9359,
27.24,11562.8077,
27.35,11537.5669,
27.46,11584.7499,
27.59,11584.7499,
27.69,11584.7499,
27.82,11584.7499,
27.95,11584.7499,
28.08,11584.7499,
28.4,11584.7499,
60.14,11336.8553,
