elapsed_sec,best_cost,improvement_pct
0.15,14535.8282,
0.25,14345.8363,
0.36,14319.3814,
0.46,14056.9092,
0.58,14056.9092,
0.69,14055.1731,
0.8,14008.0593,
0.92,14008.0593,
1.02,14002.3327,
1.12,14002.3327,
1.24,13975.5988,
1.35,13969.5531,
1.45,13969.5531,
1.56,13969.5531,
1.67,13969.5531,
1.8,13969.5531,
1.9,13969.5531,
2.0,13969.5531,
2.11,13968.4614,
2.21,13962.602,
2.31,13962.602,
2.41,13956.1203,
2.51,13907.1719,
2.61,13907.1719,
2.71,13907.1719,
2.82,13907.1719,
2.92,13907.1719,
3.02,13907.1719,
3.12,13907.1719,
3.22,13907.1719,
3.32,13907.1719,
3.42,13907.1719,
3.52,13907.1719,
3.64,13907.1719,
3.75,13907.1719,
3.87,13907.1719,
3.97,13907.1719,
4.09,13907.1719,
4.21,13907.1719,
4.31,13907.1719,
4.42,13907.1719,
4.52,13907.1719,
4.63,13907.1719,
4.75,13907.1719,
4.87,13907.1719,
4.99,13907.1719,
5.09,13907.1719,
5.2,13907.1719,
5.3,13907.1719,
5.4,13907.1719,
5.53,13907.1719,
5.63,13907.1719,
5.73,13907.1719,
5.84,13907.1719,
5.94,13907.1719,
6.04,13907.1719,
6.14,13907.1719,
6.24,13907.1719,
6.34,13907.1719,
6.45,13907.1719,
6.56,13907.1719,
6.66,13907.1719,
6.77,13907.1719,
6.87,13907.1719,
6.97,13907.1719,
7.07,13907.1719,
7.17,13907.1719,
7.29,13907.1719,
7.39,13907.1719,
7.52,13907.1719,
7.63,13907.1719,
7.75,13907.1719,
7.85,13907.1719,
7.96,13907.1719,
8.06,13907.1719,
8.16,13907.1719,
8.26,13907.1719,
8.36,13907.1719,
8.47,13907.1719,
8.57,13907.1719,
8.67,13907.1719,
8.78,13907.1719,
8.89,13907.1719,
9.0,13907.1719,
9.12,13907.1719,
9.22,13907.1719,
9.32,13907.1719,
9.44,13907.1719,
9.54,13907.1719,
9.64,13907.1719,
9.76,13907.1719,
9.86,13907.1719,
9.96,13907.1719,
10.06,13907.1719,
10.17,13907.1719,
10.29,13907.1719,
10.4,13907.1719,
10.5,13907.1719,
10.6,13907.1719,
10.72,13907.1719,
10.83,13907.1719,
10.93,13907.1719,
11.03,13907.1719,
11.13,13907.1719,
11.23,13907.1719,
11.34,13907.1719,
11.46,13907.1719,
11.56,13907.1719,
11.67,13907.1719,
11.78,13907.1719,
11.88,13907.1719,
11.99,13907.1719,
12.09,13907.1719,
12.22,13907.1719,
12.32,13907.1719,
12.43,13907.1719,
12.54,13907.1719,
12.64,13907.1719,
12.74,13907.1719,
12.84,13907.1719,
12.94,13907.1719,
13.04,13907.1719,
13.14,13907.1719,
13.24,13907.1719,
13.34,13907.1719,
13.44,13907.1719,
13.54,13907.1719,
13.64,13907.1719,
13.74,13907.1719,
13.84,13907.1719,
13.96,13907.1719,
14.06,13907.1719,
14.16,13907.1719,
14.27,13907.1719,
14.38,13907.1719,
14.48,13907.1719,
14.58,13907.1719,
14.68,13907.1719,
14.78,13907.1719,
14.9,13907.1719,
15.0,13907.1719,
15.1,13907.1719,
15.2,13907.1719,
15.3,13907.1719,
15.43,13907.1719,
15.53,13907.1719,
15.63,13907.1719,
15.73,13907.1719,
15.83,13907.1719,
15.93,13907.1719,
16.03,13907.1719,
16.14,13907.1719,
16.25,13907.1719,
16.36,13907.1719,
16.46,13907.1719,
16.56,13907.1719,
16.66,13907.1719,
16.79,13907.1719,
16.9,13907.1719,
17.0,13907.1719,
17.1,13907.1719,
17.21,13907.1719,
17.94,13907.1719,
18.05,13907.1719,
18.15,13907.1719,
18.27,13907.1719,
18.38,13907.1719,
18.48,13907.1719,
18.59,13907.1719,
18.69,13907.1719,
18.79,13907.1719,
18.9,13907.1719,
19.01,13907.1719,
19.13,13907.1719,
19.23,13907.1719,
19.33,13907.1719,
19.43,13907.1719,
19.53,13907.1719,
19.64,13907.1719,
19.74,13907.1719,
19.84,13907.1719,
19.94,13907.1719,
20.04,13907.1719,
20.14,13907.1719,
20.25,13907.1719,
20.35,13907.1719,
20.47,13907.1719,
20.57,13907.1719,
20.68,13907.1719,
20.79,13907.1719,
20.9,13907.1719,
21.0,13907.1719,
21.1,13907.1719,
21.2,13907.1719,
21.3,13907.1719,
21.4,13907.1719,
21.52,13907.1719,
21.62,13907.1719,
21.72,13907.1719,
21.82,13907.1719,
21.93,13907.1719,
22.04,13907.1719,
22.14,13907.1719,
22.25,13907.1719,
22.35,13907.1719,
22.47,13907.1719,
22.57,13907.1719,
22.69,13907.1719,
22.8,13907.1719,
22.9,13907.1719,
23.02,13907.1719,
23.14,13907.1719,
23.24,13907.1719,
23.36,13907.1719,
23.46,13907.1719,
23.57,13907.1719,
23.69,13907.1719,
23.81,13907.1719,
23.91,13907.1719,
24.01,13907.1719,
24.11,13907.1719,
24.23,13907.1719,
24.33,13907.1719,
24.43,13907.1719,
24.54,13907.1719,
24.66,13907.1719,
24.76,13907.1719,
24.87,13907.1719,
24.99,13907.1719,
25.09,13907.1719,
25.19,13907.1719,
25.3,13907.1719,
25.4,13907.1719,
25.51,13907.1719,
25.65,13907.1719,
25.75,13907.1719,
25.85,13907.1719,
25.97,13907.1719,
26.07,13907.1719,
26.17,13907.1719,
26.27,13907.1719,
26.38,13907.1719,
26.49,13907.1719,
26.59,13907.1719,
26.69,13907.1719,
26.79,13907.1719,
26.91,13907.1719,
27.01,13907.1719,
27.11,13907.1719,
27.21,13907.1719,
27.33,13907.1719,
27.45,13907.1719,
27.55,13907.1719,
27.65,13907.1719,
27.76,13907.1719,
27.88,13907.1719,
27.99,13907.1719,
28.09,13907.1719,
28.2,13907.1719,
28.3,13907.1719,
28.42,13907.1719,
28.52,13907.1719,
28.62,13907.1719,
28.72,13907.1719,
28.82,13907.1719,
28.94,13907.1719,
29.06,13907.1719,
29.16,13907.1719,
29.27,13907.1719,
29.37,13907.1719,
29.48,13907.1719,
29.58,13907.1719,
29.69,13907.1719,
29.81,13907.1719,
29.93,13907.1719,
30.04,13907.1719,
30.16,13907.1719,
30.26,13907.1719,
30.36,13907.1719,
30.46,13907.1719,
30.56,13907.1719,
30.67,13907.1719,
30.78,13907.1719,
30.88,13907.1719,
30.98,13907.1719,
31.08,13907.1719,
31.18,13907.1719,
31.28,13907.1719,
31.38,13907.1719,
31.5,13907.1719,
31.6,13907.1719,
31.71,13907.1719,
31.82,13907.1719,
31.92,13907.1719,
32.02,13907.1719,
32.12,13907.1719,
32.23,13907.1719,
32.33,13907.1719,
32.43,13907.1719,
32.54,13907.1719,
32.64,13907.1719,
32.74,13907.1719,
32.86,13907.1719,
32.96,13907.1719,
33.06,13907.1719,
33.16,13907.1719,
33.26,13907.1719,
33.36,13907.1719,
33.46,13907.1719,
33.57,13907.1719,
33.67,13907.1719,
33.79,13907.1719,
33.9,13907.1719,
34.01,13907.1719,
34.12,13907.1719,
34.22,13907.1719,
34.32,13907.1719,
34.43,13907.1719,
34.55,13907.1719,
34.65,13907.1719,
34.75,13907.1719,
34.85,13907.1719,
34.96,13907.1719,
35.08,13907.1719,
35.19,13907.1719,
35.3,13907.1719,
35.4,13907.1719,
35.5,13907.1719,
35.61,13907.1719,
35.71,13907.1719,
35.81,13907.1719,
35.92,13907.1719,
36.02,13907.1719,
36.13,13907.1719,
36.24,13907.1719,
36.34,13907.1719,
36.44,13907.1719,
36.54,13907.1719,
36.64,13907.1719,
36.75,13907.1719,
36.89,13907.1719,
37.03,13907.1719,
37.13,13907.1719,
37.23,13907.1719,
37.33,13907.1719,
37.44,13907.1719,
37.55,13907.1719,
37.65,13907.1719,
37.75,13907.1719,
37.85,13907.1719,
37.98,13907.1719,
38.12,13907.1719,
38.23,13907.1719,
38.35,13907.1719,
38.46,13907.1719,
38.56,13907.1719,
38.66,13907.1719,
38.77,13907.1719,
38.87,13907.1719,
38.97,13907.1719,
39.08,13907.1719,
39.19,13907.1719,
39.29,13907.1719,
39.39,13907.1719,
39.49,13907.1719,
39.6,13907.1719,
39.7,13907.1719,
39.8,13907.1719,
39.9,13907.1719,
40.0,13907.1719,
40.11,13907.1719,
40.21,13907.1719,
40.31,13907.1719,
40.42,13907.1719,
40.52,13907.1719,
