elapsed_sec,best_cost,improvement_pct
0.28,14354.4482,
0.68,14343.2833,
0.9,14335.7283,
1.11,14064.1969,
1.34,14061.1994,
1.61,14047.3569,
1.84,13998.8598,
2.07,13997.0453,
2.33,13995.9536,
2.6,13995.3944,
2.84,13994.8387,
3.07,13995.2565,
3.3,13929.9434,
3.55,13915.2551,
3.81,13912.5388,
4.05,13912.121,
4.29,13912.6767,
4.53,13913.0841,
4.77,13912.121,
5.01,13912.7034,
5.25,13913.6665,
5.48,13913.2591,
5.74,13914.4827,
5.98,13913.2591,
6.21,13914.7501,
6.45,13913.2591,
6.69,13914.8508,
6.96,13913.2591,
7.21,13915.2672,
7.44,13895.5455,
7.67,13893.7034,
7.91,13893.121,
8.14,13892.5653,
8.37,13894.4074,
8.6,13895.4991,
8.83,13895.9169,
9.06,13891.9248,
9.29,13886.0654,
9.52,13884.2233,
9.76,13883.8055,
10.04,13884.3612,
10.28,13883.2695,
10.51,13882.7138,
10.77,13883.6769,
11.01,13882.7138,
11.24,13883.9374,
11.47,13882.7138,
11.75,13884.2048,
11.98,13882.7138,
12.24,13885.2858,
12.48,13882.7138,
12.72,13885.9951,
12.97,13882.7138,
13.2,13886.7852,
13.43,13882.7138,
13.72,13884.5559,
13.95,13886.0061,
14.19,13883.6312,
14.42,13886.0061,
14.69,13884.5559,
14.94,13882.7138,
15.18,13883.2695,
15.41,13883.6769,
15.65,13883.2695,
15.9,13882.7138,
16.14,13883.2962,
16.37,13884.2593,
16.6,13883.2962,
16.87,13884.5198,
17.11,13883.2962,
17.35,13884.7872,
17.61,13883.2962,
17.88,13885.8682,
18.15,13883.2962,
18.39,13886.5775,
18.68,13883.2962,
18.93,13884.3879,
19.21,13884.8057,
19.45,13884.3879,
19.71,13885.7306,
19.95,13884.3879,
20.2,13885.7791,
20.47,13884.3879,
20.75,13884.9436,
21.03,13885.351,
21.26,13884.9436,
21.5,13884.3879,
21.77,13883.8055,
22.01,13884.7686,
22.25,13883.8055,
22.49,13885.6476,
22.77,13883.8055,
23.02,13889.2641,
23.29,13883.8055,
23.54,13886.3775,
23.83,13883.8055,
24.08,13889.2882,
24.35,13883.8055,
24.6,13889.1929,
24.87,13887.3141,
25.1,13887.7319,
25.34,13887.3141,
25.57,13889.0712,
25.82,13887.3141,
26.08,13810.9645,
26.29,13805.0736,
26.49,13806.4853,
26.69,13805.0736,
26.91,13806.6653,
27.11,13805.0736,
27.31,13808.0711,
27.5,13805.0736,
27.71,13805.656,
27.94,13807.4981,
28.14,13805.656,
28.37,13810.8113,
28.57,13805.656,
28.78,13811.2228,
29.01,13805.656,
29.21,13811.5469,
29.41,13807.0677,
29.61,13810.8113,
29.84,13807.0677,
30.04,13811.5469,
30.24,13810.8113,
30.44,13811.2291,
30.64,13810.8113,
30.88,13811.5469,
31.09,13805.656,
31.29,13807.0677,
31.5,13805.656,
31.7,13807.2477,
31.93,13805.656,
32.13,13805.0736,
32.32,13806.9157,
32.54,13805.0736,
32.74,13808.0711,
32.98,13805.0736,
33.19,13810.2289,
33.4,13805.0736,
33.6,13810.6404,
33.84,13805.0736,
34.06,13810.9645,
34.25,13803.7404,
34.45,13799.8413,
34.66,13800.3136,
34.89,13799.8413,
35.09,13800.2591,
35.3,13799.8413,
35.5,13800.778,
35.75,13799.8413,
35.96,13801.1567,
36.16,13799.8413,
36.37,13801.433,
36.58,13799.8413,
36.78,13800.4237,
36.99,13802.2658,
37.19,13800.4237,
37.45,13802.9492,
37.72,13800.4237,
38.06,13803.4212,
38.29,13800.4237,
38.55,13803.8824,
38.78,13800.4237,
39.02,13800.4237,
39.28,13804.3228,
39.49,13800.4237,
39.69,13800.896,
39.89,13800.4237,
40.1,13800.8415,
40.31,13800.4237,
40.5,13801.3604,
40.71,13800.4237,
40.93,13801.7391,
41.17,13800.4237,
41.37,13802.0154,
41.56,13800.4237,
41.77,13799.8413,
42.02,13801.6834,
42.23,13799.8413,
42.43,13802.3668,
42.63,13799.8413,
42.83,13802.8388,
43.05,13799.8413,
43.24,13803.3,
60.02,13799.8413,
