elapsed_sec,best_cost,improvement_pct
35.88,14989.8899,
35.99,14993.4799,
36.1,14987.1033,
36.23,15039.3466,
36.33,15027.7009,
36.43,15364.5682,
36.57,15289.7228,
36.68,15349.3558,
36.8,15360.7583,
36.9,15360.7583,
37.02,15286.2566,
37.13,15242.5479,
37.25,15249.1704,
37.36,15238.8437,
37.47,15251.3107,
37.58,15297.9514,
37.71,15364.571,
37.83,15379.4196,
37.94,15379.4196,
38.04,15379.4196,
38.16,15323.6589,
38.27,15323.6589,
38.37,15326.5848,
38.48,15344.1018,
38.58,15350.1852,
38.7,15348.2458,
38.83,15390.3873,
38.95,15431.8895,
39.05,15383.2578,
39.17,15383.2578,
39.28,15383.2578,
39.41,15389.7933,
39.52,15389.7933,
39.62,15403.011,
39.74,15425.1574,
39.84,15385.3259,
39.94,15440.1572,
40.05,15434.1609,
40.17,15433.7084,
40.27,15463.1259,
40.37,15346.9242,
40.49,15323.3778,
40.59,15318.1341,
40.7,15319.1447,
40.8,15319.1447,
40.92,15326.6403,
41.04,15319.1447,
41.16,15089.83,
41.26,15089.83,
41.36,15089.83,
41.47,15087.0822,
41.57,15091.1394,
41.67,15116.8486,
41.79,15122.5702,
41.9,15155.7848,
42.01,15155.3323,
42.12,15161.9206,
42.22,15161.0285,
42.32,15161.4427,
42.43,15145.2078,
42.53,15155.2412,
42.64,15149.1636,
42.74,15141.7857,
42.85,15133.6655,
42.97,15133.6655,
43.11,15133.6655,
43.24,15084.4931,
43.34,15120.3545,
43.49,15123.8049,
43.59,15179.9249,
43.7,15147.6579,
43.81,15166.518,
43.91,15164.8456,
44.01,15158.5693,
44.11,15156.0195,
44.22,15155.5183,
44.32,15157.8048,
44.42,15164.8548,
44.53,15163.7565,
44.64,15163.7565,
44.74,15163.4853,
44.84,15179.6943,
44.95,15138.596,
45.08,15114.6718,
45.19,15108.9502,
45.3,15071.9945,
45.41,15076.8072,
45.54,15076.8072,
45.67,15076.8072,
45.77,15099.7377,
45.87,15099.7377,
45.98,15091.3673,
46.08,15072.1093,
46.21,15072.1093,
46.35,15073.1199,
46.45,15073.1199,
46.56,15081.6251,
46.66,15070.4358,
46.76,15082.9667,
46.86,15082.9667,
46.97,15063.0591,
47.09,15034.8477,
47.21,15045.6842,
47.38,15037.105,
47.48,15037.105,
47.59,15037.105,
47.7,15037.105,
47.85,15037.105,
47.96,15053.4042,
48.07,15050.108,
48.17,15050.108,
48.28,15053.1198,
48.39,15058.8414,
48.51,15084.9613,
48.61,15060.1329,
48.71,15060.1329,
48.85,15037.3847,
48.95,15037.3847,
49.07,15037.2135,
49.17,15037.2135,
49.27,15037.2135,
49.39,15000.9158,
49.51,15000.9158,
49.61,15001.087,
49.72,14989.605,
49.83,14989.605,
49.93,14989.605,
50.06,14989.605,
50.16,14989.605,
50.26,14989.605,
50.39,14995.3654,
50.49,14995.3654,
50.63,15034.629,
50.75,15034.629,
50.86,15031.5416,
50.97,15031.5416,
51.07,15031.5416,
51.17,15066.8224,
51.27,15073.7493,
51.38,15073.7493,
51.51,15033.2804,
51.63,15038.924,
51.79,15017.961,
51.89,15005.4538,
52.03,15005.4538,
52.13,15005.4538,
52.26,15004.4108,
52.37,15010.0654,
52.47,15010.0654,
52.59,15002.817,
52.69,15004.786,
52.8,15009.6702,
52.95,15024.8947,
53.06,15029.9815,
53.21,15029.9815,
53.39,15054.8099,
53.49,15032.9586,
53.59,15032.9586,
53.7,15032.9586,
53.81,15032.9586,
53.91,15032.9586,
54.01,15032.9586,
54.13,15027.8718,
54.24,15033.1846,
54.35,15033.1846,
54.46,15040.254,
54.58,15040.254,
54.69,15040.254,
54.82,15017.3693,
54.94,15017.3693,
55.04,15016.4975,
55.16,15017.3693,
55.26,15017.3693,
55.36,15017.3693,
55.47,15035.0356,
55.58,15035.0356,
55.69,15035.0356,
55.83,15034.8644,
55.94,15034.8644,
56.04,15034.8644,
56.15,15034.8644,
56.25,15040.586,
56.36,15038.617,
56.49,15004.0596,
56.6,15006.4819,
56.71,15013.6254,
56.81,15013.6254,
56.94,15006.5877,
57.05,15006.5877,
57.16,15006.5877,
57.29,15029.5071,
57.39,15031.48,
57.53,15031.48,
57.66,15077.8713,
57.76,15042.3039,
57.87,15042.3039,
58.0,15042.3039,
58.11,15035.0633,
58.21,15055.9128,
58.39,14852.41,
58.51,14852.41,
58.62,14852.41,
58.72,14842.2445,
58.82,14847.3313,
58.93,14847.3313,
59.04,14842.2445,
59.14,14842.2445,
59.25,14842.2445,
59.38,14847.9661,
59.48,14847.5136,
59.6,14847.5136,
59.71,14822.6852,
59.81,14822.6852,
59.92,14822.6852,
