elapsed_sec,best_cost,improvement_pct
0.15,15276.9798,
0.26,15276.9798,
0.4,15284.3824,
0.5,15287.7844,
0.68,15330.2827,
0.78,15337.8306,
0.88,15182.1063,
0.98,15184.5153,
1.1,15184.5153,
1.21,15153.0951,
1.34,15311.1012,
1.44,15606.8077,
1.57,15602.0465,
1.7,15294.0558,
1.81,15356.4845,
1.91,15356.4845,
2.01,15356.4845,
3.02,15356.4845,
3.12,15396.2032,
3.24,15421.1558,
3.34,15784.1009,
3.45,15456.3017,
3.55,15513.1343,
3.66,15732.6933,
3.77,15432.4258,
3.88,15433.7141,
4.01,15403.9894,
4.12,15403.9894,
4.24,15403.9894,
4.34,15519.0257,
4.45,15512.5448,
4.55,15436.2221,
4.66,15460.62,
4.76,15448.1242,
4.86,15784.5026,
4.96,15772.6534,
5.06,15853.2501,
5.18,16058.355,
5.28,16053.2286,
5.39,16060.5842,
5.55,16060.5842,
5.66,16002.4222,
5.77,16396.3787,
5.87,16087.7328,
5.99,15937.5142,
6.09,15337.2708,
6.26,15352.4123,
6.36,15346.0855,
6.47,15621.699,
6.57,15913.4967,
6.72,15688.8604,
6.82,15718.6762,
6.93,15730.3815,
7.04,15656.9252,
7.15,15816.8955,
7.25,15797.6442,
7.38,15490.5093,
7.5,15467.8115,
7.63,15454.3152,
7.73,15490.6034,
7.84,15451.1598,
7.96,15436.4969,
8.06,15505.2186,
8.18,15929.4955,
8.28,15929.4955,
8.4,15805.6324,
8.53,15761.7213,
8.64,15699.9894,
8.78,15687.4332,
8.88,15707.0974,
9.02,15696.111,
9.14,15739.4489,
9.26,15737.8393,
9.36,15699.7536,
9.5,15712.2006,
9.6,15729.3071,
9.7,15709.764,
9.8,15770.0555,
9.94,15722.3214,
10.06,15711.2608,
10.19,15754.8325,
10.32,15770.6682,
10.44,16064.547,
10.56,15757.0626,
10.69,15814.9304,
10.79,15763.2025,
10.89,15757.2287,
10.99,15758.3269,
11.12,15789.7075,
11.22,15839.3907,
11.32,15804.9828,
11.43,15846.006,
11.53,16153.346,
11.65,15764.366,
11.77,15764.366,
11.88,15762.3959,
11.98,15593.8203,
12.08,15428.8899,
12.18,15494.3634,
12.31,15488.5153,
12.41,15490.9006,
12.54,15498.5627,
12.65,15383.5534,
12.79,16010.8199,
12.9,15478.3163,
13.03,15535.9735,
13.14,15618.8062,
13.24,15603.2425,
13.35,15618.2698,
13.46,15539.441,
13.57,15290.7247,
13.68,15296.4218,
13.78,15308.8427,
13.91,15206.8745,
14.02,15214.3831,
14.13,15263.2317,
14.24,15254.9425,
14.34,15279.1356,
14.44,15287.7445,
14.55,15637.2369,
14.67,15639.1745,
14.8,15543.9159,
14.93,15592.4476,
15.04,15327.5966,
15.14,15117.2772,
15.27,15117.1429,
15.38,15108.967,
15.49,14843.8043,
15.59,14843.8043,
15.69,14844.6897,
15.8,14912.7907,
15.92,14924.2277,
16.05,14943.8897,
16.15,14961.5417,
16.26,15003.576,
16.36,15003.576,
16.48,14829.8267,
16.58,14829.8267,
16.69,14877.9753,
16.79,14894.87,
16.9,14868.22,
17.04,14855.5729,
17.16,14786.8372,
17.27,14843.9725,
17.37,14921.6543,
17.49,14647.1985,
17.62,14654.6468,
17.72,14562.5229,
17.85,14590.2575,
17.96,14514.5881,
18.06,14514.5526,
18.16,14527.2878,
18.27,14557.9721,
18.38,14555.5311,
18.5,14538.0557,
18.63,14572.1894,
18.74,14619.821,
18.84,14620.0409,
18.94,14559.4596,
19.06,14532.357,
19.18,14543.7251,
19.29,14829.5997,
19.39,14467.6629,
19.5,14469.0288,
19.6,14295.8212,
19.7,14227.0292,
19.81,14236.901,
19.91,14228.3402,
20.01,14280.0057,
20.11,14255.03,
20.24,14255.03,
20.34,14257.036,
20.46,14251.781,
20.57,14251.781,
20.68,14251.781,
20.78,14200.316,
20.88,14399.0988,
21.06,14884.5013,
21.16,14884.5013,
21.27,15198.274,
21.37,15206.8348,
21.5,15325.0102,
21.6,15041.9915,
21.76,14975.3976,
21.86,14839.939,
21.97,14651.2672,
22.07,14406.9826,
22.2,14445.7317,
22.33,14445.7317,
22.46,14421.792,
22.58,14413.2312,
22.68,14487.9488,
22.78,14453.6151,
22.89,14438.8159,
22.99,14438.8159,
23.1,14438.8159,
23.2,14366.1595,
23.33,14366.4516,
23.46,14368.6039,
23.56,14630.5507,
23.68,14633.6758,
23.78,14854.7067,
23.9,14846.8276,
24.0,14890.908,
24.11,14961.4947,
24.28,14963.576,
24.38,14963.576,
24.5,15217.632,
24.61,15012.6105,
24.71,15060.8863,
24.82,15012.6105,
24.93,15215.6456,
25.06,15216.9877,
25.17,15214.2437,
25.29,15213.9516,
25.44,15262.8658,
25.56,15285.0111,
25.67,15225.6947,
25.77,14974.3512,
25.87,14996.9339,
25.97,14951.8673,
26.11,15105.0689,
26.23,14795.2609,
26.41,14769.4816,
26.51,14769.4816,
26.64,14763.2493,
26.75,15075.839,
26.86,15075.839,
26.96,15075.839,
27.07,15074.6763,
27.18,15126.6586,
27.28,15155.8823,
27.38,15209.1706,
27.48,15216.426,
27.59,15213.1378,
27.69,15295.6167,
27.79,15534.4362,
27.91,15211.452,
28.01,15211.452,
28.13,15123.0434,
28.23,15144.7732,
28.37,15115.1853,
28.47,15108.9948,
28.6,15054.8451,
28.73,15192.0472,
28.83,15007.0069,
28.94,14987.5865,
29.04,14720.8663,
29.14,14763.414,
29.26,14775.082,
29.37,14774.2226,
29.47,14753.6695,
29.58,14744.6034,
29.68,14877.5524,
29.78,14877.5524,
29.89,14570.96,
30.04,14564.634,
30.15,14565.5058,
30.25,14565.5058,
30.36,14634.8474,
30.51,14556.8458,
30.64,14569.0663,
30.78,14569.0663,
30.89,14618.5491,
30.99,14627.1333,
31.1,14559.4518,
31.23,14649.0659,
31.33,14664.557,
31.45,14636.1249,
31.56,14677.6838,
31.66,15034.0706,
31.79,15034.0706,
31.89,15047.744,
32.02,14960.8635,
32.13,14999.3755,
32.23,14999.3755,
32.34,14906.8236,
32.45,14705.3095,
32.55,14469.0854,
32.68,14503.6813,
32.78,14762.7586,
32.91,14787.3495,
33.03,14833.9979,
33.14,14814.4327,
33.27,14732.1512,
33.39,14647.6837,
33.49,14689.2201,
33.6,14689.7203,
33.7,14665.2323,
33.81,14694.5903,
33.91,14777.9536,
34.03,14698.6621,
34.13,14683.3735,
34.24,14435.3734,
34.35,14508.963,
34.45,14537.2326,
34.55,14619.8676,
34.65,14619.8676,
34.77,14528.259,
34.89,14470.9476,
34.99,14523.0216,
35.09,14467.8346,
35.21,14617.0781,
35.34,14520.0853,
35.44,14517.7969,
35.54,14530.8716,
35.67,14530.8716,
35.78,14530.8716,
35.91,14525.6947,
36.01,14475.4926,
36.11,14467.7936,
36.22,14530.4288,
36.32,14609.732,
36.43,14555.9674,
36.54,14622.9211,
36.64,14664.956,
36.76,14662.6345,
36.86,14661.5629,
37.01,14609.4066,
37.11,14612.2008,
37.22,14612.2008,
37.33,14310.8135,
37.46,14315.4348,
37.58,14283.6467,
37.68,14574.6587,
37.81,14497.0981,
37.92,14517.0057,
38.07,14517.0057,
38.18,14536.4536,
38.28,14505.8974,
38.4,14520.4809,
38.52,14508.5731,
38.65,14517.6347,
38.76,14801.2932,
38.86,14815.4007,
38.96,14525.3405,
39.06,14508.2255,
39.16,14532.0779,
39.26,14523.8105,
39.4,14530.1365,
39.5,14530.1365,
39.6,14524.4873,
39.71,14515.5596,
39.82,14514.145,
39.93,14512.3694,
40.03,14501.9535,
40.13,14524.5412,
40.23,14539.8618,
40.33,14567.8623,
40.43,14692.6262,
40.57,14992.8976,
40.68,14986.9598,
40.8,14986.7886,
40.91,14887.2797,
41.01,14907.8755,
41.11,14671.0878,
41.22,14671.0878,
41.32,14658.6357,
41.45,14691.0092,
41.59,14651.2387,
41.71,14706.4755,
41.84,14761.632,
41.94,14706.3952,
42.08,14715.3625,
42.19,14681.7151,
42.29,14740.6181,
42.4,14719.6068,
42.51,14662.0196,
42.62,14675.0269,
42.73,14471.7816,
42.83,14516.7244,
42.94,14461.5138,
43.06,14458.4071,
43.16,14480.7899,
43.27,14456.2711,
43.4,14581.9203,
43.52,14527.2402,
43.62,14498.9435,
43.72,14569.0388,
