elapsed_sec,best_cost,improvement_pct
0.1,3630.9723,
0.2,3630.9723,
0.3,3630.9723,
0.4,3630.9723,
0.5,3630.9723,
0.6,3630.9723,
0.7,3630.9723,
0.8,3630.9723,
0.9,3630.9723,
1.01,3630.9723,
1.11,3630.9723,
1.21,3630.9723,
1.31,3630.9723,
1.41,3630.9723,
1.51,3630.9723,
1.61,3630.9723,
1.71,3630.9723,
1.81,3630.9723,
1.91,3630.9723,
2.01,3630.9723,
2.11,3630.9723,
2.21,3630.9723,
2.31,3630.9723,
2.41,3630.9723,
2.51,3630.9723,
2.61,3630.9723,
2.71,3630.9723,
2.81,3630.9723,
2.91,3630.9723,
3.01,3630.9723,
3.11,3630.9723,
3.21,3630.9723,
3.32,3630.9723,
3.42,3630.9723,
3.52,3630.9723,
3.62,3630.9723,
3.72,3630.9723,
3.82,3630.9723,
3.92,3630.9723,
4.02,3630.9723,
4.12,3630.9723,
4.22,3630.9723,
4.32,3630.9723,
4.42,3630.9723,
4.52,3630.9723,
4.62,3630.9723,
4.72,3630.9723,
4.82,3630.9723,
4.92,3630.9723,
5.02,3630.9723,
5.12,3630.9723,
5.22,3630.9723,
5.32,3630.9723,
5.42,3630.9723,
5.52,3630.9723,
5.62,3630.9723,
5.72,3630.9723,
5.82,3630.9723,
5.92,3630.9723,
6.02,3630.9723,
6.12,3630.9723,
6.22,3630.9723,
6.32,3630.9723,
6.42,3630.9723,
6.52,3630.9723,
6.62,3630.9723,
6.72,3630.9723,
6.82,3630.9723,
6.92,3630.9723,
7.02,3630.9723,
7.12,3630.9723,
7.22,3630.9723,
7.32,3630.9723,
7.42,3630.9723,
7.52,3630.9723,
7.62,3630.9723,
7.72,3630.9723,
7.82,3630.9723,
7.92,3630.9723,
8.02,3630.9723,
8.12,3630.9723,
8.22,3630.9723,
8.32,3630.9723,
8.42,3630.9723,
8.52,3630.9723,
8.62,3630.9723,
8.72,3630.9723,
8.82,3630.9723,
8.92,3630.9723,
9.02,3630.9723,
9.12,3630.9723,
9.23,3630.9723,
9.33,3630.9723,
9.43,3630.9723,
9.53,3630.9723,
9.63,3630.9723,
9.73,3630.9723,
9.83,3630.9723,
9.93,3630.9723,
10.03,3630.9723,
10.13,3630.9723,
10.23,3630.9723,
10.33,3630.9723,
10.43,3630.9723,
10.53,3630.9723,
10.63,3630.9723,
10.73,3630.9723,
10.83,3630.9723,
10.93,3630.9723,
11.03,3630.9723,
11.13,3630.9723,
11.23,3630.9723,
11.33,3630.9723,
11.43,3630.9723,
11.53,3630.9723,
11.63,3630.9723,
11.73,3630.9723,
11.83,3630.9723,
11.93,3630.9723,
12.03,3630.9723,
12.13,3630.9723,
12.23,3630.9723,
12.33,3630.9723,
12.43,3630.9723,
12.53,3630.9723,
12.63,3630.9723,
12.73,3630.9723,
12.83,3630.9723,
12.93,3630.9723,
13.03,3630.9723,
13.13,3630.9723,
13.23,3630.9723,
13.33,3630.9723,
13.43,3630.9723,
13.53,3630.9723,
13.63,3630.9723,
13.73,3630.9723,
13.83,3630.9723,
13.93,3630.9723,
14.04,3630.9723,
14.14,3630.9723,
14.24,3630.9723,
14.34,3630.9723,
14.44,3630.9723,
14.54,3630.9723,
14.64,3630.9723,
14.74,3630.9723,
14.84,3630.9723,
14.94,3630.9723,
15.04,3630.9723,
15.14,3630.9723,
15.24,3630.9723,
15.34,3630.9723,
15.44,3630.9723,
15.54,3630.9723,
15.64,3630.9723,
15.74,3630.9723,
15.84,3630.9723,
15.94,3630.9723,
16.04,3630.9723,
16.14,3630.9723,
16.24,3630.9723,
16.34,3630.9723,
16.44,3630.9723,
16.54,3630.9723,
16.64,3630.9723,
16.74,3630.9723,
16.84,3630.9723,
16.94,3630.9723,
17.04,3630.9723,
17.14,3630.9723,
17.24,3630.9723,
17.34,3630.9723,
17.44,3630.9723,
17.54,3630.9723,
17.64,3630.9723,
17.74,3630.9723,
17.84,3630.9723,
17.94,3630.9723,
18.04,3630.9723,
18.14,3630.9723,
18.24,3630.9723,
18.34,3630.9723,
18.45,3630.9723,
18.55,3630.9723,
18.65,3630.9723,
18.75,3630.9723,
18.85,3630.9723,
18.95,3630.9723,
19.05,3630.9723,
19.15,3630.9723,
19.25,3630.9723,
19.35,3630.9723,
19.45,3630.9723,
19.55,3630.9723,
19.65,3630.9723,
19.75,3630.9723,
19.85,3630.9723,
19.95,3630.9723,
20.05,3630.9723,
20.15,3630.9723,
20.25,3630.9723,
20.35,3630.9723,
20.45,3630.9723,
20.55,3630.9723,
20.65,3630.9723,
20.75,3630.9723,
20.85,3630.9723,
20.95,3630.9723,
21.05,3630.9723,
21.15,3630.9723,
21.25,3630.9723,
21.35,3630.9723,
21.45,3630.9723,
21.55,3630.9723,
21.65,3630.9723,
21.75,3630.9723,
21.85,3630.9723,
21.95,3630.9723,
22.05,3630.9723,
22.15,3630.9723,
22.25,3630.9723,
22.35,3630.9723,
22.45,3630.9723,
22.55,3630.9723,
22.65,3630.9723,
22.76,3630.9723,
22.86,3630.9723,
22.96,3630.9723,
23.06,3630.9723,
23.16,3630.9723,
23.26,3630.9723,
23.36,3630.9723,
23.46,3630.9723,
23.56,3630.9723,
23.66,3630.9723,
23.76,3630.9723,
23.86,3630.9723,
23.96,3630.9723,
24.06,3630.9723,
24.16,3630.9723,
24.26,3630.9723,
24.36,3630.9723,
24.46,3630.9723,
24.56,3630.9723,
24.66,3630.9723,
24.76,3630.9723,
24.86,3630.9723,
24.96,3630.9723,
25.06,3630.9723,
25.16,3630.9723,
25.26,3630.9723,
25.36,3630.9723,
25.46,3630.9723,
25.56,3630.9723,
25.66,3630.9723,
25.76,3630.9723,
25.86,3630.9723,
25.96,3630.9723,
26.06,3630.9723,
26.16,3630.9723,
26.26,3630.9723,
26.36,3630.9723,
26.46,3630.9723,
26.56,3630.9723,
26.66,3630.9723,
26.76,3630.9723,
26.86,3630.9723,
26.96,3630.9723,
27.06,3630.9723,
27.16,3630.9723,
27.26,3630.9723,
27.36,3630.9723,
27.46,3630.9723,
27.56,3630.9723,
27.66,3630.9723,
27.76,3630.9723,
27.86,3630.9723,
27.96,3630.9723,
28.06,3630.9723,
28.16,3630.9723,
28.26,3630.9723,
28.36,3630.9723,
28.46,3630.9723,
28.56,3630.9723,
28.66,3630.9723,
28.76,3630.9723,
28.86,3630.9723,
28.97,3630.9723,
