elapsed_sec,best_cost,improvement_pct
0.11,4134.4747,
0.21,4019.3213,
0.32,4090.3632,
0.42,3844.5671,
0.52,3479.9326,
0.62,3497.7382,
0.72,3629.5506,
0.82,3819.7961,
0.92,4107.2074,
1.02,4081.3345,
1.12,3769.1094,
1.22,3774.6879,
1.32,3485.9697,
1.42,3538.6332,
1.52,3432.6388,
1.62,3446.6576,
1.72,3626.9819,
1.82,3609.1733,
1.92,3652.7777,
2.02,3672.3778,
2.12,3447.0742,
2.22,3410.9648,
2.32,3460.011,
2.42,3474.7726,
2.52,3471.3785,
2.63,3480.5899,
2.73,3520.0184,
2.83,3485.8212,
2.93,3505.7287,
3.03,3480.2508,
3.13,3728.2252,
3.23,3736.041,
3.33,3721.3893,
3.43,3702.5834,
3.53,3517.5147,
3.63,3516.7983,
3.73,3566.1397,
3.83,3577.3063,
3.94,3580.0123,
4.04,3525.5247,
4.14,3468.4563,
4.24,3461.2767,
4.34,3477.9704,
4.44,3467.5798,
4.54,3351.0405,
4.64,3356.8317,
5.08,3343.2927,
