elapsed_sec,best_cost,improvement_pct
0.1,2980.3146,
0.2,2789.3496,
0.3,2790.6038,
0.4,2844.0948,
0.5,2781.7029,
0.6,2769.5326,
0.7,2787.3242,
0.8,2791.9536,
0.9,2794.094,
1.01,2767.9283,
1.12,2785.9285,
1.22,2793.5939,
1.32,2787.5215,
1.42,2794.8796,
1.52,3036.0894,
1.62,3040.0814,
1.72,2823.7449,
1.83,3380.5556,
1.93,2917.7426,
2.03,3123.6191,
2.13,2935.014,
2.23,3328.6898,
2.33,2992.5903,
2.43,3207.6383,
2.54,3298.9981,
2.64,2947.2062,
2.74,3069.9923,
2.84,2939.122,
2.94,2934.5147,
3.04,2954.8091,
3.14,2934.4563,
3.24,2925.9817,
3.34,2952.9086,
3.44,2930.4362,
3.55,2955.7031,
3.65,2948.7943,
3.75,2945.7581,
3.85,2884.3904,
3.95,2778.1004,
4.05,2850.8852,
4.16,3035.1626,
4.26,2881.9886,
4.36,2850.9182,
4.46,2842.1249,
4.56,3080.3247,
4.66,3249.4314,
4.76,3115.3784,
4.87,2970.1157,
4.97,2979.5501,
5.07,3177.4935,
5.17,3174.1072,
5.27,2962.9679,
5.37,2964.1209,
5.47,2900.793,
5.57,2897.2306,
5.67,2974.587,
5.77,2967.0057,
5.87,2971.7557,
5.97,2999.0559,
6.07,2990.5764,
6.17,2975.5464,
6.27,3202.3577,
6.38,2969.3434,
6.48,2976.4761,
6.58,2971.9945,
6.68,2986.2003,
6.78,2976.4832,
6.88,2969.7966,
6.98,2896.9763,
7.08,2898.1646,
7.18,2879.995,
7.28,2872.7386,
7.38,2899.2939,
7.48,2895.8749,
7.59,2801.8639,
7.69,2798.6613,
7.79,2898.887,
7.89,2939.3146,
7.99,2948.2563,
8.09,3060.3286,
8.19,3095.005,
8.29,2820.8933,
8.4,2820.8933,
8.5,2792.5707,
8.6,2895.8807,
8.7,2893.434,
8.8,2888.0481,
8.9,2805.5728,
9.0,2808.7754,
9.1,2793.4285,
9.2,2822.9132,
9.3,2793.4285,
9.4,2793.4285,
9.5,2819.7106,
9.6,2838.63,
9.7,2808.7754,
9.8,2805.5728,
9.9,2805.5728,
10.0,2796.6311,
10.1,2796.6311,
10.2,2796.6311,
10.3,2835.4274,
10.4,2805.5728,
10.5,2805.5728,
10.6,2895.4539,
10.7,3051.7327,
10.8,2963.0948,
10.91,2912.2404,
11.01,2960.8331,
11.11,2802.9145,
11.21,2802.9145,
11.31,2799.7119,
11.41,2797.2944,
11.51,2794.0918,
11.61,2794.0918,
11.71,2794.0918,
11.81,2794.0918,
11.92,2794.0918,
12.02,2794.0918,
12.12,2793.8004,
12.22,2795.8203,
12.32,2819.7106,
12.42,2805.5728,
12.53,2796.6311,
12.63,2796.6311,
12.73,2793.4285,
12.83,2805.5728,
12.93,2791.388,
13.03,2793.4285,
13.13,2793.4285,
13.23,2791.388,
13.33,2808.7754,
13.43,2808.7754,
13.53,2805.5728,
13.63,2793.4285,
13.73,2796.6311,
13.83,2793.4285,
