elapsed_sec,best_cost,improvement_pct
0.1,6286.6641,
0.2,6277.1907,
0.3,6218.733,
0.42,6160.4398,
0.52,6164.6676,
0.62,6159.4314,
0.72,6138.6742,
0.82,6134.2956,
0.93,6128.9903,
1.03,6128.9903,
1.14,6128.9903,
1.25,6128.9903,
1.36,6128.9903,
1.47,6128.9903,
1.57,6128.9903,
1.68,6128.9903,
1.78,6128.9903,
1.88,6128.9903,
1.99,6128.9903,
2.09,6128.9903,
2.19,6128.9903,
2.3,6128.9903,
2.4,6128.9903,
2.5,6128.9903,
2.6,6128.9903,
2.76,6274.9546,
2.86,6286.3648,
2.97,6264.9287,
3.07,6205.5309,
3.17,6161.1353,
3.27,6201.5631,
3.38,5902.1361,
3.49,5880.5584,
3.59,5800.9519,
3.69,5798.89,
3.79,5789.6068,
3.91,5786.8179,
4.01,5786.8179,
4.11,5631.7081,
4.21,5609.5726,
4.31,5609.5726,
4.41,5609.5726,
4.51,5609.5726,
4.61,5609.5726,
4.71,5609.5726,
4.82,5609.5726,
4.92,5609.5726,
5.02,5609.5726,
5.14,5609.5726,
5.24,5609.5726,
5.34,5609.5726,
5.44,5609.5726,
5.55,5609.5726,
5.65,5609.2345,
5.75,5609.2345,
5.86,5609.2345,
5.99,6101.9529,
6.09,6070.2553,
6.2,5987.5105,
6.31,6067.0905,
6.41,6016.4914,
6.51,5686.1589,
6.61,5648.9054,
6.71,5612.1084,
6.82,5612.1084,
6.92,5608.7268,
7.02,5610.016,
7.12,5605.1323,
7.26,5605.1323,
7.36,5607.399,
7.46,5603.0703,
7.56,5603.0703,
7.66,5603.0703,
7.76,5603.0703,
7.87,5603.0703,
7.97,5603.0703,
8.07,5603.0703,
8.17,5603.0703,
8.27,5603.0703,
8.38,5603.0703,
8.48,5603.0703,
8.58,5603.0703,
8.68,5603.0703,
8.78,5603.0703,
8.88,5603.0703,
8.98,5601.5527,
9.09,5601.5527,
9.29,6038.0748,
9.39,6036.153,
9.49,5933.985,
9.59,5934.5329,
9.7,5890.8213,
9.8,5729.0657,
9.9,5750.9871,
10.0,5725.8775,
10.1,5705.4248,
10.2,5704.7666,
10.3,5705.9146,
10.4,5688.1015,
10.5,5684.8032,
10.6,5667.8531,
10.71,5668.3448,
10.81,5669.0028,
10.92,5666.2566,
11.03,5667.3849,
11.13,5664.986,
11.23,5663.4684,
11.33,5663.4684,
11.43,5663.4684,
11.53,5663.4684,
11.64,5664.0863,
11.74,5663.4684,
11.84,5663.4684,
11.94,5663.4684,
12.06,5661.6743,
12.16,5661.6743,
12.26,5661.6743,
12.36,5661.6743,
12.46,5661.6743,
12.57,5661.6743,
12.67,5661.6743,
12.77,5661.6743,
12.87,5661.6743,
12.97,5661.6743,
13.07,5661.6743,
13.17,5661.6743,
13.35,6229.0047,
13.46,6228.4067,
13.56,6210.4692,
13.66,6213.8896,
13.77,6072.6035,
13.87,6044.1099,
13.98,6077.9114,
14.08,6073.7159,
14.18,5965.9856,
14.3,5964.0291,
14.4,5964.0291,
14.51,5929.3199,
14.61,5921.0012,
14.71,5921.0012,
14.81,5921.0012,
14.92,5921.0012,
15.02,5921.0012,
15.12,5921.0012,
15.22,5921.0012,
15.32,5916.5003,
15.43,5916.5003,
15.53,5854.5199,
15.63,5854.5199,
15.73,5854.5199,
15.84,5853.4673,
15.95,5853.4673,
16.05,5853.4673,
16.15,5853.4673,
16.25,5853.4673,
16.36,5853.4673,
16.49,5679.0922,
16.59,5681.8565,
16.69,5623.7472,
16.79,5673.8077,
16.89,5667.8863,
17.0,5657.5935,
17.11,5647.7279,
17.21,5629.257,
17.32,5637.902,
17.42,5620.4761,
17.52,5617.6551,
17.62,5620.607,
17.73,5617.0372,
17.83,5617.0372,
17.93,5610.8322,
18.03,5610.8322,
18.13,5610.8322,
18.23,5610.8322,
18.33,5610.8322,
18.43,5598.4812,
18.53,5598.4812,
18.63,5598.4812,
18.74,5598.4812,
18.84,5598.4812,
18.94,5598.4812,
19.04,5598.4812,
19.14,5598.4812,
19.25,5598.4812,
19.35,5598.4812,
19.46,5598.4812,
19.56,5598.4812,
19.66,5598.4812,
19.76,5598.4812,
19.86,5598.4812,
19.97,5697.8801,
20.07,5660.3319,
20.18,5675.5332,
20.29,5639.1368,
20.4,5607.1059,
20.51,5602.8204,
20.61,5611.092,
20.71,5597.8726,
20.81,5585.0936,
20.91,5586.5378,
21.02,5586.5378,
21.13,5584.6431,
21.23,5585.0936,
21.33,5585.0936,
21.44,5587.2142,
21.54,5587.7631,
21.65,5585.0936,
21.76,5585.0936,
21.86,5585.0936,
21.96,5585.0936,
22.06,5585.0936,
22.17,5585.0936,
22.28,5584.6431,
22.38,5584.6431,
22.48,5584.6431,
22.58,5584.6431,
22.69,5584.6431,
22.79,5584.6431,
22.89,5584.6431,
22.99,5584.6431,
23.09,5584.6431,
23.2,5584.6431,
23.31,5584.6431,
23.42,5584.6431,
23.52,5584.6431,
23.62,5584.6431,
23.81,5692.814,
23.91,5748.3704,
24.01,5682.7844,
24.12,5555.8932,
24.22,5572.0405,
24.32,5559.3145,
24.42,5574.1947,
24.52,5566.0388,
24.62,5547.9885,
24.72,5527.9564,
24.83,5526.1676,
24.93,5528.8384,
25.04,5524.829,
25.14,5524.829,
25.24,5524.829,
25.34,5524.829,
25.45,5524.829,
25.55,5524.829,
25.65,5524.829,
25.75,5524.829,
25.85,5524.829,
25.97,5524.829,
26.07,5524.829,
26.17,5524.829,
26.27,5524.829,
26.37,5524.829,
26.47,5524.829,
26.57,5524.829,
26.68,5524.829,
26.78,5524.829,
26.88,5524.829,
27.09,6490.3064,
27.2,6001.1047,
27.33,5990.1682,
27.43,5755.8072,
27.53,5742.5936,
27.63,5774.3799,
27.73,5724.0233,
27.83,5726.0479,
27.93,5663.379,
28.04,5663.379,
28.14,5663.379,
28.24,5629.5145,
28.35,5627.7156,
28.45,5627.7156,
28.55,5627.7156,
28.67,5627.7156,
28.77,5627.7156,
28.87,5627.7156,
28.97,5627.7156,
29.08,5627.7156,
29.18,5627.7156,
29.28,5627.7156,
29.39,5627.7156,
29.49,5627.7156,
29.6,5627.7156,
29.71,5627.7156,
29.81,5627.7156,
29.91,5627.7156,
30.01,5627.7156,
30.12,5627.7156,
30.22,5627.7156,
30.32,5627.7156,
30.42,5627.7156,
30.53,5627.7156,
30.7,5654.7594,
30.8,5587.8972,
30.9,5582.6286,
31.01,5608.9343,
31.11,5607.6592,
31.21,5598.5006,
31.31,5630.5862,
31.41,5573.9561,
31.52,5569.804,
31.62,5523.8323,
31.73,5524.8027,
31.83,5524.219,
31.93,5524.8449,
32.04,5523.8323,
32.14,5522.3525,
32.24,5522.3525,
32.34,5522.3525,
32.45,5522.3525,
32.55,5522.3525,
32.66,5522.3525,
32.77,5522.3525,
32.87,5522.3525,
32.97,5522.3525,
33.07,5522.3525,
33.18,5522.3525,
33.28,5522.3525,
33.38,5522.3525,
33.48,5522.3525,
33.58,5522.3525,
33.68,5522.3525,
33.78,5522.3525,
33.88,5522.3525,
33.98,5522.3525,
34.09,5522.3525,
34.19,5522.3525,
34.32,6101.4804,
34.42,6062.8654,
34.53,6088.9499,
34.63,6106.6452,
34.73,6013.0539,
34.85,6012.2306,
34.95,6002.0324,
35.05,5974.8024,
35.16,5773.3528,
35.26,5759.251,
35.36,5639.0947,
35.47,5637.662,
35.57,5637.662,
35.69,5626.8097,
35.79,5626.8097,
35.89,5626.8097,
35.99,5619.1034,
36.1,5619.1034,
36.2,5619.1034,
36.3,5619.1034,
36.41,5619.1034,
36.51,5619.1034,
36.61,5619.1034,
36.72,5619.1034,
36.82,5619.1034,
36.92,5619.1034,
37.03,5619.1034,
37.14,5619.1034,
37.24,5619.1034,
37.34,5619.1034,
37.44,5619.1034,
37.54,5619.1034,
37.65,5613.6887,
37.84,6162.9773,
37.94,6089.9299,
38.04,6006.5924,
38.14,6020.6061,
38.24,5982.1912,
38.34,5961.8765,
38.45,5807.8929,
38.56,5808.5674,
38.69,5767.123,
38.79,5773.071,
38.89,5766.1737,
38.99,5752.4809,
39.11,5711.7595,
39.21,5703.5126,
39.31,5711.4481,
39.41,5699.1068,
39.51,5699.1068,
39.61,5699.1068,
39.72,5691.4005,
39.83,5691.4005,
39.93,5691.4005,
40.03,5691.4005,
40.13,5691.4005,
40.23,5691.4005,
40.33,5691.4005,
40.44,5691.4005,
40.54,5691.4005,
40.64,5691.4005,
40.74,5691.4005,
40.84,5691.4005,
40.95,5691.4005,
41.05,5691.4005,
41.15,5691.4005,
41.26,5691.4005,
41.36,5691.4005,
41.51,5994.6874,
41.61,5626.2631,
41.71,5686.5688,
41.81,5682.9812,
41.92,5597.9698,
42.02,5592.1259,
42.12,5571.6134,
42.23,5571.6134,
42.33,5578.5287,
42.43,5574.8223,
42.53,5572.3055,
42.63,5575.1706,
42.74,5569.1476,
42.84,5538.8932,
42.95,5538.2746,
43.05,5538.8932,
43.15,5538.8932,
43.26,5538.8932,
43.36,5538.8932,
43.46,5538.8932,
43.56,5538.8932,
43.66,5538.8932,
43.76,5538.8932,
43.87,5532.7217,
43.97,5532.7217,
44.07,5532.7217,
44.17,5518.9305,
44.28,5518.9305,
44.38,5518.9305,
44.48,5518.9305,
44.58,5518.3119,
44.68,5518.3119,
44.79,5518.3119,
44.9,5518.3119,
45.0,5518.3119,
45.1,5518.3119,
45.21,5946.4707,
45.31,6030.5329,
45.41,6126.1248,
45.52,6077.1785,
45.63,5998.3895,
45.73,5543.3492,
45.83,5527.8766,
45.93,5529.4035,
46.03,5525.0164,
46.13,5522.6712,
46.25,5511.7447,
46.36,5510.7632,
46.47,5510.7632,
46.57,5510.7632,
46.68,5510.7632,
46.78,5510.7632,
46.89,5511.3818,
46.99,5511.3818,
47.09,5511.3818,
47.2,5511.3818,
47.3,5511.3818,
47.4,5511.3818,
47.51,5511.3818,
47.61,5511.3818,
47.71,5511.3818,
47.81,5511.3818,
47.92,5511.3818,
48.02,5511.3818,
48.12,5511.3818,
48.22,5511.3818,
48.32,5510.7632,
48.42,5510.7632,
48.61,5621.2387,
48.72,5627.9306,
48.82,5639.9651,
48.92,5586.0646,
49.03,5563.6628,
49.13,5603.7613,
49.23,5596.2375,
49.37,5541.9245,
49.47,5549.0725,
49.58,5534.442,
49.68,5538.0424,
49.79,5527.4258,
49.89,5525.0456,
50.0,5525.6871,
50.1,5525.6871,
50.2,5521.3584,
50.3,5521.3584,
50.4,5521.3584,
50.5,5521.3584,
50.6,5521.3584,
50.71,5521.3584,
50.81,5521.3584,
50.91,5521.3584,
51.01,5521.3584,
51.12,5521.3584,
51.22,5521.3584,
51.32,5521.3584,
51.42,5521.3584,
51.52,5521.3584,
51.63,5521.3584,
51.73,5521.3584,
51.83,5521.3584,
51.95,5591.1588,
52.07,5679.2515,
52.17,5659.2734,
52.27,5633.6642,
52.37,5639.6006,
52.47,5598.5208,
52.58,5608.2461,
52.69,5596.7653,
52.79,5589.2177,
52.89,5592.8374,
52.99,5575.1543,
53.09,5565.9289,
53.2,5565.9289,
53.31,5565.9289,
53.42,5565.9289,
53.53,5565.9289,
53.63,5565.9289,
53.73,5532.4697,
53.83,5532.4697,
53.94,5532.4697,
54.05,5532.4697,
54.15,5532.4697,
54.25,5532.4697,
54.35,5532.4697,
54.45,5532.4697,
54.55,5532.4697,
54.65,5532.4697,
54.75,5532.4697,
54.86,5532.4697,
54.96,5532.4697,
55.06,5532.4697,
55.16,5532.4697,
55.26,5532.4697,
55.36,5532.4697,
55.49,5952.7153,
55.59,6068.843,
55.69,6076.6774,
55.81,5810.9524,
55.91,5816.5377,
56.01,5450.1872,
