elapsed_sec,best_cost,improvement_pct
0.1,6226.9201,
0.21,6209.45,
0.32,6195.5455,
0.43,6191.6624,
0.53,6164.6706,
0.63,6171.9262,
0.73,6224.8934,
0.84,6163.9665,
0.94,6191.7758,
1.05,6191.3015,
1.15,6165.208,
1.25,6206.468,
1.35,6270.3564,
1.45,6227.5377,
1.56,6226.8867,
1.67,6231.8634,
1.77,6238.8276,
1.87,6226.5232,
1.98,6204.5005,
2.08,6191.3908,
2.19,6187.2819,
2.29,6187.9033,
2.39,6168.7999,
2.5,6213.7853,
2.6,6186.5676,
2.71,6182.7523,
2.81,6223.268,
2.92,6151.9812,
3.02,6175.5178,
3.12,6213.7879,
3.23,6196.6942,
3.33,6263.7589,
3.44,6240.7595,
3.54,6177.16,
3.65,6169.3197,
3.75,6163.9308,
3.86,6178.5577,
3.96,6225.2049,
4.07,6159.7356,
4.17,6159.8351,
4.28,6168.2866,
4.38,6157.9148,
4.49,6170.1387,
4.6,6268.2867,
4.7,6161.8593,
4.8,6227.8361,
4.91,6153.5784,
5.01,6168.5148,
5.11,6212.1684,
5.22,6185.9062,
5.32,6220.0185,
5.43,6166.3632,
5.53,6299.1143,
5.64,6190.59,
5.74,6167.4224,
5.85,6263.4647,
5.96,6167.1603,
6.06,6335.3125,
6.17,6221.0904,
6.27,6155.3014,
6.37,6160.3326,
6.47,6171.712,
6.58,6240.2106,
6.69,6186.1928,
6.79,6265.9248,
6.89,6265.5228,
7.0,6149.2499,
7.1,5854.7032,
7.21,5883.3099,
7.31,5840.339,
7.42,5893.176,
7.52,5877.2407,
7.62,5871.1957,
7.73,5867.324,
7.83,5857.1813,
7.93,5852.7577,
8.03,5870.5568,
8.14,5922.5706,
8.24,5896.433,
8.34,5843.5554,
8.45,5863.1242,
8.55,5853.5375,
8.65,5858.5424,
8.76,5866.7156,
8.86,5869.2206,
8.97,5897.7946,
9.07,5872.5104,
9.17,5860.7438,
9.27,5885.177,
9.38,5937.2601,
9.48,5907.8104,
9.59,5869.2075,
9.69,5874.7377,
9.79,5927.9492,
9.9,5875.8394,
10.0,5907.6343,
10.1,5872.7552,
10.2,5895.766,
10.31,5868.7073,
10.41,5867.4308,
10.51,5852.2558,
10.61,5854.147,
10.71,5842.7944,
10.81,5817.1753,
10.92,5828.5856,
11.02,5834.598,
11.12,5840.8101,
11.23,5907.7781,
11.33,5840.1571,
11.43,5868.2099,
11.53,5829.6782,
11.63,5892.5288,
11.74,5893.9326,
11.84,5853.2481,
11.94,5845.4502,
12.05,5860.6872,
12.15,5848.0312,
12.25,5835.3605,
12.35,5826.4698,
12.46,5821.3769,
12.56,5830.0982,
12.66,5891.0334,
12.76,5858.5649,
12.87,5858.5649,
12.97,5854.8653,
13.08,5875.37,
13.18,5867.7607,
13.29,5830.0152,
13.39,5866.9395,
13.5,5820.0542,
13.6,5823.4028,
13.71,5874.897,
13.81,5830.9916,
13.91,5826.7129,
14.02,5868.3272,
14.12,5824.1653,
14.22,5838.1616,
14.32,5844.9993,
14.43,5836.3132,
14.53,5826.5369,
14.63,5835.6338,
14.74,5896.7493,
14.84,5828.126,
14.95,5835.6165,
15.05,5826.5119,
15.15,5850.3061,
15.25,5848.2877,
15.36,5850.1974,
15.46,5838.7871,
15.57,5870.1699,
15.67,5840.3326,
15.78,5838.7729,
15.88,5847.1676,
15.98,5838.1616,
16.09,5895.9594,
16.19,5853.71,
16.29,5892.0318,
16.39,5824.6924,
16.49,5846.7823,
16.6,5876.3291,
16.71,5865.644,
16.82,5882.7468,
16.92,5844.2307,
17.02,5845.2122,
17.12,5828.6861,
17.23,5879.3018,
17.33,5835.151,
17.44,5829.6436,
17.54,5833.7512,
17.64,5840.6956,
17.75,5850.7727,
17.85,5838.762,
17.95,5831.3488,
18.05,5818.0618,
18.15,5878.287,
18.26,5832.1387,
18.36,5873.8482,
18.47,5883.3293,
18.57,5831.2956,
18.67,5839.2509,
18.78,5820.0802,
18.88,5817.3966,
18.98,5890.568,
19.09,5892.4612,
19.19,5809.2298,
19.3,5809.2298,
19.4,5833.8816,
19.5,5881.7639,
19.6,5871.7271,
19.71,5837.9124,
19.81,5833.7269,
19.92,5833.7269,
20.02,5837.5801,
20.12,5847.2877,
20.22,5840.256,
20.32,5869.4297,
20.43,5844.3175,
20.53,5836.4176,
20.63,5899.9026,
20.73,5837.8768,
20.83,5837.8768,
20.93,5880.2051,
21.04,5826.5733,
21.14,5867.2289,
21.24,5836.7034,
21.35,5887.7565,
21.45,5860.5581,
21.56,5826.7115,
21.66,5830.8613,
21.77,5846.3679,
21.87,5882.6,
21.97,5886.0589,
22.07,5838.6663,
22.18,5885.6851,
22.28,5825.5573,
22.38,5823.6509,
22.49,5823.6509,
22.59,5853.7886,
22.69,5813.1577,
22.8,5840.6061,
22.9,5895.1046,
23.0,5826.9054,
23.11,5863.927,
23.21,5807.3566,
23.31,5813.252,
23.42,5831.5409,
23.52,5794.1618,
23.63,5777.8849,
23.73,5786.9038,
23.83,5783.1134,
23.94,5802.1926,
24.05,5804.6123,
24.15,5789.4562,
24.26,5803.0952,
24.36,5808.7483,
24.47,5806.8541,
24.57,5847.868,
24.68,5859.0407,
24.79,5807.8806,
24.89,5792.3101,
25.0,5801.1816,
25.1,5824.463,
25.2,5795.2219,
25.31,5818.8589,
25.42,5835.9412,
25.52,5826.8921,
25.63,5797.3654,
25.73,5832.5771,
25.84,5791.9584,
25.94,5831.471,
26.05,5785.7485,
26.15,5834.7859,
26.26,5805.1766,
26.36,5833.3188,
26.46,5802.6341,
26.57,5785.0833,
26.67,5790.9089,
26.77,5818.4825,
26.88,5863.8595,
26.99,5839.6498,
27.09,5842.1389,
27.2,5808.8209,
27.3,5793.2728,
27.41,5786.591,
27.51,5815.9327,
27.62,5817.5399,
27.72,5799.7645,
27.83,5800.0808,
27.93,5776.5352,
28.04,5808.4059,
28.14,5852.2683,
28.25,5776.4771,
28.35,5782.0787,
28.45,5808.3206,
28.56,5805.8626,
28.67,5786.2509,
28.77,5796.1921,
28.87,5814.8504,
28.97,5805.4424,
29.08,5839.8811,
29.18,5836.4144,
29.29,5790.8708,
29.39,5827.7951,
29.5,5811.0596,
29.6,5860.097,
29.7,5795.3369,
29.8,5805.7657,
29.91,5794.8215,
30.02,5789.9943,
30.12,5814.1398,
30.22,5834.3375,
30.33,5840.2653,
30.43,5788.435,
30.54,5807.8546,
30.64,5791.0079,
30.75,5838.8499,
30.85,5806.4392,
30.96,5848.2437,
31.06,5820.2014,
31.16,5846.5747,
31.27,5792.3661,
31.38,5848.4892,
31.49,5803.9367,
31.59,5798.2932,
31.69,5813.1428,
31.79,5833.0118,
31.9,5797.0578,
32.0,5799.1099,
32.11,5838.0756,
32.21,5793.2662,
32.32,5833.2481,
32.42,5799.3207,
32.53,5848.3581,
32.63,5782.6419,
32.73,5803.4941,
32.83,5814.7392,
32.94,5791.5664,
33.04,5813.8522,
33.15,5795.9707,
33.26,5858.0821,
33.36,5809.6284,
33.46,5803.1545,
33.56,5815.0597,
33.67,5837.0657,
33.78,5790.8049,
33.88,5794.1022,
33.99,5796.7482,
34.1,5797.7297,
34.2,5807.1401,
34.31,5852.5288,
34.42,5807.6026,
34.52,5798.5837,
34.62,5813.6638,
