elapsed_sec,best_cost,improvement_pct
32.35,7120.9175,
32.45,6962.7577,
32.56,6998.6555,
32.66,7298.6742,
32.76,7377.1007,
32.86,7126.8436,
32.96,7129.5055,
33.06,7503.1475,
33.16,7292.2709,
33.26,6939.8727,
33.36,7250.6444,
33.46,6910.1347,
33.56,6930.4236,
33.67,6985.8829,
33.77,7010.4076,
33.87,6888.5544,
33.97,6987.3605,
34.07,7013.2427,
34.17,6911.5796,
34.27,7161.6704,
34.39,6923.727,
34.49,6924.8353,
34.6,6923.1981,
34.7,7183.6325,
34.8,7188.9246,
34.9,6955.7101,
35.0,7186.4613,
35.1,7183.0608,
35.21,7453.018,
35.31,7147.6187,
35.41,7236.893,
35.51,7171.3666,
35.61,7154.1675,
35.71,7123.2051,
35.81,7128.1213,
35.91,7058.7448,
36.01,6903.04,
36.12,6912.8169,
36.22,6634.0365,
36.32,6673.1906,
36.42,6671.613,
36.52,6641.9345,
36.62,7094.084,
36.72,6635.1161,
36.82,6657.0763,
36.92,6740.2537,
37.02,6743.3116,
37.12,6704.3446,
37.22,6710.0599,
37.32,6714.7075,
37.42,6734.0996,
37.52,6719.934,
37.62,6707.0625,
37.72,6770.8497,
37.83,6711.1175,
37.93,6701.4681,
38.03,6693.27,
38.13,6697.2263,
38.23,6660.5779,
38.33,6669.8281,
38.44,6640.5091,
38.54,6709.4227,
38.64,6856.2364,
38.74,6866.0515,
38.84,6947.3998,
38.94,7207.4125,
39.04,6903.9367,
39.14,6935.6664,
39.24,6937.8487,
39.34,6926.1462,
39.45,6924.3085,
39.55,6927.7024,
39.65,6944.6364,
39.75,6915.0399,
39.85,7181.7434,
39.95,7179.9981,
40.05,7253.675,
40.15,7170.3337,
40.25,7154.4481,
40.35,7057.5422,
40.46,7068.8823,
40.56,7159.6836,
40.66,7187.4639,
40.76,7192.1722,
40.86,7134.1153,
40.96,7103.1301,
41.06,7156.9691,
41.16,7155.2936,
41.27,7075.4772,
41.37,7036.3729,
41.47,7009.184,
41.57,6976.4948,
41.67,6811.965,
41.77,6838.2064,
41.88,6827.1754,
41.98,6815.7089,
42.08,6816.8746,
42.18,6828.6343,
