elapsed_sec,best_cost,improvement_pct
0.1,7603.7381,
0.21,7122.0625,
0.31,7085.8477,
0.42,7083.1467,
0.52,7063.6591,
0.62,7054.4579,
0.72,7065.4952,
0.82,7036.8407,
0.93,7041.8554,
1.03,7036.9344,
1.13,7013.036,
1.23,7010.7438,
1.34,7010.7438,
1.44,7013.036,
1.54,7013.036,
1.64,7013.036,
1.74,7013.036,
1.84,7010.7438,
1.94,7010.7438,
2.05,7010.7438,
2.15,7010.7438,
2.25,7010.7438,
2.35,7010.7438,
2.45,7010.7438,
2.55,7005.0398,
2.65,7005.0398,
2.75,7001.9964,
2.86,7001.9964,
2.96,7001.9964,
3.06,7001.9964,
3.16,7001.9964,
3.26,6975.0252,
3.36,6975.0252,
3.46,6975.0252,
3.56,6975.0252,
3.66,6975.0252,
3.77,6975.0252,
3.87,6975.0252,
3.97,6975.0252,
4.08,7288.2196,
4.19,7123.691,
4.29,7107.8872,
4.39,7077.3044,
4.49,7055.3928,
4.59,7074.4408,
4.69,7061.2292,
4.8,7060.5703,
4.9,7058.9798,
5.0,7054.0864,
5.1,7059.0016,
5.21,7053.6148,
5.31,7051.0515,
5.41,7050.2866,
5.52,6862.5891,
5.62,6858.3629,
5.72,6851.6209,
5.82,6851.6209,
5.92,6851.6209,
6.02,6851.6209,
6.12,6851.6209,
6.22,6851.6209,
6.33,6851.6209,
6.43,6851.6209,
6.53,6851.6209,
6.63,6851.6209,
6.73,6851.6209,
6.83,6851.6209,
6.93,6851.6209,
7.03,6851.6209,
7.13,6851.6209,
7.23,6851.6209,
7.33,6851.6209,
7.43,6851.6209,
7.59,7631.1225,
7.69,7670.6877,
7.79,7510.1647,
7.89,7523.2142,
7.99,7518.2649,
8.09,7528.2069,
8.2,7504.7863,
8.3,7237.2405,
8.4,7175.4097,
8.51,7161.1833,
8.61,7125.8038,
8.71,6873.6189,
8.81,6873.6189,
8.91,6864.0686,
9.01,6864.0686,
9.11,6864.0686,
9.21,6864.0686,
9.32,6864.0686,
9.42,6864.0686,
9.52,6864.0686,
9.62,6864.0686,
9.72,6864.0686,
9.82,6864.0686,
9.92,6864.0686,
10.02,6864.0086,
10.12,6862.0342,
10.22,6862.0342,
10.32,6862.0342,
10.42,6862.0342,
10.58,7134.6962,
10.68,7028.9939,
10.78,6786.3638,
10.89,6424.43,
10.99,6422.9794,
11.09,6444.2836,
11.19,6413.5161,
11.29,6382.5955,
11.39,6391.4907,
11.49,6390.6761,
11.59,6379.0946,
11.7,6378.1528,
11.8,6374.6682,
11.9,6368.0918,
12.0,6366.7746,
12.1,6366.7746,
12.2,6362.7371,
12.3,6364.0543,
12.4,6362.7371,
12.5,6362.7371,
12.6,6352.3198,
12.7,6352.3198,
12.8,6352.3198,
12.9,6352.3198,
13.0,6352.3198,
13.11,6352.3198,
13.21,6350.173,
13.31,6350.173,
13.41,6350.173,
13.51,6350.173,
13.61,6350.173,
13.71,6350.173,
13.81,6350.173,
13.91,6350.173,
14.01,6350.173,
14.15,6398.841,
14.25,6373.578,
14.35,6435.7189,
14.45,6461.4929,
14.55,6376.0003,
14.66,6382.7067,
14.76,6370.7373,
14.86,6356.4009,
14.96,6360.9302,
15.06,6361.2745,
15.16,6370.4696,
15.27,6370.4696,
15.37,6361.2745,
15.47,6358.1793,
15.57,6356.8051,
15.67,6356.8051,
15.77,6355.479,
15.87,6354.1618,
15.97,6354.1618,
16.07,6354.1618,
16.17,6354.1618,
16.27,6354.1618,
16.37,6354.1618,
16.48,6354.1618,
16.58,6354.1618,
16.68,6354.1618,
16.78,6354.1618,
16.88,6354.1618,
16.98,6349.3817,
17.08,6349.3817,
17.18,6349.3817,
17.28,6349.3817,
17.39,6349.3817,
17.49,6349.3817,
17.67,7292.4065,
17.77,7084.9903,
17.87,7030.0352,
17.97,6955.6901,
18.07,6721.4704,
18.17,6707.6991,
18.28,6704.4803,
18.38,6703.3463,
18.48,6710.7828,
18.58,6712.16,
18.68,6702.2564,
18.78,6703.9869,
18.89,6696.886,
18.99,6697.1577,
19.09,6697.1577,
19.19,6697.1577,
19.3,6684.8548,
19.4,6684.8548,
19.5,6684.8548,
19.6,6684.4857,
19.7,6683.2328,
19.8,6683.2328,
19.9,6683.2328,
20.0,6683.2328,
20.1,6683.2328,
20.2,6683.2328,
20.31,6683.2328,
20.41,6683.2328,
20.51,6683.2328,
20.61,6683.2328,
20.71,6683.2328,
20.84,7479.5747,
20.94,7251.8948,
21.04,7284.4155,
21.14,7285.8727,
21.25,7120.389,
21.35,7095.3066,
21.45,7084.6586,
21.56,7073.6375,
21.66,7073.6375,
21.76,7041.2548,
21.86,7041.2548,
21.98,7014.7428,
22.08,7014.7428,
22.18,7014.7428,
22.28,7014.7428,
22.38,7014.7428,
22.48,7014.7428,
22.58,7014.7428,
22.68,7014.7428,
22.78,6970.5182,
22.88,6970.5182,
22.98,6970.5182,
23.08,6970.5182,
23.19,6970.5182,
23.29,6970.5182,
23.39,6970.5182,
23.49,6970.5182,
23.59,6970.5182,
23.75,6481.3482,
23.85,6402.5525,
23.95,6365.6739,
24.05,6398.0412,
24.15,6386.0643,
24.26,6365.8318,
24.36,6384.6329,
24.46,6321.9414,
24.56,6309.972,
24.66,6298.6605,
24.77,6315.3051,
24.87,6315.3051,
24.97,6314.7761,
25.07,6313.8011,
25.17,6300.3147,
25.27,6293.4119,
25.37,6293.4119,
25.47,6293.4119,
25.57,6293.4119,
25.67,6293.4119,
25.77,6293.4119,
25.88,6293.4119,
25.98,6293.4119,
26.08,6292.9193,
26.18,6292.9193,
26.28,6292.9193,
26.38,6292.9193,
26.49,6292.9193,
26.59,6292.9193,
26.69,6292.9193,
26.79,6292.9193,
26.89,6292.9193,
26.99,6292.9193,
27.18,7695.2605,
27.29,7548.6046,
27.39,7548.3216,
27.49,7570.5527,
27.59,7487.4804,
27.69,7464.2096,
27.79,7440.2362,
27.89,7449.3079,
27.99,7452.7656,
28.1,7435.3159,
28.2,7279.8052,
28.3,7255.0627,
28.41,7229.2194,
28.51,7224.2728,
28.61,7224.2728,
28.71,7224.2728,
28.81,7224.2728,
28.91,7223.295,
29.01,7223.295,
29.11,7223.295,
29.21,7223.295,
29.31,7222.9681,
29.41,7222.9681,
29.52,7222.9681,
29.62,7222.9681,
29.72,7222.9681,
29.82,7222.9681,
29.92,7222.9681,
30.02,7222.9681,
30.24,7554.0137,
30.34,6948.1731,
30.45,6949.9102,
30.55,6949.8119,
30.65,6965.5422,
30.75,6977.6335,
30.85,6948.4028,
30.95,6945.5217,
31.05,6944.7806,
31.16,6939.8057,
31.26,6938.5441,
31.36,6938.2637,
31.47,6932.1922,
31.57,6928.9423,
31.67,6928.9423,
31.77,6928.9423,
31.87,6928.9423,
31.97,6928.9423,
32.07,6928.9423,
32.17,6928.9423,
