elapsed_sec,best_cost,improvement_pct
0.14,7631.2116,
0.24,7283.6232,
0.34,7155.5744,
0.44,7131.4531,
0.54,7066.3636,
0.64,7120.4245,
0.74,6942.6058,
0.84,6881.2686,
0.95,6980.9778,
1.05,6717.0945,
1.15,6839.0043,
1.25,6770.101,
1.36,6934.6216,
1.46,6927.596,
1.56,6954.4806,
1.66,6944.3756,
1.76,6997.7249,
1.86,6967.8246,
1.96,6953.416,
2.06,6625.6335,
2.16,6627.1682,
2.27,6594.765,
2.37,6598.8629,
2.47,6596.7886,
2.57,6584.9146,
2.67,6584.4905,
2.78,6563.6897,
2.88,6565.2809,
2.98,7019.5781,
3.08,6559.9209,
3.18,6423.8533,
3.28,6422.7123,
3.39,6405.8726,
3.5,6382.2931,
3.6,6389.6787,
3.7,6390.5298,
3.8,6402.0318,
3.9,6393.7926,
4.0,6490.5917,
4.1,6466.3766,
4.2,6733.4423,
4.31,6806.4336,
4.41,6415.5758,
4.51,6440.9659,
4.61,6817.8594,
4.71,6698.1302,
4.81,6732.842,
4.92,6733.3471,
5.02,6839.0396,
5.12,6779.3787,
5.22,6766.3653,
5.34,6771.2059,
5.44,6724.7097,
5.54,6735.9683,
5.65,6717.7248,
5.75,6766.9154,
5.85,6655.9686,
5.95,6667.3272,
6.05,6689.3109,
6.15,6621.5555,
6.25,6659.4036,
6.35,6662.4893,
6.45,6650.7649,
6.55,6696.0399,
6.65,6702.2712,
6.75,6647.4776,
6.85,6630.5313,
6.95,6637.734,
7.05,6621.3387,
7.16,6742.2624,
7.26,6745.1397,
7.36,6706.2579,
7.46,6386.9489,
7.56,6412.0807,
7.66,6404.0261,
7.76,6418.6591,
7.87,6397.7189,
7.97,6398.9491,
8.08,6418.408,
8.18,6424.6975,
8.28,6410.5633,
8.38,6408.3838,
8.49,6436.2039,
8.59,6436.0939,
8.69,6424.2794,
8.79,6410.1728,
8.9,6481.2268,
9.03,6795.3231,
9.13,6805.178,
9.23,6793.6288,
9.33,6617.2993,
9.43,6600.5872,
9.53,6617.2993,
9.63,6313.9046,
9.73,6324.9743,
9.84,6313.9416,
9.94,6802.6226,
10.04,6679.1909,
10.14,6690.6259,
10.24,6663.4974,
10.34,6673.7712,
10.44,6665.3244,
10.54,6750.5725,
10.65,6508.4379,
10.75,6473.7407,
10.85,6500.0709,
10.95,6489.7379,
11.05,6486.8577,
11.16,6481.1175,
11.26,6475.8539,
11.36,6503.7548,
11.46,6479.6563,
11.56,6502.7942,
11.66,6497.9274,
11.76,6511.8028,
11.86,6314.5044,
11.97,6301.4776,
12.07,6292.2199,
12.17,6296.3927,
12.27,6320.5592,
12.37,6315.9363,
12.47,6286.0706,
12.57,6281.4757,
12.68,6295.2639,
12.78,6319.1465,
12.88,6557.4154,
12.98,6970.499,
13.09,6657.4518,
13.19,6680.9468,
13.3,6702.2938,
13.4,6420.303,
13.5,6417.8792,
13.6,6399.2515,
13.7,6393.1004,
13.8,6651.7435,
13.9,6610.6583,
14.0,6639.8874,
14.11,6631.9104,
14.21,6629.5626,
14.31,6453.5107,
14.41,6466.6908,
14.51,6455.89,
14.61,6425.1681,
14.72,6427.5351,
14.82,6427.0881,
14.92,6573.6898,
15.02,6406.6166,
15.12,6445.7974,
15.22,6389.3207,
15.32,6392.4277,
15.43,6380.3084,
15.53,6404.3026,
15.63,6401.969,
15.73,6399.5136,
15.83,6451.2767,
15.93,6336.2031,
16.04,6337.5203,
16.14,6341.1136,
16.24,6441.3416,
16.34,6396.3527,
16.44,6407.6092,
16.54,6393.4445,
16.64,6397.2311,
16.75,6393.5689,
16.85,6419.5842,
16.95,6409.3325,
17.05,6382.0035,
17.15,6396.5836,
17.25,6402.2418,
17.35,6403.023,
