elapsed_sec,best_cost,improvement_pct
0.1,3257.593,
0.2,3257.593,
0.3,3256.3462,
0.4,3256.3462,
0.5,3256.3462,
0.6,3256.3462,
0.7,3256.3462,
0.8,3256.3462,
0.9,3256.3462,
1.0,3256.3462,
1.1,3256.3462,
1.2,3256.3462,
1.3,3256.3462,
1.4,3256.3462,
1.5,3256.3462,
1.6,3256.3462,
1.7,3256.3462,
1.8,3256.3462,
1.9,3256.3462,
2.0,3256.3462,
2.1,3256.3462,
2.21,3256.3462,
2.31,3256.3462,
2.41,3256.3462,
2.51,3256.3462,
2.61,3256.3462,
2.71,3256.3462,
2.81,3256.3462,
2.91,3256.3462,
3.01,3256.3462,
3.11,3256.3462,
3.21,3256.3462,
3.31,3256.3462,
3.41,3256.3462,
3.51,3256.3462,
3.61,3256.3462,
3.71,3256.3462,
3.81,3256.3462,
3.91,3256.3462,
4.01,3256.3462,
4.11,3256.3462,
4.21,3256.3462,
4.31,3256.3462,
4.41,3256.3462,
4.51,3256.3462,
4.61,3256.3462,
4.71,3256.3462,
4.81,3256.3462,
4.91,3256.3462,
5.01,3256.3462,
5.11,3256.3462,
5.21,3256.3462,
5.31,3256.3462,
5.41,3256.3462,
5.51,3256.3462,
5.61,3256.3462,
5.71,3256.3462,
5.81,3256.3462,
5.91,3256.3462,
6.01,3256.3462,
6.11,3256.3462,
6.21,3256.3462,
6.31,3256.3462,
6.42,3256.3462,
6.52,3256.3462,
6.62,3256.3462,
6.72,3256.3462,
6.82,3256.3462,
6.92,3256.3462,
7.02,3256.3462,
7.12,3256.3462,
7.22,3256.3462,
7.32,3256.3462,
7.42,3256.3462,
7.52,3256.3462,
7.62,3256.3462,
7.72,3256.3462,
7.82,3256.3462,
7.92,3256.3462,
8.02,3256.3462,
8.12,3256.3462,
8.22,3256.3462,
8.32,3256.3462,
8.42,3256.3462,
8.52,3256.3462,
8.62,3256.3462,
8.72,3256.3462,
8.82,3256.3462,
8.92,3256.3462,
9.02,3256.3462,
