elapsed_sec,best_cost,improvement_pct
0.1,3356.5359,
0.2,3598.9933,
0.3,3422.7826,
0.4,3610.0808,
0.5,3201.7389,
0.6,3504.2295,
0.7,3563.7059,
0.8,4013.9287,
0.9,4016.1988,
1.0,3750.6878,
1.1,3699.7617,
1.2,3886.5041,
1.31,3058.2359,
1.41,3233.2635,
1.51,3375.8988,
1.61,3499.732,
1.71,3445.3168,
1.81,3652.8876,
1.91,3212.0593,
2.01,3245.981,
2.11,3227.3045,
2.21,3326.0488,
2.31,3304.9977,
2.41,3030.9546,
2.51,3478.2361,
2.62,3193.1149,
2.72,3262.79,
2.83,3271.0807,
2.93,3194.9796,
3.03,3288.1375,
3.13,3029.9243,
3.23,3130.9787,
3.33,3124.7369,
3.43,3134.8632,
3.53,3145.3102,
3.63,3143.1592,
3.73,3138.9369,
3.83,2850.3714,
3.93,3026.5556,
4.03,3022.8639,
4.13,2858.9049,
4.23,2992.271,
4.33,3125.0163,
4.43,3162.1495,
4.53,3245.5135,
4.63,3355.9453,
4.74,3629.8603,
4.84,3354.1393,
4.94,3338.4301,
5.04,3405.7701,
5.14,3039.4158,
5.24,3091.3195,
5.34,3015.7251,
5.44,3286.457,
5.54,3288.9611,
5.64,3360.0454,
5.74,3461.3845,
5.84,3381.1206,
5.94,3190.0686,
6.04,3426.3516,
6.15,3131.8534,
6.25,3098.5711,
6.35,3285.3656,
6.45,3063.0846,
6.55,3527.0886,
6.65,3293.0268,
6.75,3305.4634,
6.85,3337.2499,
6.95,3017.6461,
7.05,3309.3654,
7.16,3259.0715,
7.26,3219.2948,
7.36,2993.3261,
7.46,3050.6421,
7.56,2925.2393,
7.66,3328.6225,
7.76,3114.5822,
7.86,3156.4036,
7.96,3144.6008,
8.06,2914.22,
8.16,3259.8598,
8.26,3007.7325,
8.36,3126.6742,
8.46,3277.5645,
8.56,2944.1288,
8.66,2939.1411,
8.76,2939.3953,
8.86,3167.8983,
8.96,3616.6432,
9.06,3354.2731,
9.16,3448.5749,
9.26,3322.4229,
9.36,3336.3278,
9.47,3944.1163,
9.57,3338.0017,
9.67,3351.4221,
9.77,2951.9182,
9.87,3212.7985,
9.97,3148.0967,
10.07,2943.7509,
10.17,3122.7699,
10.27,2922.3768,
10.37,3042.2312,
10.47,3188.6456,
10.57,2923.708,
10.67,3202.4896,
10.78,3147.1973,
10.88,2872.8662,
10.98,2855.8909,
11.08,2855.8909,
11.18,3171.8304,
11.28,2913.2523,
11.38,2937.7559,
11.49,2956.6503,
11.59,2904.4486,
11.69,3015.4687,
11.79,3277.5384,
11.89,2976.6813,
11.99,2922.8133,
12.09,3002.1802,
12.19,2904.0166,
12.29,2909.4961,
12.39,2931.3314,
12.5,3294.7504,
12.6,3023.6623,
12.7,2921.9599,
12.8,3022.681,
12.9,2882.8187,
13.0,2876.4825,
13.1,2876.4825,
13.21,3087.9427,
13.31,3003.9635,
13.41,3125.6702,
13.51,3299.6996,
13.61,3066.8124,
13.71,2950.2465,
13.82,3459.2473,
13.92,2998.1574,
14.02,3004.4551,
14.12,2937.9365,
14.22,3247.6905,
14.32,3240.0448,
14.43,3305.3154,
14.53,3443.227,
14.63,3237.2852,
14.73,2995.5216,
14.83,3002.8782,
14.93,3008.0472,
15.03,3303.8987,
15.13,2879.1867,
15.23,2878.2147,
15.33,2884.7257,
15.43,2872.6497,
15.53,3002.8014,
15.63,3001.2885,
15.74,3026.7318,
15.84,3006.6023,
15.94,3009.3523,
16.04,3290.349,
16.14,2926.5187,
16.24,3007.8504,
16.34,2792.7914,
16.44,2934.5899,
16.54,2931.7064,
16.64,3004.8351,
16.74,2894.3422,
16.84,2936.1326,
16.95,2882.9605,
17.05,2798.8623,
17.15,2893.5583,
17.25,2798.8623,
17.35,2798.8623,
17.45,2798.8623,
17.56,2794.3293,
17.66,2798.8623,
17.76,2798.8623,
17.86,2929.3437,
17.96,2922.2004,
18.06,3038.3833,
18.16,3120.8391,
18.26,2876.0483,
18.37,2872.7033,
18.47,2876.0483,
18.58,3057.5197,
18.68,3100.5825,
18.78,2876.0483,
18.88,2872.7033,
18.98,3271.5646,
19.08,2958.7823,
19.18,2966.5959,
19.28,3197.7398,
19.38,2902.4329,
19.48,2885.8833,
19.58,2886.9316,
19.69,2886.9316,
19.79,2886.9316,
19.89,2854.7755,
19.99,2853.8355,
20.09,2853.8355,
20.19,2852.4086,
20.29,2844.4405,
20.39,2852.4086,
20.49,2866.8633,
20.59,2858.3682,
20.69,2995.3789,
20.79,2982.9719,
20.89,2984.7418,
20.99,2994.9326,
21.09,3030.4958,
21.19,2894.3474,
21.29,2879.0562,
21.4,2879.0562,
21.5,3048.3472,
21.6,3040.0668,
21.7,3009.3284,
21.8,2924.6433,
21.9,3184.43,
22.01,2913.0326,
22.11,2905.1891,
22.21,2987.7851,
22.31,2911.9527,
22.41,2918.8365,
22.51,2918.4613,
22.61,2882.1593,
22.71,2921.8784,
22.81,2932.415,
22.92,2932.1976,
23.02,2915.3364,
23.12,3065.7169,
23.22,2962.7248,
23.32,2962.7248,
23.42,2878.2963,
23.52,2867.6878,
23.62,2887.2155,
23.72,3009.8178,
23.82,2935.4581,
23.92,2881.8369,
24.02,2924.9289,
24.12,2978.0464,
