elapsed_sec,best_cost,improvement_pct
0.1,3259.9329,
0.21,3257.8507,
0.31,3303.1362,
0.41,3295.1236,
0.51,3301.005,
0.61,3251.2726,
0.72,3289.7122,
0.82,3445.9631,
0.92,3320.1856,
1.02,3441.4736,
1.12,3263.6204,
1.22,3336.1025,
1.32,3272.2727,
1.43,3397.4649,
1.53,3389.2874,
1.63,3274.6711,
1.73,3437.2414,
1.83,3275.9692,
1.93,3283.2201,
2.03,3262.9055,
2.13,3435.1533,
2.23,3283.436,
2.33,3382.8363,
2.43,3271.7836,
2.53,3270.2908,
2.64,3273.7915,
2.74,3440.9714,
2.84,3279.4306,
2.94,3442.7634,
3.04,3271.3738,
3.14,3271.362,
3.24,3262.9055,
3.35,3276.6752,
3.45,3272.1278,
3.55,3265.2477,
3.65,3275.4862,
3.75,3378.8603,
3.86,3267.0297,
3.96,3261.9378,
4.06,3271.6599,
4.16,3271.7836,
4.27,3279.164,
4.37,3343.2123,
4.47,3292.4541,
4.57,3267.5357,
4.68,3351.9832,
4.78,3262.7162,
4.88,3339.6904,
4.98,3268.46,
5.08,3260.2366,
5.18,3403.706,
5.29,3276.3465,
5.39,3283.0276,
5.49,3265.8293,
5.59,3271.2445,
5.69,3275.4079,
5.8,3295.0933,
5.9,3300.4035,
6.0,3264.8546,
6.1,3263.5559,
6.2,3274.7945,
6.3,3260.1779,
6.4,3255.2649,
6.51,3269.507,
6.61,3255.2649,
6.71,3267.326,
6.81,3273.2024,
6.91,3287.1364,
7.02,3334.9968,
7.12,3261.924,
7.22,3289.6121,
7.32,3436.4201,
7.43,3270.7709,
7.53,3393.8192,
7.63,3282.5875,
7.73,3278.6996,
7.83,3357.1328,
7.93,3445.173,
8.03,3280.6591,
8.14,3457.0244,
8.24,3280.9979,
8.34,3292.9715,
8.44,3286.3723,
8.54,3280.6157,
8.65,3270.5189,
8.75,3328.6037,
8.85,3447.528,
8.95,3330.8271,
9.05,3266.2081,
9.15,3333.0363,
9.25,3267.5141,
9.35,3337.5406,
9.45,3283.2201,
9.56,3265.2477,
9.66,3264.3258,
9.76,3286.1201,
