elapsed_sec,best_cost,improvement_pct
0.54,34059.9801,
1.04,33799.1802,
1.58,33589.4397,
2.16,33404.6264,
2.63,33225.8609,
3.16,33206.9439,
3.66,33183.2739,
4.12,33168.6123,
4.57,33147.7293,
5.23,33135.5906,
5.68,33123.675,
6.29,33116.7285,
6.75,33107.53,
7.2,33100.1115,
7.84,32987.8303,
8.33,32960.1808,
8.79,32953.6067,
9.21,32942.7269,
9.85,32938.8641,
10.33,32933.7181,
10.92,32929.9807,
11.36,32924.3419,
11.89,32921.0493,
12.42,32918.0496,
12.99,32913.7145,
13.57,32910.8198,
14.19,32908.7323,
14.7,32819.2991,
15.29,32789.6461,
15.41,32790.5879,
15.58,32790.5879,
15.69,32790.5879,
15.79,32918.9224,
16.0,32980.5872,
16.12,32980.5872,
16.28,33034.9681,
16.38,33034.9681,
16.48,33022.9433,
16.63,33022.9433,
16.78,33089.6613,
16.88,33079.0681,
17.01,33079.0681,
17.21,33086.8409,
17.32,33094.9491,
17.47,33157.0782,
17.57,33213.3485,
17.68,33169.0511,
17.86,33066.024,
18.04,33066.024,
18.14,33058.8449,
18.29,33058.8449,
18.39,33066.0517,
18.51,33066.0517,
18.64,33068.0346,
18.82,33340.1497,
18.98,33340.1497,
19.17,33269.57,
19.32,33269.57,
19.61,33263.8773,
19.84,33246.1941,
20.04,33246.1941,
20.15,33246.1941,
20.27,33322.143,
20.41,33352.5559,
20.54,33346.7836,
20.64,33357.3212,
20.86,33357.3212,
20.97,33373.2881,
21.07,33415.8847,
21.21,33415.8847,
21.32,33415.8847,
21.43,33415.8847,
21.53,33422.2549,
21.63,33522.7629,
21.86,33518.039,
21.97,33518.039,
22.1,33518.039,
22.21,33515.945,
22.38,33515.945,
22.49,33515.945,
22.59,33515.945,
22.73,33515.945,
22.83,33456.5322,
22.93,33456.5322,
23.04,33440.1149,
23.16,33440.1149,
23.29,33440.1149,
23.39,33433.6909,
23.5,33433.6909,
23.6,33603.6181,
23.73,33603.6181,
23.83,33603.6181,
24.02,33603.6181,
24.13,33600.4673,
24.24,33594.4755,
24.34,33593.8869,
24.48,33593.8869,
24.58,33612.2553,
24.68,33612.2553,
24.81,33612.2553,
24.92,33593.5149,
25.03,33594.1035,
25.16,33594.1035,
25.38,33594.1035,
25.48,33585.9592,
25.58,33585.9592,
25.69,33585.9592,
25.83,33585.9592,
25.97,33960.7445,
26.07,33960.7445,
26.22,33969.4916,
26.33,33969.4916,
26.48,34018.4096,
26.59,34018.4096,
26.83,34018.4096,
26.94,34211.5173,
27.13,34177.1273,
27.36,34177.1273,
27.46,34209.277,
27.56,34209.277,
27.74,34165.645,
27.95,34165.645,
28.16,34165.645,
28.33,34165.645,
28.44,34165.645,
28.54,34149.3272,
28.68,34234.8616,
28.92,34232.3731,
29.03,34292.1245,
29.13,34296.0589,
29.3,34294.6961,
29.41,34328.0405,
29.54,34328.0405,
29.75,34316.0884,
29.88,34331.6084,
30.04,34337.8927,
30.18,34342.8671,
30.31,34392.9059,
30.58,34392.9059,
30.7,34409.0485,
30.8,34409.0485,
31.02,34488.5262,
31.25,34491.832,
31.43,34495.2469,
31.54,34495.2469,
31.69,34496.4043,
31.82,34496.4043,
31.97,34549.9979,
32.07,34559.7727,
32.39,34542.0927,
32.59,34540.2398,
32.76,34070.3627,
32.87,34070.3627,
33.02,34043.0271,
33.14,33744.0186,
33.42,33739.0927,
33.69,33786.5337,
33.81,33753.9273,
33.91,33819.7285,
34.01,33826.5088,
34.22,33549.9242,
34.34,33540.8109,
34.44,33540.8109,
34.72,33540.8109,
34.9,33545.0027,
35.01,33531.3769,
35.21,33538.2874,
35.48,33560.4186,
35.58,33550.8463,
35.77,33550.8463,
35.87,33550.8463,
35.99,33501.6367,
36.09,33509.1993,
36.2,33502.8238,
36.44,33554.401,
36.56,33554.401,
36.72,33483.1478,
36.87,33483.1478,
37.07,33472.6157,
37.27,33533.0145,
37.43,33533.0145,
37.57,33807.3285,
37.68,33815.6002,
37.78,33815.6002,
37.95,33726.9978,
38.05,33726.9978,
38.15,33742.566,
38.26,33742.566,
38.36,33732.9847,
38.54,33745.1589,
38.66,33745.1589,
39.02,33749.2997,
39.22,33739.2465,
39.43,33746.4231,
39.58,33746.4231,
39.69,33746.4231,
39.93,33787.2858,
40.09,33787.2858,
40.2,33771.6414,
40.31,33730.7787,
40.52,33737.9603,
40.66,33749.3701,
40.83,33749.3701,
40.94,33749.3701,
41.04,33756.7967,
41.22,33758.6157,
41.34,33758.4024,
41.44,33764.8533,
41.55,33764.8533,
41.67,33810.1321,
41.77,33826.8074,
41.89,33826.8074,
42.01,33822.512,
42.28,33829.1474,
42.43,33903.48,
42.61,33884.643,
42.77,33884.643,
42.93,33930.2388,
43.1,33878.6616,
43.26,33878.6616,
43.42,33878.6616,
43.53,33918.6222,
43.64,33962.1022,
43.74,33962.1022,
44.04,34303.0099,
44.25,34921.8438,
44.35,34960.5144,
44.46,34945.2865,
44.61,34943.1178,
44.74,34953.5425,
44.96,34953.5425,
45.07,34941.9978,
45.19,34941.9978,
45.34,34956.6589,
45.55,34956.6589,
45.7,34956.2158,
45.81,34947.0056,
45.91,34685.7659,
46.02,34685.7659,
46.14,34685.7659,
46.27,34673.2036,
46.39,34673.2036,
46.65,34673.1549,
46.8,34673.1549,
46.9,34673.1549,
47.02,34776.5719,
47.13,34763.421,
47.36,34763.421,
47.53,34756.7856,
47.63,34728.7755,
47.95,34752.175,
48.07,34752.6717,
48.24,34752.6717,
48.46,34728.9729,
48.75,34751.0769,
49.0,34751.0769,
49.11,34751.0769,
49.22,34753.7619,
49.36,34753.7619,
49.57,34768.2902,
49.71,34768.7819,
49.81,34443.4952,
49.93,34443.4952,
50.18,34443.4952,
50.29,34438.7713,
50.47,34409.3113,
50.57,34407.2057,
50.68,34414.0393,
50.79,34414.0393,
50.98,34017.6205,
51.15,34064.8739,
51.26,34056.3023,
51.45,34054.3934,
51.56,34054.3934,
51.76,34059.3245,
51.92,34059.3245,
52.03,34057.6198,
52.13,34066.8561,
52.26,34066.8561,
52.39,34066.8561,
52.49,34067.5873,
52.63,34067.5873,
52.94,34067.5873,
53.04,34009.8522,
53.15,34009.8522,
53.25,34009.8522,
53.44,34009.8522,
53.63,34014.0562,
53.84,34029.0721,
54.03,34029.0721,
54.16,34020.4375,
54.34,34012.7682,
54.46,34002.4379,
54.87,34002.4379,
55.07,34004.2569,
55.18,34000.3544,
55.31,34047.8026,
55.49,34054.4651,
55.66,34072.4944,
55.81,34070.5758,
55.91,34077.0541,
56.87,34077.0541,
56.98,34066.2425,
57.17,34066.2425,
57.28,34136.0803,
57.39,34136.0803,
57.5,34152.4533,
57.63,34165.6713,
57.81,34159.4438,
57.91,34159.4438,
58.02,34141.3706,
58.12,34134.5647,
58.22,34134.5647,
58.35,34134.5647,
58.48,34094.3514,
58.58,34094.3514,
58.69,34092.2808,
58.87,34092.2808,
58.98,34075.3179,
59.08,34075.3179,
59.21,34075.3179,
59.36,34063.8122,
59.5,34063.8122,
59.65,34063.8122,
59.75,34063.8122,
59.92,34060.2228,
60.03,34063.9893,
176.51,32768.156,
