elapsed_sec,best_cost,improvement_pct
42.14,27839.5747,
42.31,27931.6044,
42.45,27909.9196,
42.57,27909.9196,
42.73,28138.8939,
42.89,28143.8111,
43.04,28146.4108,
43.14,28176.2247,
43.31,27876.7135,
43.41,27976.7391,
43.51,27961.8973,
43.63,27961.8973,
43.76,27961.8973,
43.87,27961.8973,
43.97,27961.8973,
44.08,27959.2976,
44.3,27975.7087,
44.49,27975.7087,
44.67,27975.7087,
44.77,27712.1538,
44.93,27712.1538,
45.04,27712.1538,
45.2,27712.1538,
45.36,27721.451,
45.5,27725.4138,
45.63,27725.4138,
45.8,27725.5322,
45.9,27725.5322,
46.04,27772.727,
46.15,27815.25,
46.25,27689.7529,
46.35,27689.7529,
46.47,27689.7529,
46.57,27689.7529,
46.71,27689.7529,
46.87,27730.8048,
47.0,27815.0133,
47.14,27808.7552,
47.26,27822.5853,
47.43,27812.9055,
47.69,27814.0273,
47.88,27834.7453,
48.07,27832.8361,
48.18,27817.3648,
48.32,27798.4705,
48.48,27793.3328,
48.61,27683.986,
48.78,27683.986,
48.96,27683.7258,
49.08,27687.5667,
49.19,27684.2397,
49.37,27690.1667,
49.5,27710.7856,
49.65,27721.5558,
49.75,27723.6648,
49.86,27748.7544,
50.03,27748.7544,
50.27,27753.4197,
50.37,27762.5426,
50.49,27762.5426,
50.61,27762.5426,
50.82,27773.1271,
50.95,27773.1271,
51.05,27268.6088,
51.29,27263.1325,
51.46,27263.1325,
51.63,27267.3502,
51.73,27267.3502,
51.87,27267.3502,
51.98,27267.3502,
52.09,27267.3502,
52.19,27267.3502,
52.34,27269.7339,
52.44,27259.1494,
52.63,27274.208,
52.76,27274.208,
52.86,27276.5779,
53.06,27276.5779,
53.2,27284.4229,
53.41,27285.3432,
53.52,27285.3432,
53.62,27331.0737,
53.79,27317.8897,
53.97,27316.9694,
54.11,27240.142,
54.27,27240.142,
54.42,27240.142,
54.55,27223.3076,
54.66,27218.5408,
54.84,27218.5408,
54.99,27218.5408,
55.12,27218.5408,
55.26,26947.0141,
55.37,26947.0141,
55.51,26944.5116,
55.72,26944.5116,
55.88,26944.5116,
55.99,26944.5116,
56.15,26945.4319,
56.27,26945.4319,
56.39,26945.4319,
56.55,26945.4319,
56.66,26945.0943,
56.76,26946.4543,
56.91,26953.2404,
57.02,26950.3129,
57.21,26950.3129,
57.36,26937.6191,
57.46,26925.3391,
57.61,26916.8816,
57.74,26922.0193,
57.84,26928.772,
58.02,26916.9357,
58.24,26955.5494,
58.34,26955.887,
58.52,26955.887,
58.66,26955.887,
58.81,26979.5897,
58.91,26967.0485,
59.03,26956.3343,
59.24,26956.3343,
59.4,26961.2926,
59.54,26956.8722,
59.7,26956.8722,
59.81,26956.8722,
59.94,26958.5605,
