elapsed_sec,best_cost,improvement_pct
0.11,29801.4604,
0.25,29567.1613,
0.35,29546.0393,
0.47,29546.0393,
0.58,29536.6735,
0.68,29536.6735,
0.79,29497.2133,
0.89,29497.2133,
0.99,29497.2133,
1.12,29495.0896,
1.25,29341.9696,
1.36,29332.4878,
1.47,29324.4004,
1.58,29324.4004,
1.69,29324.4004,
1.79,29309.8852,
1.89,29299.11,
1.99,29299.11,
2.23,29299.11,
2.34,29291.8484,
2.47,29291.8484,
2.6,29291.8484,
2.7,29291.8484,
2.84,29291.8484,
2.97,29291.8484,
3.09,29291.8484,
3.21,29291.8484,
3.33,29291.8484,
3.44,29291.8484,
3.56,29291.8484,
3.68,29291.8484,
3.81,29291.8484,
3.92,29291.8484,
4.03,29291.8484,
4.13,29282.9534,
4.26,29282.9534,
4.4,29282.9534,
4.51,29282.9534,
4.61,29273.6839,
4.72,29273.6839,
4.86,29273.6839,
4.98,29273.6839,
5.09,29273.6839,
5.23,29273.6839,
5.33,29273.6839,
5.47,29270.9553,
5.59,29270.9553,
5.69,29270.9553,
5.79,29270.9553,
5.9,29270.9553,
6.03,29270.9553,
6.13,29270.9553,
6.23,29270.9553,
6.34,29270.9553,
6.49,29270.9553,
6.59,29270.9553,
6.69,29270.9553,
6.82,29270.9553,
6.92,29270.9553,
7.02,29270.9553,
7.13,29270.9553,
7.26,29270.9553,
7.37,29268.9486,
7.48,29268.9486,
7.59,29268.9486,
7.69,29268.9486,
7.8,29268.9486,
7.92,29268.9486,
8.03,29268.9486,
8.17,29268.9486,
8.3,29268.9486,
8.42,29268.9486,
8.52,29268.9486,
8.62,29268.9486,
8.8,29268.9486,
8.93,29268.9486,
9.05,29268.9486,
9.19,29268.9486,
9.29,29268.9486,
9.4,29268.9486,
9.55,29268.9486,
9.69,29268.9486,
9.81,29259.3756,
9.93,29259.3756,
10.1,29259.3756,
10.21,29257.0641,
10.32,29257.0641,
10.44,29257.0641,
10.57,29257.0641,
10.73,29257.0641,
10.84,29257.0641,
10.94,29257.0641,
11.09,29257.0641,
11.23,29257.0641,
11.37,29257.0641,
11.5,29257.0641,
11.61,29257.0641,
11.71,29257.0641,
11.81,29257.0641,
11.92,29257.0641,
12.03,29257.0641,
12.13,29257.0641,
12.25,29257.0641,
12.39,29257.0641,
12.49,29257.0641,
12.6,29257.0641,
12.74,29257.0641,
12.86,29257.0641,
13.02,29257.0641,
13.12,29257.0641,
13.25,29257.0641,
13.35,29257.0641,
13.47,29257.0641,
13.58,29257.0641,
13.68,29255.5524,
13.79,29255.5524,
13.89,29255.5524,
13.99,29255.5524,
14.1,29255.5524,
14.23,29255.5524,
14.34,29255.5524,
14.47,29253.8669,
14.57,29253.8669,
14.68,29253.8669,
14.84,29250.6143,
14.94,29250.6143,
15.07,29250.6143,
15.17,29250.6143,
15.28,29249.3637,
15.41,29249.3637,
15.52,29249.3637,
15.62,29058.3858,
15.76,29058.3858,
15.89,29043.6062,
16.08,29043.6062,
16.28,29043.6062,
16.38,29043.6062,
16.51,29043.6062,
16.64,29043.6062,
16.75,29043.6062,
16.88,29043.6062,
17.02,29043.6062,
17.12,29043.6062,
17.23,29036.4655,
17.34,29036.4655,
17.46,29036.4655,
17.58,29036.4655,
17.7,29036.4655,
17.81,29036.4655,
17.96,29036.4655,
18.07,29036.4655,
18.2,29036.4655,
18.32,29036.4655,
18.43,29036.4655,
18.54,29036.4655,
18.68,29036.4655,
18.83,29036.4655,
18.94,29036.4655,
19.08,29036.4655,
19.2,29036.4655,
19.3,29036.4655,
19.4,29036.4655,
19.54,29036.4655,
19.64,29036.4655,
19.74,29036.4655,
19.86,29036.4655,
20.0,29035.2873,
20.13,29035.2873,
20.29,29035.2873,
20.4,29035.2873,
20.52,29035.2873,
20.64,29035.2873,
20.76,29035.2873,
20.88,29035.2873,
20.99,29035.2873,
21.13,29035.2873,
21.23,29035.2873,
21.35,29035.2873,
21.45,29035.2873,
21.63,29035.2873,
21.75,29035.2873,
21.85,29035.2873,
21.95,29035.2873,
22.06,29035.2873,
22.17,29035.2873,
22.27,29035.2873,
22.37,29035.2873,
22.54,29035.2873,
22.66,29035.2873,
22.76,29035.2873,
22.88,29035.2873,
22.98,29035.2873,
23.08,29035.2873,
23.18,29035.2873,
23.33,29035.2873,
23.46,29035.2873,
23.61,29035.2873,
23.72,29035.2873,
23.83,29035.2873,
23.93,29035.2873,
24.03,29035.2873,
24.15,29035.2873,
24.25,29035.2873,
24.39,29035.2873,
24.49,29035.2873,
24.63,29035.2873,
24.75,29035.2873,
24.85,29035.2873,
24.95,29035.2873,
25.06,29035.2873,
25.17,29035.2873,
25.27,29035.2873,
25.37,29030.7075,
25.48,29030.7075,
25.61,29030.7075,
25.71,29030.7075,
25.82,29030.7075,
25.92,29030.7075,
26.04,29030.7075,
26.15,29030.7075,
26.27,29030.7075,
26.37,29030.7075,
26.48,29030.7075,
26.59,29030.7075,
26.72,29030.7075,
26.84,29030.7075,
26.94,29030.7075,
27.05,29030.7075,
27.15,29030.7075,
27.26,29030.7075,
27.94,29030.7075,
28.05,29030.7075,
28.19,29019.8565,
28.36,29019.8565,
28.46,29019.8565,
28.58,29004.1566,
28.69,29004.1566,
28.8,29004.1566,
28.93,29004.1566,
29.05,29004.1566,
29.17,29004.1566,
29.29,28997.062,
29.39,28997.062,
29.53,28997.062,
29.64,28997.0134,
29.74,28997.0134,
29.92,28997.0134,
30.03,28997.0134,
30.18,28997.0134,
30.31,28997.0134,
30.46,28997.0134,
30.62,28997.0134,
30.75,28997.0134,
30.86,28989.9913,
30.99,28989.9913,
31.1,28989.9913,
31.2,28989.9913,
31.3,28989.9913,
31.42,28989.9913,
31.56,28989.9913,
31.66,28989.9913,
31.81,28989.9913,
31.96,28989.9913,
32.08,28989.9913,
32.22,28989.9913,
32.36,28989.9913,
32.51,28989.9913,
32.63,28989.9913,
32.74,28989.9913,
32.89,28989.9913,
33.01,28989.9913,
33.11,28980.6511,
33.26,28964.469,
33.52,28872.8853,
33.63,28872.8853,
33.74,28872.8853,
33.87,28872.8853,
34.01,28872.8853,
34.14,28872.8853,
34.27,28872.8853,
34.45,28872.8853,
34.57,28872.8853,
34.7,28872.8853,
34.82,28872.8853,
34.94,28872.8853,
35.06,28872.8853,
35.16,28862.4964,
35.31,28862.4964,
35.41,28862.4964,
35.61,28862.4964,
35.71,28862.4964,
35.81,28862.4964,
35.98,28862.4964,
36.1,28862.4964,
36.22,28862.4964,
36.38,28862.4964,
36.51,28862.4964,
36.64,28862.4964,
36.76,28862.4964,
36.86,28862.4964,
36.97,28862.4964,
37.1,28862.4964,
37.2,28862.4964,
37.3,28862.4964,
37.44,28862.4964,
37.57,28862.4964,
37.67,28862.4964,
37.85,28862.4964,
37.96,28862.4964,
38.09,28862.4964,
38.2,28862.4964,
38.31,28862.4964,
38.43,28862.4964,
38.53,28862.4964,
38.66,28862.4964,
38.76,28862.4964,
38.87,28862.4964,
38.98,28862.4964,
39.09,28862.4964,
39.19,28862.4964,
39.35,28862.4964,
39.51,28862.4964,
39.61,28862.4964,
39.77,28862.4964,
39.87,28862.4964,
40.03,28862.4964,
40.14,28862.4964,
40.26,28862.4964,
40.38,28862.4964,
40.55,28862.4964,
40.68,28862.4964,
40.8,28862.4964,
40.9,28862.4964,
41.06,28862.4964,
41.18,28862.4964,
41.33,28862.4964,
41.43,28862.4964,
41.6,28862.4964,
41.73,28862.4964,
41.87,28862.4964,
41.97,28862.4964,
42.07,28862.4964,
42.17,28862.4964,
42.34,28862.4964,
42.45,28862.4964,
42.56,28862.4964,
42.7,28862.4964,
42.81,28862.4964,
42.91,28862.4964,
43.06,28862.4964,
43.16,28862.4964,
43.27,28862.4964,
43.38,28862.4964,
43.5,28862.4964,
43.66,28862.4964,
43.78,28862.4964,
43.99,28862.4964,
44.11,28862.4964,
44.29,28862.4964,
44.39,28862.4964,
44.5,28862.4964,
44.66,28862.4964,
44.77,28862.4964,
44.92,28862.4964,
45.03,28862.4964,
45.14,28862.4964,
45.25,28862.4964,
45.35,28862.4964,
45.48,28862.4964,
45.59,28862.4964,
45.69,28862.4964,
45.79,28862.4964,
45.89,28862.4964,
46.0,28862.4964,
46.11,28862.4964,
46.24,28862.4964,
46.38,28862.4964,
46.52,28862.4964,
46.64,28862.4964,
46.79,28862.4964,
46.94,28862.4964,
47.05,28862.4964,
47.17,28862.4964,
47.28,28862.4964,
47.44,28862.4964,
