elapsed_sec,best_cost,improvement_pct
0.41,30475.5271,
0.53,30481.2201,
0.66,30485.3014,
0.8,30469.8998,
0.94,30469.8998,
1.04,30506.5338,
1.15,30562.1507,
1.35,30626.7522,
1.5,30626.7522,
1.61,30623.778,
1.73,30623.778,
1.93,30623.778,
2.06,30773.5731,
2.16,30840.1512,
2.28,30872.2027,
2.39,30877.9523,
2.63,30877.9523,
2.74,30875.4987,
2.84,30875.4987,
2.95,30879.4805,
3.5,30646.2071,
3.63,30657.4941,
3.82,30657.4941,
4.45,30645.7983,
4.63,30678.9049,
4.74,30677.9184,
4.85,30673.9366,
4.96,30677.8911,
5.1,30670.1263,
5.2,30395.3418,
5.32,30403.5044,
5.44,30403.5044,
5.54,30403.5044,
5.64,30267.6174,
5.75,30238.4267,
5.95,30251.4041,
6.08,30257.4399,
6.46,30257.4399,
6.58,30257.4399,
6.69,30254.5102,
6.97,30256.5076,
7.07,30263.4471,
7.27,30263.4471,
7.44,30263.4471,
7.55,30263.4471,
7.67,30263.4471,
8.09,30263.4471,
8.21,30261.3749,
8.34,30234.2294,
8.45,30218.6375,
8.55,30218.6375,
8.95,30218.6375,
9.06,30225.2897,
9.18,30229.2528,
9.28,30252.2005,
9.38,30252.2005,
9.62,30269.8993,
9.8,30263.7174,
9.92,30300.7759,
10.03,30287.3596,
10.17,30287.3596,
10.28,30288.1446,
10.38,30288.1446,
10.51,30288.1446,
10.64,30288.1446,
10.75,30283.2031,
11.07,30283.2031,
11.17,30283.2031,
11.29,30285.0874,
11.4,30285.0874,
11.51,30285.0874,
11.61,30279.9146,
11.75,30279.9146,
11.88,30279.9146,
12.0,30287.4894,
12.11,30295.3583,
12.23,30295.3583,
12.36,30297.457,
12.46,30297.457,
12.59,30330.4103,
12.69,30330.4103,
12.79,30330.4103,
12.97,30319.9172,
13.09,30427.4035,
13.27,30418.0377,
13.42,30418.0377,
13.57,30421.1829,
13.67,30403.042,
13.78,30403.042,
13.94,30403.042,
14.04,30398.3001,
14.19,30405.4152,
14.29,30405.4152,
14.68,30405.4152,
14.82,30400.278,
14.92,30400.278,
15.41,30400.278,
15.56,30399.8365,
15.68,30399.8365,
15.78,30399.8365,
15.88,30397.8211,
16.0,30399.6483,
16.11,30399.6483,
16.22,30399.6483,
16.61,30399.6483,
16.84,30392.9317,
16.96,30392.9317,
17.1,30392.9317,
17.62,30392.9317,
17.73,30392.9317,
17.92,30392.9317,
18.02,30392.9317,
18.13,30392.9317,
18.25,30396.9446,
18.36,30404.3939,
18.47,30404.3939,
18.59,30407.1902,
18.69,30409.5267,
18.87,30409.5267,
18.98,30403.2608,
19.19,30403.2608,
19.4,30397.9327,
19.51,30395.996,
19.61,30394.5825,
19.73,30394.5825,
19.85,30394.5825,
19.98,30394.5825,
20.12,30394.5825,
20.44,30394.5825,
20.56,30394.5825,
20.67,30394.5825,
20.81,30394.5825,
20.93,30394.5825,
21.03,30394.5825,
21.14,30130.4087,
21.24,30130.4087,
21.36,30130.4087,
21.47,30130.4087,
21.58,30130.5681,
21.79,30130.5681,
22.27,30147.098,
22.37,30147.098,
22.48,30139.771,
22.58,30135.754,
22.95,30135.754,
23.07,30135.754,
23.18,30137.924,
23.37,30137.924,
23.49,30092.8668,
23.6,30092.8668,
23.75,30092.8668,
23.86,30092.8668,
23.96,30076.5558,
24.07,30066.2484,
24.31,30061.2518,
24.5,30065.0336,
24.61,29984.2995,
24.74,29977.6619,
24.86,29980.1938,
24.96,29980.1938,
25.08,29980.1938,
25.3,29980.1938,
25.62,29980.1938,
25.87,29980.1938,
25.99,29980.1938,
26.13,29980.1938,
26.23,29980.1938,
26.46,29976.7154,
26.72,29976.7154,
26.92,29958.2322,
27.07,29958.2322,
27.17,29958.2322,
27.31,29958.2322,
27.43,29958.2322,
27.55,29962.4963,
27.66,29962.4963,
27.77,29962.4963,
27.89,29962.4963,
27.99,29962.4963,
28.1,29962.7006,
28.24,29962.7006,
28.35,29962.7006,
28.46,29962.7006,
28.57,29962.7006,
28.67,29963.2449,
28.78,29963.2449,
28.88,29959.6869,
28.99,29959.6869,
29.09,29959.6869,
29.2,29959.9241,
29.31,29959.5424,
29.41,29731.618,
29.63,29731.618,
29.76,29731.618,
29.95,29731.618,
30.06,29731.618,
30.77,30311.3512,
30.88,30627.0644,
30.98,30401.3449,
31.08,30401.3449,
31.2,30402.1783,
31.38,30402.1783,
31.49,30402.1783,
31.67,30398.4516,
31.79,30405.7281,
31.92,30388.3113,
32.02,30388.3113,
32.13,30388.3113,
32.46,30388.3113,
32.67,30388.3113,
32.89,30388.3113,
33.18,30390.318,
33.29,30390.318,
33.4,30399.8425,
33.51,30452.0326,
33.65,30454.4562,
33.75,30454.4562,
34.16,30454.4562,
34.28,30454.1341,
34.39,30457.9221,
34.56,30457.9221,
34.67,30456.8405,
34.77,30453.9883,
34.88,30460.321,
35.02,30500.577,
35.29,30503.5336,
35.4,30513.9197,
35.56,30462.9296,
35.66,30462.9296,
35.76,30462.9296,
35.87,30461.5348,
35.98,30469.3007,
36.1,30471.3074,
36.21,30484.9892,
36.46,30484.9892,
36.57,30486.5718,
36.78,30486.5718,
36.92,30531.813,
37.06,30531.813,
37.17,30535.6088,
37.31,30543.833,
37.44,30531.5881,
37.55,30511.9802,
37.75,30511.9802,
37.85,30511.9802,
37.95,30540.1168,
38.05,30567.0627,
38.18,30567.0627,
38.29,30567.0627,
38.44,30567.0627,
38.57,30567.6117,
38.69,30556.9914,
38.8,30564.6611,
38.95,30521.7352,
39.12,30514.4587,
39.3,30296.6656,
39.4,30296.6656,
39.52,30296.6656,
39.63,30296.6656,
39.77,30296.6656,
40.14,30296.6656,
