elapsed_sec,best_cost,improvement_pct
0.11,30543.6638,
0.55,30327.4731,
0.65,30269.0035,
0.76,30048.0729,
0.87,30048.0729,
1.03,30052.2681,
1.67,30086.7528,
1.81,30051.7288,
2.1,30051.7288,
2.27,30065.702,
2.4,30139.0209,
2.63,30356.6262,
3.0,30356.6262,
3.12,30365.8826,
3.27,30374.0751,
3.47,30385.7279,
3.59,30385.7279,
3.75,30385.7279,
3.92,30387.265,
4.09,30387.265,
4.2,30387.265,
4.34,30387.265,
4.45,30387.265,
4.85,30389.0235,
5.02,30390.62,
5.12,30429.2994,
5.24,30427.5409,
5.4,30441.2571,
5.51,30192.3117,
5.62,30189.6558,
5.74,30239.2935,
5.9,30239.2935,
6.45,30207.0136,
7.36,30216.6842,
7.46,30215.418,
7.65,30250.9893,
7.86,30232.4237,
7.99,30236.9776,
8.38,30227.6118,
8.48,30227.6118,
8.61,30227.6118,
8.72,30216.3699,
8.84,30216.3699,
8.95,30228.9171,
9.11,30252.332,
9.87,30189.0192,
10.05,30232.1886,
10.35,30232.1886,
10.51,30231.4466,
10.75,30231.4466,
10.88,30231.4466,
10.99,30230.4858,
11.37,30230.4858,
11.48,30233.8794,
11.69,30222.2221,
12.34,30222.2221,
12.47,30222.2221,
12.57,30222.2221,
12.97,30222.2221,
13.66,30222.2221,
13.79,30237.6168,
13.91,30250.4561,
14.02,30250.4561,
14.76,30247.1874,
14.88,30247.1874,
15.01,30247.1874,
15.13,30243.4811,
15.44,30251.6089,
15.59,30238.4719,
15.76,30238.4719,
15.88,30238.4719,
16.02,30240.7834,
16.43,30243.8179,
16.63,30254.89,
16.77,30252.1086,
17.07,30252.1086,
17.17,30252.1086,
17.28,30260.2545,
17.38,30260.2545,
17.51,30260.2545,
17.71,30260.2545,
18.76,30230.8772,
18.91,30151.171,
19.23,30151.171,
19.42,30151.171,
20.26,30143.752,
20.71,30137.1298,
20.82,30137.1298,
21.25,30135.9708,
21.4,30134.8915,
21.52,30134.8915,
22.28,30134.8915,
22.39,30134.8915,
22.57,30140.0368,
22.67,30140.0368,
23.57,30132.2453,
23.71,30132.2453,
23.81,30132.2453,
24.14,30132.2453,
24.25,30124.3758,
24.44,30135.0961,
24.55,30140.4305,
24.73,30140.4305,
24.91,30140.4305,
25.34,30146.4663,
25.44,30143.577,
25.58,30143.577,
25.78,30143.577,
26.32,30143.577,
26.43,30153.3206,
27.5,30141.7056,
27.6,30141.7056,
27.72,30141.7056,
27.95,30141.7056,
28.05,30141.7056,
28.15,30141.7056,
28.43,30141.7056,
28.53,30141.7056,
29.16,30126.9325,
29.31,30126.9325,
29.45,30126.9325,
29.62,30082.3747,
29.74,30059.6054,
29.87,30054.271,
30.04,30044.4478,
30.17,30038.7778,
30.28,30038.7778,
30.42,30038.7778,
30.57,30038.7778,
31.12,30038.7778,
31.22,30041.9929,
31.39,30041.9929,
31.5,30023.3725,
31.63,30021.201,
31.75,30021.201,
32.52,30016.7843,
32.73,30016.7843,
32.87,30016.6716,
33.91,30016.6716,
34.81,30016.6716,
34.94,30015.0988,
35.68,29736.7796,
35.93,29521.6217,
36.03,29521.6217,
36.15,29521.6217,
36.31,29521.6217,
36.47,29521.6217,
36.58,29518.6952,
36.68,29518.6952,
36.88,29509.6515,
37.32,29500.1697,
37.44,29500.1697,
37.57,29500.1697,
37.68,29486.2343,
38.6,29486.2343,
38.74,29486.2343,
38.84,29486.2343,
38.95,29486.2343,
39.11,29486.2343,
39.21,29483.3949,
39.44,29483.3949,
40.39,29483.3949,
40.55,29483.3949,
41.44,29483.3949,
41.54,29483.3949,
42.04,29483.3949,
42.15,29478.0966,
42.61,29478.0966,
42.77,29478.0966,
42.91,29478.0966,
43.02,29475.7851,
43.12,29475.4927,
43.22,29475.4927,
43.39,29475.4927,
43.68,29475.4927,
43.8,29429.8851,
43.93,29429.8851,
44.04,29429.8851,
44.17,29430.1775,
44.28,29424.3851,
44.39,29423.5915,
44.52,29422.2101,
44.71,29422.2101,
44.85,29382.8197,
44.99,29382.5273,
45.11,29382.5273,
45.25,29381.4523,
45.5,29381.4523,
45.61,29370.2873,
45.72,29368.967,
45.9,29368.967,
46.02,29368.967,
46.12,29368.967,
46.23,29369.167,
46.34,29369.167,
46.67,29369.167,
46.78,29368.967,
46.9,29368.967,
47.01,29368.967,
47.11,29368.7835,
47.23,29368.2787,
47.53,29368.2787,
47.63,29367.6328,
47.85,29366.6087,
47.98,29366.6087,
48.1,29357.593,
48.23,29357.593,
48.33,29357.593,
48.44,29357.593,
48.56,29357.593,
48.69,29357.1778,
48.79,29357.1778,
48.9,29357.1778,
49.01,29357.1778,
49.16,29357.1778,
49.28,29337.2815,
49.39,29337.2815,
49.52,29337.2815,
49.67,29337.2815,
49.8,29337.2815,
50.01,29337.2815,
50.12,29337.2815,
50.23,29337.2815,
50.33,29337.2815,
50.45,29337.2815,
50.86,29337.2815,
50.96,29337.2815,
51.27,29337.2815,
51.4,29337.2815,
51.72,29337.2815,
51.83,29337.2815,
