elapsed_sec,best_cost,improvement_pct
0.1,1471.7701,
0.2,1471.7701,
0.3,1471.7701,
0.4,1471.7701,
0.5,1471.7701,
0.6,1471.7701,
0.7,1471.7701,
0.8,1471.7701,
0.9,1471.7701,
1.0,1471.7701,
1.1,1471.7701,
1.2,1471.7701,
1.3,1471.7701,
1.4,1471.7701,
1.5,1471.7701,
1.6,1471.7701,
1.7,1471.7701,
1.8,1471.7701,
1.9,1471.7701,
2.0,1471.7701,
2.1,1471.7701,
2.2,1471.7701,
2.3,1471.7701,
2.4,1471.7701,
2.5,1471.7701,
2.6,1471.7701,
2.7,1471.7701,
2.8,1471.7701,
2.9,1471.7701,
3.0,1471.7701,
3.1,1471.7701,
3.2,1471.7701,
3.3,1471.7701,
3.4,1471.7701,
3.5,1471.7701,
3.6,1471.7701,
3.7,1471.7701,
3.8,1471.7701,
3.9,1471.7701,
4.0,1471.7701,
4.1,1471.7701,
4.2,1471.7701,
4.3,1471.7701,
4.4,1471.7701,
4.5,1471.7701,
4.6,1471.7701,
4.7,1471.7701,
4.8,1471.7701,
4.9,1471.7701,
5.0,1471.7701,
5.1,1471.7701,
5.2,1471.7701,
5.3,1471.7701,
5.4,1471.7701,
5.5,1471.7701,
5.6,1471.7701,
5.7,1471.7701,
5.8,1471.7701,
5.9,1471.7701,
6.0,1471.7701,
6.1,1471.7701,
6.2,1471.7701,
6.3,1471.7701,
6.4,1471.7701,
6.5,1471.7701,
6.6,1471.7701,
6.7,1471.7701,
6.8,1471.7701,
6.9,1471.7701,
7.0,1471.7701,
7.1,1471.7701,
7.2,1471.7701,
7.3,1471.7701,
7.4,1471.7701,
7.5,1471.7701,
7.6,1471.7701,
7.7,1471.7701,
7.8,1471.7701,
7.9,1471.7701,
8.0,1471.7701,
8.1,1471.7701,
8.2,1471.7701,
8.3,1471.7701,
8.4,1471.7701,
8.5,1471.7701,
8.6,1471.7701,
8.7,1471.7701,
8.8,1471.7701,
8.9,1471.7701,
9.0,1471.7701,
9.1,1471.7701,
9.2,1471.7701,
9.3,1471.7701,
9.4,1471.7701,
9.5,1471.7701,
9.6,1471.7701,
9.7,1471.7701,
9.8,1471.7701,
9.9,1471.7701,
10.0,1471.7701,
10.1,1471.7701,
10.2,1471.7701,
10.3,1471.7701,
10.4,1471.7701,
10.5,1471.7701,
10.6,1471.7701,
10.7,1471.7701,
10.8,1471.7701,
10.9,1471.7701,
11.0,1471.7701,
11.1,1471.7701,
11.2,1471.7701,
11.3,1471.7701,
11.4,1471.7701,
11.5,1471.7701,
11.6,1471.7701,
11.7,1471.7701,
11.8,1471.7701,
11.9,1471.7701,
12.0,1471.7701,
12.1,1471.7701,
12.2,1471.7701,
12.3,1471.7701,
12.4,1471.7701,
12.5,1471.7701,
12.6,1471.7701,
12.7,1471.7701,
12.8,1471.7701,
12.91,1471.7701,
13.01,1471.7701,
13.11,1471.7701,
13.21,1471.7701,
13.31,1471.7701,
13.41,1471.7701,
13.51,1471.7701,
13.61,1471.7701,
13.71,1471.7701,
13.81,1471.7701,
13.91,1471.7701,
14.01,1471.7701,
14.11,1471.7701,
14.21,1471.7701,
14.31,1471.7701,
14.41,1471.7701,
14.51,1471.7701,
14.61,1471.7701,
14.71,1471.7701,
14.81,1471.7701,
14.91,1471.7701,
15.01,1471.7701,
15.11,1471.7701,
15.21,1471.7701,
15.31,1471.7701,
15.41,1471.7701,
15.51,1471.7701,
15.61,1471.7701,
15.71,1471.7701,
15.81,1471.7701,
15.91,1471.7701,
16.01,1471.7701,
16.11,1471.7701,
16.21,1471.7701,
16.31,1471.7701,
16.41,1471.7701,
16.51,1471.7701,
16.61,1471.7701,
16.71,1471.7701,
16.81,1471.7701,
16.91,1471.7701,
17.01,1471.7701,
17.11,1471.7701,
17.21,1471.7701,
17.31,1471.7701,
17.41,1471.7701,
17.51,1471.7701,
17.61,1471.7701,
17.71,1471.7701,
17.81,1471.7701,
17.91,1471.7701,
18.01,1471.7701,
18.11,1471.7701,
18.21,1471.7701,
18.31,1471.7701,
18.41,1471.7701,
18.51,1471.7701,
18.61,1471.7701,
18.71,1471.7701,
18.81,1471.7701,
18.91,1471.7701,
19.01,1471.7701,
19.11,1471.7701,
19.21,1471.7701,
19.31,1471.7701,
19.41,1471.7701,
19.51,1471.7701,
19.61,1471.7701,
19.71,1471.7701,
19.81,1471.7701,
19.91,1471.7701,
20.01,1471.7701,
20.11,1471.7701,
20.21,1471.7701,
20.31,1471.7701,
20.41,1471.7701,
20.51,1471.7701,
20.61,1471.7701,
20.71,1471.7701,
20.81,1471.7701,
20.91,1471.7701,
21.01,1471.7701,
21.11,1471.7701,
21.21,1471.7701,
21.31,1471.7701,
21.41,1471.7701,
21.51,1471.7701,
21.61,1471.7701,
21.71,1471.7701,
21.81,1471.7701,
21.91,1471.7701,
22.01,1471.7701,
22.11,1471.7701,
22.21,1471.7701,
22.31,1471.7701,
22.41,1471.7701,
22.51,1471.7701,
22.61,1471.7701,
22.71,1471.7701,
22.81,1471.7701,
22.91,1471.7701,
23.01,1471.7701,
23.11,1471.7701,
23.21,1471.7701,
23.31,1471.7701,
23.41,1471.7701,
23.51,1471.7701,
23.61,1471.7701,
23.71,1471.7701,
23.81,1471.7701,
23.91,1471.7701,
24.01,1471.7701,
24.11,1471.7701,
24.21,1471.7701,
24.31,1471.7701,
24.41,1471.7701,
24.51,1471.7701,
24.61,1471.7701,
24.71,1471.7701,
24.81,1471.7701,
24.91,1471.7701,
25.01,1471.7701,
25.11,1471.7701,
25.21,1471.7701,
25.31,1471.7701,
25.41,1471.7701,
25.51,1471.7701,
25.61,1471.7701,
25.71,1471.7701,
25.81,1471.7701,
25.91,1471.7701,
26.01,1471.7701,
26.11,1471.7701,
26.21,1471.7701,
26.31,1471.7701,
26.41,1471.7701,
26.51,1471.7701,
