elapsed_sec,best_cost,improvement_pct
0.1,1613.888,
0.2,1590.4193,
0.3,1585.7461,
0.4,1588.4696,
0.5,1868.0348,
0.6,1596.0064,
0.7,1613.9427,
0.8,1610.8745,
0.9,1591.3187,
1.0,1607.0618,
1.1,1997.0255,
1.2,1583.0233,
1.3,1869.7081,
1.4,1602.3302,
1.5,1620.8581,
1.6,1483.1811,
1.7,1483.1811,
1.8,1601.526,
1.9,1485.1665,
2.0,1600.0432,
2.11,1602.2432,
2.21,1480.8307,
2.31,1584.9576,
2.41,1583.0233,
2.51,1477.1604,
2.61,1594.6563,
2.71,1587.2171,
2.81,1481.569,
2.91,2215.7879,
3.01,1471.0077,
3.11,1845.9529,
3.21,1595.7252,
3.31,1600.5643,
3.41,1590.056,
3.51,1597.3251,
3.61,1880.4792,
3.71,1594.5946,
3.81,1594.3365,
3.91,1577.9987,
4.01,1592.7981,
4.11,1627.4139,
4.21,1996.84,
4.31,1483.1811,
4.41,1581.7712,
4.51,1840.5767,
4.61,1596.9306,
4.71,1600.9659,
4.81,1596.4998,
4.91,1615.2808,
5.01,1490.4772,
5.11,1606.9083,
5.21,1617.896,
5.31,1605.2985,
5.41,1602.9328,
5.51,1587.7976,
5.61,1590.086,
5.71,1596.4144,
5.81,1485.1665,
5.91,1602.8318,
6.01,1594.5946,
6.11,1605.2016,
6.21,1483.1811,
6.31,1607.9542,
6.41,1604.1821,
6.51,1598.1501,
6.61,1584.385,
6.71,1595.5111,
6.81,1589.2581,
6.91,1592.8953,
7.01,1480.9727,
7.11,1600.0828,
7.21,1591.2078,
7.31,1483.1811,
7.41,1485.5487,
7.51,1619.0543,
7.61,1590.8383,
7.71,1475.5426,
7.81,1601.0005,
7.91,1610.0115,
8.01,1467.9521,
8.11,1611.5672,
8.21,1588.5643,
8.31,1609.9074,
8.41,1597.4156,
8.51,1480.8307,
8.61,1852.319,
8.71,1609.7721,
8.81,1479.2218,
8.91,1478.772,
9.01,1492.66,
9.11,1606.0663,
9.21,1574.1807,
9.31,1577.9987,
9.41,1606.949,
9.51,1608.0899,
9.61,1584.9576,
9.71,1596.6232,
9.81,1602.4132,
9.91,1597.7701,
10.01,1480.9329,
10.11,1478.772,
10.21,1598.7696,
10.31,1611.6236,
10.41,1467.9521,
10.51,1497.3765,
10.61,1587.0289,
10.71,1595.8715,
10.81,1601.7655,
10.91,1609.2245,
11.01,1600.5545,
11.11,1599.1657,
11.21,1592.5468,
11.31,1596.0164,
11.41,1485.1665,
11.51,1612.3429,
11.61,1587.2171,
11.71,1614.3346,
11.81,1584.2088,
11.91,1584.9576,
12.02,1582.5315,
12.12,1597.9769,
12.22,1473.3424,
12.32,1575.2017,
12.42,1616.3961,
12.52,1618.2828,
12.62,1485.1076,
12.72,1611.2356,
12.82,1590.7556,
12.92,1487.3749,
13.02,1609.7312,
13.12,1483.0762,
13.22,1603.1977,
13.32,1605.2985,
13.42,1875.3039,
13.52,1880.6828,
13.62,1480.9727,
13.72,1599.297,
13.82,1603.2993,
13.92,1589.6389,
14.02,1485.1665,
14.12,1480.9727,
14.22,1503.7388,
14.32,1596.5342,
14.42,1600.5448,
14.52,1615.3656,
14.62,1478.772,
14.72,1480.9727,
14.82,1483.0762,
14.92,1606.3945,
15.02,1601.7655,
15.12,1600.4696,
15.22,1603.1835,
15.32,1485.1076,
15.42,1471.7701,
15.52,1600.2851,
15.62,1603.5874,
15.72,1591.2078,
15.82,1490.4772,
15.92,1468.9731,
16.02,1615.1959,
16.12,1599.3204,
16.22,1592.0967,
16.32,1483.1811,
16.42,1480.9329,
16.52,1626.7325,
16.62,1607.2392,
16.73,1480.9329,
16.83,1600.1991,
16.93,1585.0006,
17.03,1603.1434,
17.13,1483.0762,
17.23,1594.7397,
17.33,1590.8445,
17.43,1475.5426,
17.53,1584.8268,
17.63,1600.3807,
17.73,1613.8995,
17.83,1485.1076,
17.93,1617.4912,
18.03,1606.6559,
18.13,1468.9731,
18.23,1481.569,
18.33,1585.7461,
18.43,1607.759,
18.53,1467.9521,
18.63,1607.0407,
18.73,1595.7128,
18.83,1480.9727,
18.93,1590.8745,
19.03,1604.0764,
19.13,1597.3736,
19.23,1485.5487,
19.33,1492.66,
19.43,1597.0912,
19.53,1467.9521,
19.63,1481.569,
19.73,1607.0407,
19.83,1623.3389,
19.93,1483.1811,
20.03,1478.5982,
20.13,1589.4097,
20.23,1594.8954,
20.33,1478.772,
20.43,1468.9731,
20.53,1485.1665,
20.63,1608.6659,
20.73,1468.9731,
20.83,1481.569,
20.93,1602.6132,
21.03,1609.1434,
21.13,1503.7388,
21.23,1595.1538,
21.33,1615.8174,
21.43,1596.8653,
21.53,1603.2788,
21.63,1477.1604,
21.73,1587.0593,
21.83,1583.0233,
21.93,1486.363,
22.04,1607.2392,
22.14,1480.8307,
22.24,1608.8396,
22.34,1483.0762,
22.44,1483.0762,
22.54,1490.4772,
22.64,1600.8272,
22.74,1604.5454,
