elapsed_sec,best_cost,improvement_pct
0.1,4059.9688,
0.2,3757.4026,
0.3,4052.7593,
0.4,3760.1887,
0.5,3800.055,
0.61,3750.962,
0.71,3751.3314,
0.81,3750.962,
0.91,3750.962,
1.01,3918.4728,
1.11,3849.9089,
1.21,4014.6703,
1.31,3723.8351,
1.41,3826.6785,
1.52,3825.6132,
1.62,3940.0873,
1.72,3813.0744,
1.82,3965.0356,
1.92,3983.4571,
2.02,3731.9391,
2.12,3954.5653,
2.23,3966.0079,
2.33,3987.4671,
2.43,3733.9544,
2.53,3750.167,
2.63,3722.5774,
2.73,3705.9813,
2.83,3946.2063,
2.93,3975.3341,
3.03,3927.691,
3.13,3885.1875,
3.24,3731.035,
3.34,3733.4184,
3.44,3981.94,
3.54,3898.0724,
3.64,3724.1206,
3.74,3714.807,
3.84,3873.1227,
3.95,3723.8351,
4.05,3733.4184,
4.15,3739.8607,
4.25,3958.7049,
4.35,3730.0269,
4.45,3956.9392,
4.55,3733.4184,
4.66,3965.1771,
4.76,3970.1101,
4.86,3986.4082,
4.96,3724.1206,
5.06,3722.5774,
5.16,3983.4503,
5.26,3739.0503,
5.36,3959.494,
5.46,3714.807,
5.56,3946.2063,
5.66,3958.7049,
5.77,3961.6525,
5.87,3720.4389,
5.97,3934.7112,
6.07,3705.9813,
6.17,3725.0564,
6.27,3719.9799,
6.37,3724.3174,
6.48,3885.1875,
6.58,3724.5927,
6.68,3733.1431,
6.78,3962.8024,
6.88,3944.0663,
6.98,3929.6087,
7.09,3918.8653,
7.19,3738.2927,
7.29,3739.0503,
7.39,3750.6391,
7.49,3736.8015,
7.59,3705.9813,
7.69,3714.807,
7.8,3873.1227,
7.9,3740.7648,
8.0,3901.0235,
8.1,3732.6608,
8.2,3728.8056,
8.3,3705.9813,
8.4,3714.807,
8.5,3957.2041,
8.6,3731.035,
8.71,3925.9665,
8.81,3721.2012,
8.91,3723.8351,
9.01,3943.5765,
9.11,3969.1255,
9.21,3927.6539,
9.32,3972.2182,
9.42,3722.5774,
9.52,3947.9063,
9.62,3722.1053,
9.72,3722.5774,
9.82,3705.9813,
9.92,3705.9813,
10.03,3933.3229,
10.13,3927.691,
10.23,3720.4389,
10.33,3705.9813,
10.43,3719.9799,
10.53,3714.807,
10.63,3873.1227,
10.74,3964.3251,
10.84,3957.6075,
10.94,3727.9758,
11.04,3733.8821,
11.14,3950.8505,
11.24,3882.0244,
11.34,3705.9813,
11.44,3938.4344,
11.54,3948.3784,
11.64,3940.3431,
11.74,3969.082,
11.85,3965.1911,
11.95,3975.4286,
12.05,3721.2012,
12.15,3739.514,
12.25,3874.2725,
12.35,3962.9102,
12.45,3918.8653,
12.56,3705.9813,
12.66,3721.2012,
12.76,3945.0564,
12.86,3967.0309,
12.96,3970.6197,
13.06,3960.6639,
13.16,3720.4389,
13.26,3929.6087,
13.36,3920.2689,
13.46,3881.9484,
13.57,3705.9813,
13.67,3887.5803,
13.77,3881.9484,
13.87,3724.5927,
13.97,3959.035,
14.07,3705.9813,
14.17,3731.9391,
14.27,3962.9102,
14.37,3753.1181,
14.48,3734.7862,
14.58,3724.3174,
14.68,3946.5316,
14.78,3966.5177,
14.89,3936.3929,
14.99,3934.7265,
15.09,3720.4389,
15.19,3721.2012,
15.29,3721.2012,
15.39,3723.8351,
15.49,3906.1917,
15.59,3952.565,
15.69,3873.1227,
15.79,3945.0564,
15.9,3734.043,
16.0,3714.807,
16.1,3720.4389,
16.2,3953.3379,
16.3,3727.9758,
16.4,3714.807,
16.5,3720.4389,
16.61,3750.167,
16.71,3979.4732,
16.81,3972.2182,
16.91,3705.9813,
17.01,3720.4389,
17.11,3957.2041,
17.21,3714.807,
17.31,3705.9813,
17.41,3975.2951,
17.51,3966.2424,
17.61,3958.9078,
17.72,3705.9813,
17.82,3724.3174,
17.92,3720.4389,
18.02,3960.6639,
18.12,3705.9813,
18.22,3720.4389,
18.33,3720.4389,
18.43,3714.807,
18.53,3714.807,
18.63,3947.9063,
18.73,3728.8056,
18.83,3734.4375,
18.94,3734.4375,
19.04,3714.807,
19.14,3723.8351,
19.24,3961.1604,
19.34,3705.9813,
19.44,3719.9799,
19.55,3963.1957,
19.65,3722.5774,
19.75,3731.4031,
19.85,3972.4735,
19.95,3963.6478,
20.05,3953.8016,
20.15,3734.043,
20.25,3939.2714,
20.36,3719.9799,
20.46,3942.1115,
20.56,3977.2067,
20.66,3966.2424,
20.76,3964.0601,
20.86,3922.1113,
20.96,3958.4357,
21.06,3739.8607,
21.16,3752.1823,
21.26,3958.3465,
21.37,3934.7112,
21.47,3934.7112,
21.57,3957.2041,
21.67,3927.691,
21.77,3705.9813,
21.87,3892.1978,
21.97,3742.4334,
22.08,3751.8968,
22.18,3724.3174,
22.28,3719.9799,
22.38,3959.494,
22.48,3973.0981,
22.58,3939.2714,
22.68,3705.9813,
22.79,3720.4389,
22.89,3705.9813,
22.99,3714.807,
23.09,3960.2763,
23.19,3947.0037,
23.29,3705.9813,
23.39,3753.1181,
23.49,3730.931,
23.56,3704.1477,
