elapsed_sec,best_cost,improvement_pct
0.1,3554.1074,
0.2,3585.6201,
0.3,3597.6022,
0.4,3815.6823,
0.5,3890.3878,
0.61,3734.5388,
0.71,3911.2222,
0.81,3846.504,
0.91,3846.504,
1.01,3732.2042,
1.11,3739.8893,
1.21,3607.5321,
1.31,3601.3485,
1.41,3732.8339,
1.51,3810.0181,
1.62,3741.9681,
1.72,3739.9418,
1.82,3732.5651,
1.92,3960.6074,
2.02,3753.1645,
2.12,3737.0252,
2.22,3745.9328,
2.33,3941.9108,
2.43,3941.3539,
2.53,3942.9708,
2.63,3913.114,
2.73,3742.4602,
2.83,3941.4423,
2.93,3847.2864,
3.03,3610.8629,
3.14,3728.6725,
3.24,3738.7278,
3.34,3769.8679,
3.44,3939.0469,
3.54,3721.6269,
3.64,3715.0686,
3.74,3900.9988,
3.84,3734.7979,
3.94,3708.5975,
4.04,3854.8589,
4.15,3798.5752,
4.25,3555.4102,
4.35,3700.2197,
4.45,3873.4894,
4.55,3510.3015,
4.65,3510.1611,
4.75,3751.4619,
4.85,3709.4654,
4.95,3857.9101,
5.05,3692.1792,
5.15,3656.9467,
5.25,3899.0021,
5.36,3907.5746,
5.46,3637.9338,
5.56,3676.0469,
5.66,3626.6571,
5.76,3883.8012,
5.86,3862.0896,
5.97,3809.1459,
6.07,3644.3455,
6.17,3657.7228,
6.27,3858.0033,
6.37,3864.5805,
6.47,3510.3015,
6.58,3800.5775,
6.68,3874.5351,
6.78,3879.7655,
6.88,3897.6061,
6.98,3803.0027,
7.08,3627.5757,
7.18,3756.9899,
7.28,3512.0712,
7.38,3751.1263,
7.48,3903.6485,
7.58,3512.0712,
7.69,3794.3489,
7.79,3851.5363,
7.89,3649.6625,
7.99,3800.0969,
8.09,3866.4842,
8.19,3637.7542,
8.29,3883.7236,
8.39,3510.8478,
8.49,3505.2159,
8.59,3813.7126,
8.69,3648.4607,
8.79,3650.4569,
8.9,3858.3077,
9.0,3820.0938,
9.1,3513.0465,
9.2,3762.0553,
9.3,3640.2015,
9.4,3715.7663,
9.5,3622.6178,
9.6,3804.1305,
9.7,3505.2159,
9.8,3636.4069,
9.9,3820.2025,
10.01,3500.5384,
10.11,3515.6144,
10.21,3747.5026,
10.31,3743.67,
10.41,3507.2465,
10.51,3747.5026,
10.61,3507.2465,
10.71,3635.7365,
10.82,3808.7138,
10.92,3643.8458,
11.02,3788.7393,
11.12,3507.2465,
11.22,3756.2553,
11.32,3873.2638,
11.42,3634.2087,
11.52,3656.8789,
11.62,3637.9947,
11.72,3639.5975,
11.82,3643.4653,
11.93,3650.3564,
12.03,3506.0204,
12.13,3506.0204,
12.23,3642.5958,
12.33,3509.0781,
12.43,3509.0781,
12.53,3747.4968,
12.63,3759.1699,
12.73,3510.3015,
12.84,3936.8571,
12.94,3867.1103,
13.04,3515.6144,
13.14,3775.8465,
13.24,3680.5394,
13.34,3909.8528,
13.44,3741.1969,
13.54,3653.5496,
13.64,3651.9449,
13.74,3920.6079,
13.84,3513.0465,
13.95,3861.6087,
14.05,3756.1107,
14.15,3517.0556,
14.25,3500.5384,
14.35,3509.0781,
14.45,3642.0401,
14.55,3648.1278,
14.65,3621.7691,
14.75,3882.2623,
14.86,3748.1332,
14.96,3870.8006,
15.06,3881.4708,
15.16,3638.5056,
15.26,3760.0049,
15.36,3513.0465,
15.46,3808.6909,
15.56,3507.2465,
15.66,3513.0465,
15.77,3882.0901,
15.87,3649.9294,
15.97,3872.3473,
16.07,3529.7136,
16.17,3762.9887,
16.27,3517.2055,
16.37,3748.146,
16.47,3876.6695,
16.57,3886.4442,
16.67,3635.6582,
16.78,3634.4274,
16.88,3750.2385,
16.98,3790.5709,
17.08,3508.9377,
17.18,3642.0572,
17.28,3879.3287,
17.38,3875.1607,
17.48,3639.5645,
17.58,3507.2465,
17.68,3640.3248,
17.78,3884.7453,
17.88,3651.4666,
17.98,3628.7569,
18.09,3507.2465,
18.19,3889.3336,
18.29,3879.3336,
18.39,3649.7866,
18.49,3651.8584,
18.59,3639.2575,
18.69,3808.8161,
18.79,3792.8995,
18.89,3626.6851,
18.99,3640.966,
19.1,3636.7612,
19.2,3887.3537,
19.3,3632.5729,
19.4,3654.3949,
19.5,3657.6875,
19.6,3518.4628,
19.7,3943.1244,
19.8,3760.3371,
19.9,3872.7037,
20.01,3651.8596,
20.11,3517.2055,
20.21,3646.5783,
20.31,3647.2183,
20.41,3793.3389,
20.51,3626.3523,
20.61,3889.4724,
20.71,3505.2159,
20.81,3818.0737,
20.92,3638.6719,
21.02,3633.8945,
21.12,3861.2718,
21.22,3744.752,
21.32,3639.1743,
21.42,3642.1858,
21.52,3500.5384,
21.7,3500.5384,
