elapsed_sec,best_cost,improvement_pct
0.1,1392.7216,
0.2,1392.7216,
0.3,1392.7216,
0.4,1392.7216,
0.5,1392.7216,
0.6,1392.7216,
0.7,1392.7216,
0.8,1392.7216,
0.9,1392.7216,
1.0,1392.7216,
1.1,1392.7216,
1.2,1392.7216,
1.3,1392.7216,
1.4,1392.7216,
1.5,1392.7216,
1.6,1392.7216,
1.7,1392.7216,
1.8,1392.7216,
1.9,1392.7216,
2.0,1392.7216,
2.1,1392.7216,
2.2,1392.7216,
2.3,1392.7216,
2.4,1392.7216,
2.5,1392.7216,
2.6,1392.7216,
2.7,1392.7216,
2.8,1392.7216,
2.9,1392.7216,
3.0,1392.7216,
3.1,1392.7216,
3.2,1392.7216,
3.3,1392.7216,
3.4,1392.7216,
3.5,1392.7216,
3.6,1392.7216,
3.7,1392.7216,
3.8,1392.7216,
3.9,1392.7216,
4.0,1392.7216,
4.1,1392.7216,
4.2,1392.7216,
4.3,1392.7216,
4.4,1392.7216,
4.5,1392.7216,
4.6,1392.7216,
4.7,1392.7216,
4.8,1392.7216,
4.9,1392.7216,
5.0,1392.7216,
5.1,1392.7216,
5.2,1392.7216,
5.3,1392.7216,
5.4,1392.7216,
5.5,1392.7216,
5.6,1392.7216,
5.7,1392.7216,
5.8,1392.7216,
5.9,1392.7216,
6.0,1392.7216,
6.1,1392.7216,
6.2,1392.7216,
6.3,1392.7216,
6.4,1392.7216,
6.5,1392.7216,
6.6,1392.7216,
6.7,1392.7216,
6.8,1392.7216,
6.9,1392.7216,
7.0,1392.7216,
7.1,1392.7216,
7.2,1392.7216,
7.3,1392.7216,
7.4,1392.7216,
7.5,1392.7216,
7.6,1392.7216,
7.7,1392.7216,
7.8,1392.7216,
7.9,1392.7216,
8.0,1392.7216,
8.1,1392.7216,
8.2,1392.7216,
8.3,1392.7216,
8.4,1392.7216,
8.5,1392.7216,
8.6,1392.7216,
8.7,1392.7216,
8.8,1392.7216,
8.9,1392.7216,
9.0,1392.7216,
9.1,1392.7216,
9.2,1392.7216,
9.3,1392.7216,
9.4,1392.7216,
9.5,1392.7216,
9.6,1392.7216,
9.7,1392.7216,
9.8,1392.7216,
9.9,1392.7216,
10.0,1392.7216,
10.1,1392.7216,
10.2,1392.7216,
10.3,1392.7216,
10.4,1392.7216,
10.5,1392.7216,
10.6,1392.7216,
10.7,1392.7216,
10.8,1392.7216,
10.9,1392.7216,
11.0,1392.7216,
11.1,1392.7216,
11.2,1392.7216,
11.3,1392.7216,
11.4,1392.7216,
11.5,1392.7216,
11.6,1392.7216,
11.7,1392.7216,
11.8,1392.7216,
11.9,1392.7216,
12.0,1392.7216,
12.1,1392.7216,
12.2,1392.7216,
12.3,1392.7216,
12.4,1392.7216,
12.5,1392.7216,
12.6,1392.7216,
12.7,1392.7216,
12.8,1392.7216,
12.9,1392.7216,
13.0,1392.7216,
13.1,1392.7216,
13.2,1392.7216,
13.3,1392.7216,
13.4,1392.7216,
13.5,1392.7216,
13.6,1392.7216,
13.7,1392.7216,
13.8,1392.7216,
13.9,1392.7216,
14.01,1392.7216,
14.11,1392.7216,
14.21,1392.7216,
14.31,1392.7216,
14.41,1392.7216,
14.51,1392.7216,
14.61,1392.7216,
14.71,1392.7216,
14.81,1392.7216,
14.91,1392.7216,
15.01,1392.7216,
15.11,1392.7216,
15.21,1392.7216,
15.31,1392.7216,
15.41,1392.7216,
15.51,1392.7216,
15.61,1392.7216,
15.71,1392.7216,
15.81,1392.7216,
15.91,1392.7216,
16.01,1392.7216,
16.11,1392.7216,
16.21,1392.7216,
16.31,1392.7216,
16.41,1392.7216,
16.51,1392.7216,
16.61,1392.7216,
16.71,1392.7216,
16.81,1392.7216,
16.91,1392.7216,
17.01,1392.7216,
17.11,1392.7216,
17.21,1392.7216,
17.31,1392.7216,
17.41,1392.7216,
17.51,1392.7216,
17.61,1392.7216,
17.71,1392.7216,
17.81,1392.7216,
17.91,1392.7216,
18.01,1392.7216,
18.11,1392.7216,
