elapsed_sec,best_cost,improvement_pct
5.35,1493.1962,
5.45,1763.4224,
5.55,1990.0155,
5.65,1645.5047,
5.75,1501.7096,
5.85,1398.2939,
5.95,1398.2939,
6.05,1411.0508,
6.15,1408.6726,
6.25,1408.6726,
6.35,1411.0508,
6.45,1398.2939,
6.55,1398.2939,
6.65,1504.994,
6.75,1525.9851,
6.85,1398.2939,
6.95,1392.7216,
7.05,1493.4633,
7.15,1750.5159,
7.25,1760.0499,
7.35,1490.2356,
7.45,1730.6727,
7.55,1490.2356,
7.65,1759.9416,
7.75,1512.8877,
7.85,1398.2939,
7.95,1493.4633,
8.05,1517.6948,
8.15,1763.7148,
8.25,1510.3308,
8.35,1752.9663,
8.45,1472.3578,
8.55,1472.3578,
8.65,1411.0508,
8.75,1487.2358,
8.85,1657.1515,
8.95,1392.7216,
9.05,1408.6726,
9.15,1501.7096,
9.25,1411.0508,
9.35,1392.7216,
9.45,1411.0508,
9.55,1506.6126,
9.65,1398.2939,
9.75,1475.5409,
9.85,1398.2939,
9.95,1392.7216,
10.05,1398.2939,
10.15,1392.7216,
10.25,1398.2939,
10.35,1510.8454,
10.45,1763.7148,
10.55,1490.2356,
10.65,1392.7216,
10.75,1411.0508,
10.85,1645.5047,
10.95,1398.2939,
11.05,1392.7216,
11.15,1398.2939,
11.25,1398.2939,
11.35,1642.8865,
11.45,1392.7216,
11.55,1392.7216,
11.65,1408.6726,
11.75,1408.6726,
11.85,1408.6726,
11.95,1408.6726,
12.05,1408.6726,
12.15,1506.8333,
12.25,1506.8333,
12.35,1760.4238,
12.45,1411.0508,
12.55,1398.2939,
12.65,1398.2939,
12.75,1392.7216,
12.85,1408.6726,
12.95,1408.6726,
13.05,1408.6726,
13.15,1408.6726,
13.25,1408.6726,
13.35,1411.0508,
13.45,1398.2939,
13.55,1411.0508,
13.65,1398.2939,
13.75,1398.2939,
13.86,1398.2939,
13.96,1411.0508,
14.06,1487.2358,
14.16,1411.0508,
14.26,1392.7216,
14.36,1398.2939,
14.46,1392.7216,
14.56,1411.0508,
14.66,1411.0508,
14.76,1411.0508,
14.86,1392.7216,
14.96,1392.7216,
15.06,1398.2939,
15.16,1398.2939,
15.26,1398.2939,
15.36,1398.2939,
15.46,1411.0508,
15.56,1411.0508,
15.66,1411.0508,
15.76,1487.2358,
15.86,1398.2939,
15.96,1398.2939,
16.06,1392.7216,
16.16,1411.0508,
16.26,1411.0508,
16.36,1411.0508,
16.46,1398.2939,
16.56,1392.7216,
16.66,1398.2939,
16.76,1398.2939,
16.86,1392.7216,
16.96,1398.2939,
17.06,1398.2939,
17.16,1398.2939,
17.26,1411.0508,
17.36,1411.0508,
17.46,1496.3547,
17.56,1398.2939,
17.66,1392.7216,
17.76,1392.7216,
17.86,1411.0508,
17.96,1392.7216,
18.06,1411.0508,
18.16,1392.7216,
18.26,1398.2939,
18.36,1392.7216,
18.46,1392.7216,
18.56,1392.7216,
18.66,1392.7216,
18.76,1411.0508,
18.86,1398.2939,
18.96,1398.2939,
19.06,1392.7216,
19.16,1398.2939,
19.26,1392.7216,
19.36,1392.7216,
19.46,1411.0508,
19.56,1411.0508,
19.66,1392.7216,
19.76,1398.2939,
19.86,1392.7216,
19.96,1398.2939,
20.06,1392.7216,
20.16,1392.7216,
20.26,1398.2939,
20.36,1398.2939,
20.46,1392.7216,
20.56,1398.2939,
20.66,1411.0508,
20.76,1411.0508,
20.86,1398.2939,
20.96,1398.2939,
21.06,1411.0508,
21.16,1392.7216,
21.26,1392.7216,
21.36,1392.7216,
21.46,1411.0508,
21.56,1392.7216,
21.66,1392.7216,
21.76,1392.7216,
21.86,1411.0508,
21.96,1392.7216,
22.06,1398.2939,
22.16,1398.2939,
22.26,1411.0508,
22.36,1398.2939,
22.46,1398.2939,
22.56,1398.2939,
22.66,1411.0508,
22.76,1398.2939,
22.86,1392.7216,
22.96,1411.0508,
23.06,1411.0508,
23.17,1392.7216,
23.27,1398.2939,
23.37,1411.0508,
23.47,1398.2939,
23.57,1392.7216,
23.67,1411.0508,
23.77,1392.7216,
23.87,1411.0508,
23.97,1392.7216,
24.07,1398.2939,
24.17,1398.2939,
24.27,1392.7216,
24.37,1392.7216,
24.47,1392.7216,
24.57,1398.2939,
24.67,1398.2939,
24.77,1392.7216,
24.87,1392.7216,
24.97,1392.7216,
25.07,1398.2939,
25.17,1398.2939,
25.27,1392.7216,
25.37,1411.0508,
25.47,1392.7216,
25.57,1411.0508,
25.67,1398.2939,
25.77,1398.2939,
25.87,1411.0508,
25.97,1411.0508,
26.07,1398.2939,
26.17,1411.0508,
26.27,1398.2939,
26.37,1392.7216,
26.48,1392.7216,
26.58,1398.2939,
26.68,1392.7216,
26.78,1398.2939,
26.88,1398.2939,
26.98,1392.7216,
27.08,1398.2939,
27.18,1392.7216,
27.28,1398.2939,
27.38,1392.7216,
27.48,1411.0508,
27.58,1411.0508,
27.68,1392.7216,
27.78,1392.7216,
27.88,1392.7216,
27.98,1392.7216,
28.08,1392.7216,
28.18,1392.7216,
28.28,1392.7216,
28.38,1398.2939,
28.48,1392.7216,
28.58,1398.2939,
28.68,1411.0508,
28.78,1392.7216,
28.88,1398.2939,
28.98,1411.0508,
29.08,1392.7216,
29.18,1411.0508,
29.28,1411.0508,
29.38,1392.7216,
29.48,1398.2939,
29.58,1392.7216,
29.68,1411.0508,
29.78,1411.0508,
29.88,1398.2939,
29.98,1392.7216,
30.08,1392.7216,
30.18,1411.0508,
30.28,1392.7216,
30.38,1398.2939,
30.48,1392.7216,
30.58,1392.7216,
30.68,1392.7216,
30.78,1398.2939,
30.88,1398.2939,
30.98,1392.7216,
31.08,1411.0508,
31.18,1398.2939,
31.28,1398.2939,
31.38,1398.2939,
31.48,1392.7216,
31.58,1392.7216,
31.68,1398.2939,
31.78,1411.0508,
31.88,1392.7216,
31.98,1398.2939,
32.08,1392.7216,
32.18,1398.2939,
32.28,1411.0508,
32.38,1398.2939,
32.48,1392.7216,
32.58,1392.7216,
32.68,1392.7216,
32.78,1392.7216,
32.88,1398.2939,
32.98,1398.2939,
33.08,1411.0508,
33.18,1398.2939,
33.28,1398.2939,
33.38,1398.2939,
33.48,1411.0508,
33.58,1392.7216,
33.68,1411.0508,
33.78,1411.0508,
33.88,1398.2939,
33.98,1411.0508,
34.08,1392.7216,
34.18,1392.7216,
34.28,1398.2939,
34.38,1398.2939,
34.48,1398.2939,
34.58,1392.7216,
34.68,1392.7216,
34.78,1411.0508,
34.88,1398.2939,
34.98,1398.2939,
35.08,1392.7216,
35.18,1398.2939,
