elapsed_sec,best_cost,improvement_pct
0.1,1392.7216,
0.2,1392.7216,
0.3,1392.7216,
0.43,1392.7216,
0.53,1392.7216,
0.67,1392.7216,
0.77,1392.7216,
0.92,1784.0934,
1.02,1784.0934,
1.15,1398.2939,
1.25,1392.7216,
1.41,1392.7216,
1.51,1392.7216,
1.64,1392.7216,
1.74,1392.7216,
1.88,1392.7216,
1.98,1392.7216,
2.14,1408.6726,
2.24,1408.6726,
2.4,1506.6126,
2.5,1506.6126,
2.65,1493.6755,
2.75,1493.6755,
2.91,1475.169,
3.01,1475.169,
3.16,1392.7216,
3.26,1392.7216,
3.4,1408.6726,
3.5,1408.6726,
3.64,1520.872,
3.74,1520.872,
3.84,1520.872,
3.95,1508.201,
4.05,1508.201,
4.16,1392.7216,
4.27,1392.7216,
4.39,1392.7216,
4.49,1392.7216,
4.63,1887.33,
4.73,1887.33,
4.87,1513.8139,
4.97,1513.8139,
5.07,1501.7096,
5.19,1518.5644,
5.29,1518.5644,
5.48,1520.0498,
5.58,1518.5644,
5.75,1476.9215,
5.85,1476.9215,
6.03,1479.5218,
6.13,1479.5218,
6.32,1392.7216,
6.42,1392.7216,
6.55,1519.4168,
6.66,1508.201,
6.81,1476.9215,
6.91,1476.9215,
7.04,1505.3431,
7.15,1505.3431,
7.25,1505.3431,
7.38,1392.7216,
7.48,1392.7216,
7.58,1392.7216,
7.68,1392.7216,
7.85,1392.7216,
7.95,1392.7216,
8.07,1392.7216,
8.17,1392.7216,
8.31,1392.7216,
8.41,1392.7216,
8.57,1408.6726,
8.67,1408.6726,
8.81,1476.9215,
8.91,1476.9215,
9.04,1503.4652,
9.14,1503.4652,
9.32,1518.5644,
9.42,1518.5644,
9.62,1510.8454,
9.72,1510.8454,
9.89,1894.6894,
9.99,1894.6894,
10.15,1479.5218,
10.25,1479.5218,
10.42,1475.169,
10.52,1475.169,
10.67,1392.7216,
10.77,1392.7216,
10.92,1408.6726,
11.02,1408.6726,
11.19,1787.54,
11.29,1787.54,
11.42,1476.9215,
11.52,1476.9215,
11.64,1510.3308,
11.74,1510.3308,
11.89,1506.6126,
11.99,1506.6126,
12.17,1476.9215,
12.27,1476.9215,
12.42,1392.7216,
12.53,1392.7216,
12.64,1503.4652,
12.74,1503.4652,
12.84,1503.4652,
12.95,1785.1618,
13.14,1408.6726,
13.24,1408.6726,
13.37,1479.5218,
13.47,1479.5218,
13.63,1476.9215,
13.73,1476.9215,
13.87,1506.6126,
13.97,1506.6126,
14.16,1408.6726,
14.26,1408.6726,
14.4,1392.7216,
14.5,1392.7216,
14.64,1494.529,
14.74,1494.529,
14.91,1392.7216,
15.01,1392.7216,
15.12,1392.7216,
15.22,1392.7216,
15.38,1510.3308,
15.48,1510.3308,
15.65,1492.2158,
15.75,1492.2158,
15.91,1518.5644,
16.01,1518.5644,
16.16,1494.529,
16.26,1494.529,
16.41,1398.2939,
16.51,1392.7216,
16.69,1472.3578,
16.79,1472.3578,
16.96,1518.5644,
17.06,1518.5644,
17.24,1501.7096,
17.34,1501.7096,
17.54,1510.3308,
17.64,1510.3308,
17.82,1476.9215,
17.92,1476.9215,
18.09,1408.6726,
18.19,1408.6726,
18.33,1532.6532,
18.43,1532.6532,
18.59,1520.872,
18.69,1520.872,
18.86,1408.6726,
18.96,1408.6726,
19.12,1518.5644,
19.22,1518.5644,
19.4,1392.7216,
19.5,1392.7216,
19.64,1479.5218,
19.74,1479.5218,
19.92,1497.9977,
20.02,1497.9977,
20.2,1392.7216,
20.3,1392.7216,
20.42,1503.4652,
20.52,1503.4652,
20.62,1503.4652,
20.73,1502.3024,
20.83,1502.3024,
20.93,1502.3024,
21.04,1475.169,
21.14,1475.169,
21.29,1784.0934,
21.39,1784.0934,
21.52,1518.5644,
21.62,1518.5644,
21.8,1787.54,
21.9,1787.54,
22.03,1520.0064,
22.13,1522.2669,
22.23,1522.2669,
22.34,1513.8139,
22.44,1513.8139,
22.54,1505.4498,
22.65,1392.7216,
22.75,1392.7216,
