elapsed_sec,best_cost,improvement_pct
0.1,1953.0265,
0.2,1949.4004,
0.37,1945.481,
0.47,1944.5955,
0.57,1944.5955,
0.73,1951.0784,
0.83,1950.1929,
0.93,1950.1929,
1.07,1941.5449,
1.17,1939.9499,
1.36,1941.981,
1.46,1939.9499,
1.65,1315.1358,
1.75,1315.1358,
1.85,1315.1358,
2.03,1310.785,
2.13,1308.7539,
2.23,1308.7539,
2.42,1308.7539,
2.52,1308.7539,
2.62,1308.7539,
2.82,1308.7539,
2.92,1308.7539,
3.02,1308.7539,
3.22,1315.1358,
3.32,1315.1358,
3.42,1315.1358,
3.57,1941.9618,
3.67,1940.3668,
3.87,1315.1358,
3.97,1315.1358,
4.07,1315.1358,
4.23,1328.4386,
4.33,1315.1358,
4.43,1315.1358,
4.57,1941.2523,
4.67,1940.3668,
4.85,1940.3668,
4.95,1940.3668,
5.14,1315.1358,
5.24,1315.1358,
5.34,1315.1358,
5.78,1315.9131,
5.88,1308.7539,
5.98,1308.7539,
6.08,1308.7539,
6.49,1308.7539,
6.59,1308.7539,
6.69,1308.7539,
6.87,1317.1669,
6.97,1315.1358,
7.07,1315.1358,
7.49,1941.2523,
7.59,1940.3668,
7.78,1940.3668,
7.88,1940.3668,
7.98,1940.3668,
8.12,1315.1358,
8.22,1315.1358,
8.32,1315.1358,
8.46,1321.0392,
8.56,1315.1358,
8.66,1315.1358,
9.1,1308.7539,
9.2,1308.7539,
9.3,1308.7539,
9.4,1308.7539,
9.76,1946.3804,
9.86,1940.3668,
10.06,1322.5352,
10.16,1315.1358,
10.26,1315.1358,
10.43,1322.295,
10.53,1315.1358,
10.63,1315.1358,
11.06,1943.576,
11.16,1939.9499,
11.26,1939.9499,
11.38,1308.7539,
11.48,1308.7539,
11.58,1308.7539,
11.68,1308.7539,
11.79,1952.2022,
11.89,1950.1929,
12.07,1317.1669,
12.17,1315.1358,
12.27,1315.1358,
12.69,1945.2215,
12.79,1940.3668,
12.89,1940.3668,
13.0,1315.1358,
13.1,1315.1358,
13.2,1315.1358,
13.63,1315.1358,
13.73,1315.1358,
13.83,1315.1358,
14.0,1313.6086,
14.1,1308.7539,
14.2,1308.7539,
14.4,1318.1844,
14.5,1308.7539,
14.6,1308.7539,
14.78,1946.107,
14.88,1940.3668,
15.38,1940.3668,
15.48,1940.3668,
15.66,1941.9618,
15.76,1940.3668,
16.58,1313.882,
16.68,1308.7539,
16.78,1308.7539,
16.98,1315.1358,
17.08,1315.1358,
17.18,1315.1358,
17.32,1319.0081,
17.42,1315.1358,
17.52,1315.1358,
17.67,1308.7539,
17.77,1308.7539,
17.87,1308.7539,
18.06,1940.3668,
18.16,1940.3668,
18.36,1319.0081,
18.46,1315.1358,
18.56,1315.1358,
18.98,1308.7539,
19.08,1308.7539,
19.18,1308.7539,
19.28,1308.7539,
19.4,1941.2523,
19.5,1940.3668,
19.6,1940.3668,
19.71,1315.1358,
19.81,1315.1358,
19.91,1315.1358,
20.37,1308.7539,
20.47,1308.7539,
20.57,1308.7539,
21.06,1322.0216,
21.16,1315.1358,
21.26,1315.1358,
21.42,1317.1669,
21.52,1315.1358,
21.62,1315.1358,
21.77,1319.9905,
21.87,1315.1358,
21.97,1315.1358,
22.12,1308.7539,
22.22,1308.7539,
22.32,1308.7539,
22.51,1326.1673,
22.61,1315.1358,
22.71,1315.1358,
22.86,1940.3668,
22.96,1940.3668,
23.14,1941.2523,
23.24,1940.3668,
23.43,1327.8901,
23.53,1315.1358,
23.63,1315.1358,
23.81,1949.3612,
23.91,1940.3668,
24.09,1315.6397,
24.19,1308.7539,
24.29,1308.7539,
24.49,1319.4771,
24.59,1308.7539,
24.69,1308.7539,
24.79,1308.7539,
25.2,1944.5955,
25.3,1944.5955,
25.49,1940.3668,
25.59,1940.3668,
25.79,1325.859,
25.89,1315.1358,
25.99,1315.1358,
26.16,1324.1362,
26.26,1315.1358,
26.36,1315.1358,
26.52,1308.7539,
26.62,1308.7539,
26.72,1308.7539,
27.16,1322.295,
27.27,1315.1358,
27.37,1315.1358,
27.54,1315.1358,
27.64,1315.1358,
27.74,1315.1358,
27.9,1321.0392,
28.0,1315.1358,
28.1,1315.1358,
28.25,1315.1358,
28.35,1315.1358,
28.45,1315.1358,
28.59,1317.1669,
28.69,1315.1358,
28.79,1315.1358,
28.95,1940.3668,
29.05,1940.3668,
29.21,1939.9499,
29.31,1939.9499,
29.41,1939.9499,
29.51,1945.2215,
29.62,1940.3668,
29.72,1940.3668,
29.84,1315.1358,
29.94,1315.1358,
30.04,1315.1358,
30.21,1940.3668,
30.31,1940.3668,
30.5,1319.0081,
30.6,1315.1358,
30.7,1315.1358,
30.85,1317.1669,
30.95,1315.1358,
31.05,1315.1358,
31.19,1319.0081,
31.29,1315.1358,
31.39,1315.1358,
31.56,1941.5449,
31.66,1939.9499,
31.84,1316.1533,
31.94,1308.7539,
32.04,1308.7539,
32.14,1308.7539,
32.24,1319.0081,
32.34,1315.1358,
32.44,1315.1358,
32.6,1315.1358,
32.7,1315.1358,
32.8,1315.1358,
32.92,1308.7539,
33.02,1308.7539,
33.12,1308.7539,
33.3,1319.9905,
33.4,1315.1358,
33.5,1315.1358,
33.67,1320.2639,
33.77,1315.1358,
33.87,1315.1358,
34.02,1320.2639,
34.12,1315.1358,
34.22,1315.1358,
34.37,1322.295,
34.47,1315.1358,
34.57,1315.1358,
34.72,1315.1358,
34.82,1315.1358,
34.92,1315.1358,
35.33,1324.9973,
35.43,1315.1358,
35.53,1315.1358,
35.98,1319.9905,
36.08,1315.1358,
36.18,1315.1358,
36.36,1940.3668,
36.46,1940.3668,
36.64,1941.9618,
36.74,1940.3668,
36.93,1315.1358,
37.03,1315.1358,
37.13,1315.1358,
37.32,1322.5352,
37.42,1315.1358,
37.52,1315.1358,
37.65,1308.7539,
37.75,1308.7539,
37.85,1308.7539,
38.32,1941.9618,
38.42,1940.3668,
38.62,1315.1358,
38.72,1315.1358,
38.82,1315.1358,
38.99,1313.6086,
39.09,1308.7539,
39.19,1308.7539,
39.29,1308.7539,
39.4,1315.1358,
39.5,1315.1358,
39.6,1315.1358,
39.74,1310.785,
39.84,1308.7539,
39.94,1308.7539,
40.13,1945.481,
40.23,1945.5224,
40.41,1313.882,
40.51,1308.7539,
40.61,1308.7539,
40.71,1308.7539,
40.83,1313.882,
40.93,1308.7539,
41.04,1308.7539,
42.06,1325.859,
42.16,1315.1358,
42.26,1315.1358,
42.44,1940.3668,
42.54,1940.3668,
42.64,1940.3668,
43.03,1310.785,
43.13,1308.7539,
43.23,1308.7539,
43.33,1308.7539,
43.45,1308.7539,
43.55,1308.7539,
43.65,1308.7539,
43.84,1322.295,
43.94,1315.1358,
44.04,1315.1358,
44.19,1308.7539,
44.29,1308.7539,
44.39,1308.7539,
44.57,1315.1358,
44.67,1315.1358,
44.77,1315.1358,
44.9,1941.2523,
45.0,1940.3668,
45.17,1317.1669,
45.27,1315.1358,
45.37,1315.1358,
45.54,1319.0081,
45.64,1315.1358,
45.74,1315.1358,
45.9,1313.882,
46.0,1308.7539,
46.1,1308.7539,
46.28,1323.8628,
46.38,1315.1358,
46.48,1315.1358,
46.63,1940.3668,
46.73,1940.3668,
46.93,1308.7539,
47.03,1308.7539,
47.13,1308.7539,
47.31,1317.1669,
47.41,1315.1358,
47.51,1315.1358,
47.64,1941.2523,
47.74,1940.3668,
47.84,1940.3668,
47.95,1315.1358,
48.05,1315.1358,
48.15,1315.1358,
48.31,1327.8901,
48.41,1315.1358,
48.51,1315.1358,
48.66,1319.9905,
48.76,1315.1358,
48.86,1315.1358,
48.99,1320.2639,
49.09,1315.1358,
49.19,1315.1358,
49.35,1940.3668,
49.45,1940.3668,
49.65,1941.2523,
49.75,1940.3668,
49.92,1954.575,
50.02,1939.9499,
50.12,1939.9499,
50.53,1317.1669,
50.63,1315.1358,
50.73,1315.1358,
50.9,1319.9905,
51.0,1315.1358,
51.1,1315.1358,
51.27,1325.859,
51.37,1315.1358,
51.47,1315.1358,
51.63,1317.1669,
51.73,1315.1358,
51.83,1315.1358,
51.99,1308.7539,
52.09,1308.7539,
52.19,1308.7539,
52.38,1941.2523,
52.48,1940.3668,
52.67,1940.3668,
52.77,1940.3668,
52.87,1940.3668,
52.98,1941.2523,
53.08,1940.3668,
53.18,1940.3668,
53.58,1940.3668,
53.68,1940.3668,
53.78,1940.3668,
53.89,1945.5224,
53.99,1944.5955,
54.09,1944.5955,
54.21,1320.2639,
54.31,1315.1358,
54.41,1315.1358,
54.55,1315.1358,
54.65,1315.1358,
54.75,1315.1358,
54.91,1313.882,
55.01,1308.7539,
55.11,1308.7539,
55.28,1315.1358,
55.38,1315.1358,
55.48,1315.1358,
55.63,1940.3668,
55.73,1940.3668,
55.9,1941.2523,
56.0,1940.3668,
56.1,1940.3668,
56.22,1941.9618,
56.32,1940.3668,
56.52,1317.1669,
56.62,1315.1358,
56.72,1315.1358,
56.87,1941.2523,
56.97,1940.3668,
57.16,1946.107,
57.26,1940.3668,
57.45,1315.9131,
57.55,1308.7539,
57.65,1308.7539,
57.75,1308.7539,
57.86,1323.8628,
57.96,1315.1358,
58.06,1315.1358,
58.21,1320.2639,
58.31,1315.1358,
58.41,1315.1358,
58.81,1310.785,
58.91,1308.7539,
59.01,1308.7539,
59.11,1308.7539,
59.23,1315.1358,
59.33,1315.1358,
59.43,1315.1358,
59.6,1323.8628,
59.7,1315.1358,
59.8,1315.1358,
59.95,1940.3668,
60.05,1940.3668,
60.11,1308.7539,
