elapsed_sec,best_cost,improvement_pct
0.1,1950.4283,
0.2,2035.2156,
0.3,1957.0708,
0.4,1957.8784,
0.5,1943.1588,
0.6,1947.5743,
0.7,1959.0956,
0.8,1952.317,
0.9,1323.8628,
1.01,1319.4771,
1.11,1315.9131,
1.21,1315.6397,
1.31,1308.7539,
1.41,1313.6086,
1.51,1318.6154,
1.61,1319.0081,
1.71,1319.0081,
1.81,1563.1525,
1.91,1320.2639,
2.01,1474.601,
2.11,1321.0392,
2.21,1319.9905,
2.31,1316.1533,
2.41,1322.5352,
2.51,1308.7539,
2.61,1322.295,
2.71,1328.8696,
2.81,1321.5082,
2.91,1308.7539,
3.01,1324.9973,
3.11,1322.5352,
3.21,1310.785,
3.32,1308.7539,
3.42,1315.1358,
3.52,1540.5867,
3.64,1325.859,
3.74,1315.6397,
3.84,1319.0081,
3.94,1320.6465,
4.04,1322.5352,
4.14,1323.8628,
4.24,1322.5352,
4.34,1313.6086,
4.45,1327.8901,
4.55,1319.9905,
4.65,1319.9905,
4.75,1325.8939,
4.85,1315.9131,
4.95,1315.9131,
5.05,1310.785,
5.15,1313.6086,
5.25,1315.1358,
5.35,1315.9131,
5.45,1308.7539,
5.55,1315.6397,
5.65,1316.1533,
5.75,1326.1673,
5.85,1310.785,
5.95,1319.0081,
6.05,1308.7539,
6.15,1313.6086,
6.25,1479.9693,
6.35,1319.4771,
6.45,1323.8628,
6.55,1321.0392,
6.65,1321.0392,
6.75,1319.4771,
6.85,1320.2639,
6.95,1310.785,
7.05,1327.0284,
7.15,1324.9973,
7.25,1319.4771,
7.35,1322.295,
7.45,1313.6086,
7.55,1329.7313,
7.65,1321.0392,
7.75,1313.882,
7.85,1472.5699,
7.95,1313.6086,
8.05,1319.9905,
8.15,1316.1533,
8.25,1326.1673,
8.35,1313.882,
8.45,1472.18,
8.55,1310.785,
8.65,1315.9131,
8.75,1477.5483,
8.85,1323.8628,
8.95,1327.0284,
9.05,1310.785,
9.15,1310.785,
9.25,1318.1844,
9.35,1316.1533,
9.45,1315.9131,
9.56,1319.9905,
9.66,1317.1669,
9.76,1319.0081,
9.86,1317.1669,
9.96,1317.1669,
10.06,1313.882,
10.16,1483.2931,
10.26,1313.6086,
10.36,1321.5082,
10.46,1320.2639,
10.56,1318.6154,
10.66,1326.4075,
10.76,1308.7539,
10.86,1320.2639,
10.96,1329.7313,
11.06,1316.1533,
11.16,1320.6465,
11.26,1321.0392,
11.36,1319.0081,
11.46,1315.1358,
11.56,1308.7539,
11.66,1320.2639,
11.76,1310.785,
11.86,1319.9905,
11.96,1320.2639,
12.06,1318.6154,
12.16,1328.4386,
12.26,1308.7539,
12.36,1322.0216,
12.46,1324.1362,
12.56,1317.1669,
12.66,1328.8696,
12.76,1319.9905,
12.86,1320.6465,
12.96,1317.1669,
13.06,1325.8939,
13.16,1321.0392,
13.26,1313.6086,
13.36,1328.4386,
13.46,1325.859,
13.56,1327.0284,
13.66,1328.8696,
13.76,1313.882,
13.86,1322.0216,
13.96,1315.9131,
14.06,1322.295,
14.16,1310.785,
14.26,1315.1358,
14.36,1315.6397,
14.46,1320.2639,
14.56,1325.8939,
14.66,1325.8939,
14.76,1313.882,
14.87,1317.1669,
14.97,1308.7539,
15.07,1319.0081,
15.17,1316.1533,
15.27,1472.5699,
15.37,1320.2639,
15.47,1315.1358,
15.57,1315.1358,
15.67,1322.295,
15.77,1472.5699,
15.87,1310.785,
15.97,1321.5082,
16.07,1322.5352,
16.17,1318.6154,
16.27,1322.5352,
16.37,1318.6154,
16.47,1313.882,
16.57,1310.785,
16.67,1320.2639,
16.77,1318.1844,
16.87,1315.6397,
16.97,1318.1844,
17.07,1308.7539,
17.17,1310.785,
17.27,1308.7539,
17.37,1322.5352,
17.47,1321.0392,
17.57,1310.785,
17.67,1320.2639,
17.77,1557.7842,
17.87,1470.1489,
17.97,1316.1533,
18.07,1328.8696,
18.17,1310.785,
